Evaluations,Fitness
1,2.11993125e+01
2,2.10864352e+01
15,2.08449835e+01
139,2.08277637e+01
201,2.08264922e+01
325,2.07967286e+01
494,2.07895516e+01
618,2.07725180e+01
804,2.07051505e+01
866,2.06862074e+01
927,2.06824423e+01
1114,2.06705461e+01
1238,2.06478398e+01
1610,2.06178488e+01
1672,2.06159710e+01
1734,2.06016247e+01
1815,2.05982240e+01
1858,2.05765752e+01
2044,2.05639700e+01
2167,2.05340717e+01
2230,2.05299099e+01
2291,2.05095589e+01
2354,2.05068097e+01
2602,2.05056077e+01
2850,2.05055365e+01
3035,2.04720864e+01
3284,2.04627825e+01
3346,2.04625203e+01
3362,2.04435248e+01
3445,2.04289121e+01
3611,2.03871426e+01
3817,2.03680775e+01
3878,2.03459573e+01
3921,2.03424648e+01
3941,2.02967174e+01
4065,2.02609093e+01
4127,2.02445044e+01
4313,2.02145628e+01
4561,2.00943421e+01
5243,2.00053680e+01
5305,2.00038215e+01
5367,2.00001728e+01
5429,1.99843791e+01
5553,1.99164041e+01
5615,1.99134239e+01
6297,1.99037745e+01
6421,1.98250693e+01
6545,1.98186449e+01
6607,1.97880211e+01
6669,1.97216781e+01
7348,1.97141673e+01
7413,1.97099466e+01
7847,1.96777859e+01
8217,1.96727981e+01
8496,1.96683614e+01
8553,1.96347807e+01
8589,1.95226213e+01
8653,1.94989647e+01
8713,1.94818705e+01
8839,1.94539660e+01
8930,1.93651244e+01
9054,1.93494541e+01
9116,1.92436995e+01
9178,1.92324967e+01
9426,1.92080417e+01
9674,1.91657868e+01
9922,1.91400327e+01
10170,1.91359385e+01
10230,1.90534225e+01
10294,1.90521899e+01
10604,1.90485260e+01
10852,1.90478233e+01
11097,1.89885484e+01
11221,1.89391631e+01
11224,1.89309380e+01
11286,1.89282532e+01
11344,1.88895117e+01
11472,1.88771194e+01
11658,1.88702766e+01
11715,1.88383113e+01
11968,1.88256554e+01
12464,1.88204042e+01
12526,1.87952998e+01
12712,1.87844568e+01
13146,1.87583067e+01
13205,1.87564609e+01
13577,1.87492792e+01
13766,1.87435064e+01
13826,1.86398831e+01
13890,1.86018329e+01
13949,1.84545223e+01
13952,1.83776152e+01
14072,1.83496110e+01
14076,1.83413444e+01
14572,1.83160292e+01
14758,1.83157283e+01
14882,1.83078290e+01
14941,1.83012040e+01
