Evaluations,Fitness
1,1.94832802e+03
2,1.54546913e+03
4,1.37081244e+03
46,1.36019595e+03
66,1.35932458e+03
159,1.31466945e+03
401,1.31454966e+03
474,1.29569943e+03
529,1.27880176e+03
903,1.26984114e+03
976,1.26719113e+03
1030,1.24037084e+03
1100,1.23698714e+03
1120,1.23341422e+03
1151,1.22703141e+03
1271,1.22321903e+03
1288,1.22062783e+03
1395,1.19864446e+03
1516,1.19713581e+03
1590,1.17907902e+03
1645,1.16885108e+03
1648,1.11161299e+03
1720,1.08004302e+03
1844,1.04446404e+03
2023,1.03864031e+03
2092,1.03289264e+03
2139,1.02304654e+03
2216,1.02097897e+03
2340,1.01158085e+03
2392,1.01151163e+03
2637,1.00730685e+03
2764,1.00521272e+03
3013,1.00382143e+03
3136,1.00030001e+03
3332,9.89048323e+02
3609,9.87269162e+02
3673,9.63196506e+02
3734,9.60101898e+02
3797,9.59269127e+02
3854,9.54373203e+02
3876,9.21219144e+02
3946,9.04297319e+02
4070,9.03877941e+02
4094,8.65276578e+02
4465,8.64855058e+02
4652,8.63395065e+02
4713,8.59754512e+02
4837,8.10338899e+02
4900,8.08737777e+02
5005,8.08569560e+02
5024,8.06792583e+02
5148,7.69809959e+02
5457,7.52246018e+02
5631,7.40318082e+02
5768,7.40263957e+02
5829,7.39111418e+02
5954,7.38994832e+02
6106,6.92380118e+02
6178,6.90835010e+02
6226,6.85337721e+02
6354,6.85103885e+02
6426,6.64744299e+02
6674,6.63563744e+02
6728,6.63515440e+02
7294,6.63470506e+02
7348,6.60681459e+02
7474,6.60611208e+02
7504,6.52494539e+02
7666,6.24833091e+02
7733,6.11213453e+02
7813,6.10981994e+02
7855,6.10976416e+02
7976,5.53429013e+02
8062,5.35589434e+02
8124,5.35583692e+02
8223,5.32363089e+02
8310,5.31264253e+02
8433,5.30588084e+02
8558,5.29768073e+02
8805,5.19633928e+02
8965,5.19624652e+02
9097,5.16375925e+02
9177,5.16328209e+02
9216,4.88731396e+02
9302,4.88174087e+02
9364,4.77512374e+02
9549,4.76333300e+02
9583,4.76216982e+02
9612,4.18547752e+02
9674,4.15251432e+02
9921,4.14832785e+02
9984,4.14344883e+02
10045,4.14337171e+02
10580,3.90982747e+02
10666,3.90807354e+02
10852,3.89298340e+02
11348,3.88109525e+02
11569,3.87514266e+02
11698,3.87185600e+02
11844,3.80509256e+02
11943,3.80484438e+02
12030,3.66907059e+02
12216,3.53844243e+02
12439,3.49656043e+02
12486,3.45675852e+02
12734,3.43040895e+02
12826,3.42592391e+02
12858,3.42333728e+02
12948,3.42281342e+02
12982,3.39780887e+02
13037,3.38327982e+02
13071,3.38320282e+02
13145,3.28028213e+02
13180,3.27910751e+02
13208,3.27895936e+02
13270,3.25244762e+02
13302,3.25244493e+02
13332,3.11130748e+02
13442,3.02622771e+02
13478,2.72927487e+02
13650,2.72880397e+02
13809,2.72722176e+02
14026,2.72607338e+02
14056,2.72451058e+02
14098,2.71509712e+02
14187,2.54222829e+02
14222,2.53548447e+02
14303,2.49091349e+02
14346,2.48223719e+02
14402,2.47727598e+02
14470,2.33047804e+02
14594,2.26512590e+02
14675,1.97117011e+02
