Evaluations,Fitness
1,1216.067804
2,1129.459565
5,1072.805125
6,1027.979518
30,949.175332
59,912.150466
121,907.908961
245,906.924804
617,899.017795
672,895.105582
741,893.028121
989,888.682654
1084,888.566716
1113,880.687588
1237,880.001446
1361,879.279044
1540,878.817199
1556,876.614014
1609,874.665913
1667,853.070389
1733,841.547817
1791,811.250280
1857,808.414267
1981,794.474202
2353,783.376330
2407,767.582200
2653,757.648756
2725,751.257392
3030,748.836744
3151,731.107829
3229,720.184410
3353,712.321156
3397,710.002710
3477,705.247232
3523,702.704477
3663,701.197413
3724,682.664509
3911,675.502076
3972,660.022514
4097,657.130763
4147,645.653499
4283,645.437422
4407,644.414293
4517,639.203800
4531,612.376262
4655,608.532072
4779,605.923473
4841,598.486955
4888,596.428180
4903,595.787421
5027,590.641541
5088,572.753624
5126,569.117496
5213,562.107681
5275,560.179412
5460,558.208972
5707,545.071210
6143,530.283601
6515,520.507572
6639,514.625896
7011,514.054635
7072,509.462429
7122,506.876891
7507,494.004516
8189,486.782776
8359,479.997273
8499,470.329315
8604,455.224934
8683,452.227600
8931,445.200918
9215,430.879374
9243,430.870304
9349,419.683329
9593,415.633200
9739,415.009590
9800,414.698841
9863,412.589892
9987,410.654090
10296,408.824720
10359,405.638785
10458,391.224598
10607,390.889680
10960,386.936100
10979,385.692108
12204,385.015243
12281,385.004107
12440,369.288418
12817,367.228283
13087,366.999213
13316,366.728498
13521,366.470654
13565,359.956122
13769,359.777840
13892,354.949571
13940,350.815603
14141,349.851166
14451,348.795490
14513,348.030991
