Evaluations,Fitness
1,8.67834696e+08
2,8.13933591e+08
5,7.97468725e+08
15,7.66987556e+08
24,6.51845607e+08
86,6.51696809e+08
142,6.46540674e+08
210,6.31368022e+08
334,5.76477321e+08
387,5.76289251e+08
515,5.75355368e+08
638,5.57031474e+08
835,5.53379362e+08
1083,5.52894857e+08
1135,5.52278789e+08
1176,5.51223382e+08
1179,5.16383665e+08
1241,5.13414911e+08
1427,5.12860472e+08
1529,5.12847959e+08
1551,5.12117220e+08
1613,5.11162173e+08
1861,5.11152143e+08
1901,5.10883566e+08
1946,4.85585830e+08
1999,4.57536730e+08
2070,4.57523951e+08
2249,4.53784911e+08
2407,4.53695785e+08
2619,4.53388150e+08
2729,4.52228461e+08
2787,4.52204321e+08
2791,4.52141976e+08
2814,4.51422106e+08
2914,4.20769886e+08
2985,4.14086804e+08
3053,4.13317017e+08
3110,4.01946190e+08
3277,3.93164711e+08
3301,3.88804801e+08
3390,3.72577480e+08
3482,3.72020532e+08
3527,3.71955594e+08
3558,3.64035359e+08
3611,3.25791178e+08
3648,3.19383602e+08
3735,3.19376066e+08
3763,3.02109815e+08
3806,2.99545578e+08
3853,2.97664310e+08
3979,2.97629302e+08
4013,2.97448122e+08
4054,2.94145818e+08
4106,2.84999058e+08
4137,2.82319985e+08
4178,2.81793719e+08
4302,2.81222365e+08
4357,2.80931704e+08
4393,2.80817693e+08
4426,2.79499663e+08
4476,2.79234608e+08
4509,2.74077926e+08
4855,2.73751156e+08
4888,2.41099048e+08
4915,2.40587820e+08
4969,2.40267203e+08
5004,2.30295188e+08
5039,2.30291241e+08
5217,1.98721448e+08
5361,1.98266648e+08
5495,1.98070277e+08
5588,1.85484819e+08
5610,1.85483363e+08
5714,1.83740100e+08
5754,1.83725601e+08
5888,1.78949674e+08
6085,1.77321427e+08
6108,1.75944970e+08
6239,1.74004176e+08
6279,1.73715429e+08
6703,1.68144700e+08
6775,1.68144562e+08
6827,1.68131153e+08
6871,1.67088575e+08
6957,1.65287023e+08
6980,1.65259050e+08
7154,1.65242999e+08
7402,1.65232558e+08
7451,1.65224712e+08
7702,1.64908598e+08
7725,1.53113334e+08
7891,1.52825847e+08
7942,1.50818247e+08
8071,1.37146545e+08
8095,1.37118399e+08
8146,1.37101340e+08
8227,1.37096968e+08
8337,1.17883115e+08
8364,1.17812842e+08
8518,1.17341065e+08
8587,1.02643755e+08
8613,1.02313175e+08
8863,1.02305840e+08
8939,1.02304922e+08
8965,1.02252692e+08
9062,1.02239057e+08
9222,1.01866238e+08
9262,1.01858412e+08
9330,1.01598372e+08
9354,1.01421602e+08
9433,1.01392420e+08
9510,1.01183275e+08
9557,1.01014005e+08
9882,1.00730834e+08
9976,7.87519016e+07
10130,7.87497988e+07
10179,7.87382749e+07
10302,7.82016775e+07
10319,7.72776762e+07
10335,7.70663327e+07
10378,7.62694502e+07
10447,7.62694038e+07
10465,7.62587085e+07
10502,7.57163042e+07
10594,7.56800704e+07
10626,7.24008727e+07
10672,7.23706196e+07
11183,7.23616362e+07
11333,7.23493648e+07
11458,7.23491393e+07
11494,7.23469802e+07
11687,7.23469542e+07
11706,7.23453056e+07
11866,6.33318956e+07
11954,6.33149621e+07
12036,6.19106420e+07
12056,5.78539799e+07
12114,5.78484753e+07
12409,5.21766949e+07
12486,5.21626686e+07
12554,5.21575590e+07
12665,5.21527977e+07
12678,5.19579774e+07
12905,5.19542779e+07
12939,5.19437927e+07
13153,5.08153405e+07
13172,5.00564292e+07
13354,4.10144203e+07
13420,4.10089869e+07
13439,4.09960701e+07
13602,4.04480200e+07
13667,4.04477132e+07
13815,4.02018943e+07
13850,4.01986348e+07
13974,4.01849584e+07
14040,3.92392796e+07
14142,3.92086984e+07
14158,3.90869004e+07
14271,2.65438798e+07
14419,2.64653540e+07
14594,2.64543320e+07
14639,2.61789593e+07
14669,2.61738208e+07
14685,2.61515004e+07
14718,2.56997828e+07
14777,2.56949628e+07
14801,2.35063091e+07
14815,2.34983193e+07
14966,2.34391833e+07
