Evaluations,Fitness
1,2.70160945e+08
2,1.97279724e+08
5,1.92587526e+08
12,1.88772280e+08
13,1.68285804e+08
41,1.65599435e+08
62,1.58858237e+08
175,1.51838604e+08
248,1.46012821e+08
914,1.45288150e+08
1036,1.45287512e+08
1165,1.41232987e+08
1240,1.40740036e+08
1405,1.38408000e+08
1537,1.38355097e+08
1779,1.38136963e+08
1787,1.37374696e+08
1811,1.35930520e+08
1918,1.35267025e+08
1935,1.29934032e+08
1992,1.29084857e+08
2117,1.28929893e+08
2159,1.28385136e+08
2180,1.28221512e+08
2280,1.26253984e+08
2431,1.24027931e+08
2555,1.23994283e+08
2651,1.23898738e+08
2777,1.23896677e+08
2800,1.20030892e+08
2859,1.19943131e+08
2924,1.15639356e+08
3026,1.14261880e+08
3048,1.11796027e+08
3107,1.11161000e+08
3151,1.11005363e+08
3420,1.07453614e+08
3607,1.05110707e+08
3728,1.05105130e+08
3772,1.04850129e+08
3855,1.04669034e+08
3919,1.04665014e+08
4017,1.04639981e+08
4140,1.04165034e+08
4268,1.03285148e+08
4348,1.02919106e+08
4412,1.02917404e+08
4415,9.99564821e+07
4464,9.92633379e+07
4626,9.90185744e+07
4836,9.83321803e+07
4843,9.76154358e+07
4887,9.75900537e+07
4911,9.71148232e+07
5008,9.70754004e+07
5032,9.01348878e+07
5129,8.83362767e+07
5156,8.83159686e+07
5338,8.82163589e+07
5585,8.67642645e+07
5626,8.67091163e+07
5835,8.67039417e+07
6011,8.65872839e+07
6083,8.63815079e+07
6124,8.63792865e+07
6218,8.47509400e+07
6262,8.17226666e+07
6535,8.14561068e+07
6625,8.02206823e+07
6752,8.01663161e+07
6768,7.95323969e+07
6782,7.92707571e+07
6875,6.41581742e+07
6989,5.86066682e+07
7118,5.67256530e+07
7154,5.67251769e+07
7205,5.66774706e+07
7278,5.65884786e+07
7332,5.64600765e+07
7477,5.63833679e+07
7605,5.52098448e+07
7650,5.49998031e+07
7731,5.24813614e+07
7828,5.24687282e+07
8022,5.24358376e+07
8231,5.23840993e+07
8351,5.20741082e+07
8394,5.09810589e+07
8847,5.03067175e+07
9014,4.76041354e+07
9066,4.75659874e+07
9100,4.73633361e+07
9262,4.69033160e+07
9348,4.68382624e+07
9436,4.68381984e+07
9464,4.67582955e+07
9684,4.62021199e+07
9718,4.60894932e+07
9843,4.60894771e+07
10053,4.46666571e+07
10087,4.42852003e+07
10130,4.24500761e+07
10378,4.24439572e+07
10464,4.23077943e+07
10502,3.81538150e+07
10598,3.75408761e+07
10680,3.73624045e+07
10931,3.65527889e+07
10953,3.64173961e+07
10987,3.49085028e+07
11065,3.11124150e+07
11235,3.10701177e+07
11289,2.39458378e+07
11339,2.37772560e+07
11359,2.37770889e+07
11416,2.37535761e+07
11439,2.37426013e+07
11560,2.28522709e+07
11586,2.16270056e+07
11788,2.14697391e+07
11810,2.02137634e+07
11855,2.01916329e+07
11911,2.01913471e+07
12103,2.01898105e+07
12155,2.01537471e+07
12173,1.96799157e+07
12301,1.96149336e+07
12650,1.96128216e+07
12800,1.91176465e+07
12916,1.87767103e+07
13046,1.87604606e+07
13080,1.85909074e+07
13095,1.85414583e+07
13151,1.81054846e+07
13202,1.80426453e+07
13274,1.79366613e+07
13343,1.66292892e+07
13398,1.61501630e+07
13554,1.41095933e+07
13576,1.41079569e+07
13591,1.41063589e+07
13715,1.40771724e+07
13817,1.40771558e+07
13912,1.40771538e+07
14017,1.40771247e+07
14029,1.40763900e+07
14054,1.40638305e+07
14301,1.40002974e+07
14335,1.35288735e+07
14388,1.35264541e+07
14510,1.35255555e+07
14637,1.31521720e+07
14707,1.31488119e+07
14760,1.31482233e+07
14799,1.31476099e+07
14886,1.21554990e+07
14955,1.21536331e+07
