Evaluations,Fitness
1,2.13960801e+01
5,2.13377275e+01
15,2.13222928e+01
16,2.10676016e+01
202,2.10616625e+01
264,2.10581031e+01
326,2.10230628e+01
574,2.10117745e+01
760,2.09988105e+01
884,2.09749786e+01
946,2.09734687e+01
1070,2.09383426e+01
1194,2.09370615e+01
1255,2.09357097e+01
1380,2.09337981e+01
1504,2.09245965e+01
1566,2.09056778e+01
1752,2.09032994e+01
1875,2.08725455e+01
2123,2.08522271e+01
2186,2.08241341e+01
2310,2.07737330e+01
2744,2.07625113e+01
3240,2.07560452e+01
3302,2.07133298e+01
3364,2.07107665e+01
3612,2.06717856e+01
3674,2.06413847e+01
3798,2.06048254e+01
3982,2.05783746e+01
4046,2.05754913e+01
4294,2.05254785e+01
4356,2.05136663e+01
4914,2.04810047e+01
5038,2.04690869e+01
5100,2.04469769e+01
5223,2.04193650e+01
5348,2.04187077e+01
5596,2.03792569e+01
5658,2.03685049e+01
5720,2.02938125e+01
5844,2.02642092e+01
5906,2.02291439e+01
6030,2.01971706e+01
6340,2.01918058e+01
6402,2.01914671e+01
6960,2.01846672e+01
7208,2.01677935e+01
7331,2.01493736e+01
7518,2.00956446e+01
7890,2.00829169e+01
8448,2.00504905e+01
8634,2.00123955e+01
9006,2.00116674e+01
9068,2.00080218e+01
9502,1.99802606e+01
9626,1.99053668e+01
9812,1.99027618e+01
9874,1.98892895e+01
10001,1.98892325e+01
10249,1.98795011e+01
10370,1.98302259e+01
10618,1.97891490e+01
10928,1.97862077e+01
11117,1.97636013e+01
11241,1.97580792e+01
11303,1.96810303e+01
11365,1.96533282e+01
11551,1.96396183e+01
11923,1.96347136e+01
12047,1.96312396e+01
12481,1.95989925e+01
12667,1.95954326e+01
13101,1.95693399e+01
13473,1.95290674e+01
13782,1.95234360e+01
13969,1.95198557e+01
14526,1.95160453e+01
14586,1.95132824e+01
14648,1.94814818e+01
14710,1.94699913e+01
14771,1.94158819e+01
14896,1.93126985e+01
