Evaluations,Fitness
1,4.08661167e+03
2,3.46181374e+03
3,2.89369222e+03
5,2.73711412e+03
6,2.57246041e+03
8,2.45910321e+03
9,2.40928088e+03
23,2.31711182e+03
52,2.23217119e+03
55,2.11299383e+03
413,2.09746621e+03
489,2.02406689e+03
786,2.00634261e+03
913,1.97501117e+03
985,1.96680768e+03
1109,1.96440884e+03
1157,1.92300685e+03
1172,1.90589006e+03
1187,1.89346606e+03
1296,1.88699621e+03
1370,1.86845989e+03
1413,1.78006133e+03
1496,1.77770185e+03
1619,1.75988550e+03
1665,1.74532017e+03
1683,1.74427391e+03
1743,1.72846032e+03
1787,1.72291545e+03
2235,1.71145939e+03
2407,1.71139169e+03
2597,1.69155525e+03
2645,1.67901126e+03
2768,1.67888123e+03
2845,1.67563200e+03
2892,1.67493849e+03
2969,1.63823556e+03
3465,1.63243873e+03
3589,1.63052495e+03
3837,1.62945480e+03
4009,1.62651041e+03
4017,1.62369063e+03
4097,1.62115731e+03
4141,1.61862552e+03
4219,1.59708179e+03
4283,1.56345588e+03
4407,1.56313607e+03
4518,1.55819844e+03
4655,1.55271295e+03
4711,1.50866872e+03
4760,1.49844349e+03
4835,1.38833377e+03
5207,1.38798475e+03
5331,1.38785973e+03
5455,1.38771737e+03
5579,1.38049783e+03
5622,1.32534449e+03
5867,1.20054002e+03
6199,1.19886375e+03
6353,1.18263857e+03
6488,1.18261712e+03
6571,1.12271074e+03
6734,1.11852647e+03
6819,1.11326720e+03
6859,1.10747121e+03
6981,1.10701262e+03
7099,1.10661108e+03
7315,1.10506378e+03
7485,1.10467386e+03
7600,1.02067850e+03
7687,1.01342568e+03
7731,1.01236444e+03
7811,1.01137216e+03
7935,1.00993532e+03
7974,9.83048964e+02
8102,9.82677151e+02
8183,9.77982405e+02
8218,9.72949058e+02
8307,9.70862712e+02
8471,9.65235516e+02
8597,9.33834795e+02
8679,9.27611818e+02
8927,9.22063871e+02
9215,9.17134415e+02
9460,9.03241218e+02
9587,8.97314324e+02
9713,8.59771834e+02
9795,8.43470211e+02
9919,7.84919056e+02
10167,7.76608167e+02
10323,7.76588721e+02
10572,7.45520310e+02
10825,7.39471566e+02
10950,7.39370023e+02
11035,7.30614780e+02
11200,7.23101439e+02
11283,7.19141807e+02
11327,6.63134147e+02
11563,6.57420404e+02
12027,6.57223699e+02
12067,6.10917707e+02
12275,6.07104710e+02
12315,6.06366070e+02
12439,5.98639975e+02
12523,5.93416822e+02
13058,5.93108875e+02
13178,5.93038137e+02
13205,5.73191578e+02
13267,5.72993193e+02
13452,5.60378695e+02
13549,5.58730642e+02
13763,5.56576440e+02
14170,5.56086929e+02
14300,5.53656400e+02
14444,5.33213483e+02
14625,5.33075503e+02
14666,5.33030162e+02
14702,4.34859891e+02
14886,4.34654908e+02
