Evaluations,Fitness
1,1516.635855
3,1365.682140
7,1312.523387
11,1188.452346
135,1188.033383
321,1173.323784
445,1164.562494
506,1157.548459
754,1141.265412
817,1132.667563
878,1120.355541
1003,1076.628357
1051,1056.596156
1125,1056.090123
1170,1052.512966
1189,1045.615443
1421,1010.758836
1437,1002.383950
1619,1001.860028
1809,998.395489
1922,985.897825
1992,982.333388
2166,972.645624
2613,963.567869
2677,961.729143
2739,950.532649
2784,940.580545
2907,937.929347
2925,937.275838
2985,934.214619
3233,930.675659
3277,915.393838
3297,898.230238
3528,857.087775
3605,811.145997
3652,810.640655
3725,802.923169
3793,796.703960
4041,780.308855
4393,771.254494
4661,760.822929
4759,755.389610
4889,749.129369
5033,738.550699
5133,738.369832
5340,722.922423
5390,722.821117
5465,707.755060
5529,701.180676
5588,690.330133
5880,684.571732
6004,681.329314
6126,676.514182
6259,676.506310
6581,676.478385
6645,674.162340
6828,672.528119
6893,669.034066
6953,660.858627
6999,659.651103
7324,659.635410
7492,659.258333
7513,658.389271
7695,657.555781
7944,634.607312
8009,621.613287
8111,613.270965
8194,607.025851
8236,596.761844
8257,596.616251
8359,587.653921
8381,587.390445
8442,585.857271
8505,583.903421
8564,573.037512
8603,566.793693
8934,566.698756
9001,566.555068
9124,562.319853
9181,549.790746
9222,549.197616
9479,545.867375
9595,543.643906
9680,529.051630
9927,508.705591
10671,507.203011
11085,498.233764
11333,496.541929
11356,478.027837
11540,462.820067
11584,460.048597
11702,458.865980
11852,458.410974
12036,456.792454
12100,447.694076
12158,446.086384
12189,442.213849
12348,441.218981
12472,440.518001
12902,430.766505
13152,414.260621
13185,408.786349
13277,408.646073
13397,408.593977
13712,401.875645
13836,398.610411
13934,389.555742
14019,385.072114
14058,385.037927
14143,383.889165
14516,383.563254
14550,374.263134
14638,372.880914
14679,370.669705
14704,367.026698
14802,346.875553
14952,345.220337
