Evaluations,Fitness
1,308056.316614
6,282104.878724
9,240768.947061
28,200707.534960
142,200665.300603
214,200402.617411
338,196710.623087
516,196006.720789
639,195696.795641
765,195374.567958
930,195351.885901
958,194975.258652
1330,189307.076053
1382,187480.752062
1547,182925.933185
1578,182417.758295
1702,181525.400414
1881,180888.191254
2001,180007.445672
2074,179615.554503
2249,177369.678051
2292,173279.550886
2322,171455.627960
2446,170083.979126
2501,166349.384299
2570,166078.324936
2660,166073.366243
2694,165875.722493
2750,165743.524573
3066,164031.461082
3190,163228.838893
3238,162735.358546
3279,158958.101464
3314,149181.960723
3362,148664.080836
3402,148617.008258
3438,148211.700489
3617,148196.417184
3686,148010.696032
3740,147768.233288
3810,147566.635458
3901,147509.861333
3983,147028.630816
4146,129052.578907
4235,129045.934229
4430,128571.795619
4605,126325.122733
4729,126228.889254
4850,125934.062890
4975,125018.365849
5223,124998.023419
5352,112468.219841
5386,112463.810135
5469,110787.335334
5546,110765.648815
5670,110445.831602
5722,109789.972410
5878,108880.159751
6097,108419.841647
6290,108193.623761
6343,106932.309007
6414,105562.136954
6491,105541.746853
6750,101904.825757
6961,100357.685188
7282,99726.792179
7364,99469.800441
7492,99451.024015
7578,99448.931211
7702,99324.395022
7902,96301.654696
7993,95409.787851
8076,94307.063810
8150,94178.029903
8818,94162.066687
8861,94081.644590
9146,93913.455910
9191,93896.747742
9227,93739.237174
9266,93672.239477
9270,93651.986783
9317,92557.396915
9347,88062.535022
9385,87898.179563
9441,87608.864192
9480,87583.159593
9509,85643.556960
9686,84542.066850
9757,84536.102411
9843,84148.493401
9881,83406.884720
9968,79035.157052
10129,76627.097022
10186,75804.319506
10223,75625.996029
10305,75594.155531
10341,75588.682883
10386,74832.455578
10435,74832.455567
10555,69828.909186
10593,69748.215313
10709,69536.935739
10754,67787.666439
10960,67194.069038
11174,67088.297163
11300,67061.984956
11374,66777.997342
11548,66733.576306
11588,66553.809663
11589,65639.317474
11704,63269.529444
12082,63262.012197
12118,63006.738310
12122,61366.868392
12193,60111.911766
12445,60102.795144
12541,54226.682061
12664,54135.246786
12742,54128.224490
12945,52109.745828
13110,51956.847957
13196,50923.824641
13234,49983.795543
13531,49694.839711
13606,46495.498273
13657,45646.271013
13803,45389.106186
13854,44977.402140
14027,44829.750609
14175,44680.772488
14196,44531.397469
14350,44419.913674
14399,44305.878905
14474,43492.738335
14524,42850.868776
14598,42161.854036
14642,37273.487926
14846,37154.922714
14919,37097.611221
14970,37096.840488
