Evaluations,Fitness
1,5.42997383e+06
2,5.00159799e+06
4,4.69713987e+06
5,4.64591024e+06
36,4.58979388e+06
40,4.37568920e+06
102,4.37385320e+06
157,4.36430785e+06
299,4.33175574e+06
376,4.30812589e+06
428,4.30761329e+06
499,4.30636660e+06
528,4.14854085e+06
722,4.14635636e+06
797,3.94936902e+06
810,3.91971454e+06
871,3.91570880e+06
919,3.91542541e+06
996,3.91277847e+06
1042,3.88735934e+06
1165,3.83859413e+06
1244,3.83746190e+06
1368,3.77530490e+06
1590,3.71697559e+06
1714,3.29588304e+06
1886,3.28450796e+06
1962,3.25744920e+06
2137,3.25448671e+06
2210,3.25246871e+06
2334,3.23771028e+06
2458,3.23110683e+06
2830,3.22073495e+06
2880,3.19836892e+06
3202,3.10378585e+06
3251,3.10169320e+06
3631,3.10139475e+06
3870,3.08226619e+06
3946,3.08221513e+06
4070,3.06044249e+06
4497,3.03949370e+06
4617,3.02508144e+06
4745,3.00161689e+06
4849,2.93249642e+06
4991,2.83940143e+06
5218,2.82710315e+06
5221,2.78749967e+06
5345,2.70745840e+06
5408,2.70285210e+06
5465,2.63255795e+06
5506,2.63024797e+06
5528,2.59797096e+06
5558,2.46925735e+06
5682,2.46759668e+06
5806,2.40998550e+06
5853,2.40997566e+06
5889,2.39813917e+06
6232,2.39587055e+06
6390,2.39150177e+06
6426,2.35980070e+06
6550,2.30641087e+06
6674,2.30620116e+06
6866,2.26408968e+06
6890,2.26057870e+06
7138,2.25319312e+06
7489,2.22414087e+06
7542,2.22214969e+06
7595,2.16433799e+06
7716,2.16198906e+06
7843,2.12613921e+06
8038,2.11854463e+06
8085,2.11826446e+06
8127,2.10449436e+06
8214,2.06032011e+06
8436,2.04762250e+06
8499,2.03393469e+06
8623,2.03310186e+06
8684,2.03284903e+06
8747,2.00170831e+06
8809,1.99949432e+06
8847,1.91825215e+06
8973,1.91676787e+06
8995,1.91666473e+06
9056,1.88276448e+06
9103,1.83922308e+06
9215,1.81349890e+06
9341,1.80915077e+06
9426,1.65895802e+06
9585,1.65795777e+06
9612,1.65787321e+06
9674,1.65727651e+06
9961,1.65610220e+06
9963,1.62213820e+06
10049,1.53149985e+06
10111,1.49690485e+06
10173,1.48245592e+06
10334,1.48201518e+06
10483,1.42486745e+06
10542,1.39415192e+06
10607,1.15926259e+06
10704,1.15866874e+06
10792,1.15865155e+06
10855,1.15864566e+06
11162,1.15852599e+06
11288,1.14775552e+06
11351,1.12967909e+06
11536,1.12823837e+06
11599,1.12806303e+06
11691,1.11354111e+06
11723,1.11348520e+06
11810,1.11330883e+06
11837,1.10889961e+06
11971,1.10888976e+06
12032,1.10487878e+06
12219,1.08719393e+06
12402,1.08694291e+06
12591,1.08684697e+06
12807,1.06849968e+06
12839,1.06846972e+06
13269,9.20908626e+05
13298,9.20904074e+05
13423,9.19663114e+05
13455,9.16282311e+05
13641,8.80700492e+05
13675,8.80605943e+05
13765,8.80026176e+05
13827,8.80001322e+05
14013,8.79757916e+05
14169,8.04045221e+05
14261,7.88489999e+05
14288,7.63388313e+05
14385,7.49785583e+05
14415,7.48668495e+05
14447,7.47226986e+05
14509,7.32362658e+05
14653,7.27599234e+05
14678,7.27557586e+05
14908,3.74350063e+05
