Evaluations,Fitness
1,82.084129
3,69.202288
5,40.061001
7,17.466218
11,10.882199
13,10.101481
15,3.157811
136,2.909315
162,2.475733
169,1.440783
242,0.945038
262,0.897663
405,0.520115
418,0.417238
1118,0.413497
1150,0.406931
1699,0.401056
1861,0.399066
2009,0.398359
2401,0.397967
3527,0.397914
4035,0.397897
4538,0.397895
5349,0.397894
5530,0.397890
5778,0.397890
6026,0.397889
6150,0.397889
6522,0.397888
6707,0.397888
7066,0.397888
7246,0.397888
7314,0.397888
8010,0.397887
8182,0.397887
8678,0.397887
8747,0.397887
9610,0.397887
9762,0.397887
10112,0.397887
12716,0.397887
12778,0.397887
13646,0.397887
