Evaluations,Fitness
1,225488232.336319
3,182328367.777236
6,182200248.317592
12,181879501.178255
15,145239652.908783
77,145236608.086652
134,144972119.678594
181,144530210.289684
201,144520041.250341
260,144395084.596401
449,143166066.978539
509,143124890.855085
795,141811801.182018
821,138245814.557261
879,138108303.935362
1052,137819174.846966
1129,137783383.096962
1253,137570456.882243
1299,137335056.810688
1565,136827965.501373
1689,132461868.967134
1749,132447005.530663
1788,127073441.480351
1913,126672307.627976
2185,123501018.389612
2433,123466082.685249
2617,120235986.564049
2658,120221252.013857
2805,120220241.123831
2865,119689246.874983
3053,119588921.531258
3158,118002293.327007
3301,114042907.090084
3358,114038592.029289
3360,105251059.062939
3607,95175045.264732
3676,94974504.773794
3734,94836783.785840
3895,93409651.733963
4048,85398266.312254
4227,85287487.655748
4257,85159265.700459
4394,85045909.892124
4520,84632286.177878
4668,82465568.392192
4848,78124603.925766
5218,78122464.553894
5240,78107668.471052
5384,77666159.401872
5468,75042017.170211
5507,74733105.153584
5614,74658601.129962
5716,74657084.598295
5747,74655501.924280
5880,72352116.297683
5908,72352022.076784
5961,72269238.388539
6217,72207512.203288
6258,72202165.657482
6459,72202160.783241
6528,70844678.072075
6583,69562398.499843
6652,69562266.873871
6900,68860122.744264
6956,68850885.454152
7203,65527240.416867
7272,61054072.342022
7328,60947551.713392
7612,60947532.398063
7699,60947350.199097
7823,60882613.715756
7944,55320578.364952
8231,55308700.868293
8599,53427251.112650
8693,53409395.441769
8760,53363003.553759
8845,53353386.794234
8937,51956267.347485
9101,51375789.955921
9188,51373065.591447
9339,50740261.072406
9504,50453123.483701
9562,46409115.479961
9712,46271448.768463
9806,46268356.247042
9932,39881058.766223
10329,39880805.000932
10372,39859235.120847
10428,36641367.773046
10462,36186024.682661
10554,35970985.441367
10673,35255061.608483
10697,35060716.772128
10920,35002428.932435
10952,34995762.649742
10992,34975476.140630
11095,34820662.585548
11169,34729749.208817
11320,33437110.880603
11351,33413398.543573
11411,33334283.165581
11564,33029561.247817
11599,32486775.079257
11660,32486462.550364
11690,32422580.463797
11723,32302422.556695
11783,32263376.305066
11847,32204776.564318
11971,32150494.303854
12179,32145351.976805
12280,29902247.788010
12309,29731286.045705
12525,29709437.580406
12570,29249805.980928
12651,29142474.679281
12708,28327012.801709
12940,15214745.332189
13023,11218272.339321
13102,10792988.554416
13149,10781572.535567
13162,10591877.501643
13276,10561808.433616
13286,10561800.539585
13398,9757891.829844
13554,9757034.788497
13645,9693074.605943
13701,9691353.680152
13911,9442997.243190
14053,9411676.417670
14066,9398957.840679
14218,9365607.597529
14285,9363417.560277
14400,9344391.160867
14422,9284943.879116
14513,9204710.670063
14590,9204064.876560
14640,9125503.898231
14760,9125488.967451
14784,9122523.417927
14794,9079368.773726
14838,9075106.119452
