Evaluations,Fitness
1,21.403995
14,21.214618
16,21.125331
62,21.111777
78,21.089016
248,21.061176
388,21.026832
511,21.003451
636,20.998092
698,20.995304
760,20.966730
884,20.955265
1008,20.946227
1068,20.936044
1070,20.933250
1192,20.926753
1255,20.904166
1318,20.888333
1380,20.879609
1442,20.867792
1654,20.844518
1876,20.835028
1938,20.781029
2062,20.769565
2186,20.762689
2248,20.761594
2310,20.746853
2434,20.724482
2495,20.720871
2682,20.720574
2868,20.713327
3130,20.704168
3178,20.700962
3240,20.697908
3302,20.679523
3364,20.651786
3426,20.613700
3749,20.613684
3922,20.610561
3948,20.591578
3984,20.583671
4010,20.537962
4134,20.534911
4382,20.533151
4444,20.528371
4630,20.492526
4877,20.485979
4896,20.440264
5020,20.436832
5185,20.403972
5247,20.369555
5456,20.357650
5580,20.344605
5681,20.331804
5704,20.257839
5763,20.231834
6572,20.202117
6610,20.192352
6734,20.159192
6921,20.121700
6983,20.101278
7665,20.031531
7789,19.980391
8161,19.965362
8222,19.938168
8346,19.933189
8657,19.904892
8718,19.898032
8967,19.871371
9029,19.831494
9089,19.818979
9277,19.817266
9401,19.804557
9773,19.804384
9796,19.712499
9920,19.627163
9979,19.622454
10292,19.612758
10416,19.586261
10600,19.527130
10664,19.503976
10846,19.499337
11097,19.487091
11532,19.449028
11838,19.448869
11963,19.415369
12152,19.413883
12208,19.395577
12586,19.384633
12648,19.347256
12709,19.335859
12772,19.315058
13020,19.276604
13144,19.267509
13201,19.260671
13654,19.045252
13840,19.031901
13901,18.988061
13964,18.972488
14026,18.960003
14384,18.853199
14441,18.830183
14632,18.826726
14956,18.757486
