Evaluations,Fitness
1,11519159.271096
2,11089886.214096
3,8018177.723938
4,6709851.189521
12,6436537.855387
57,4421779.851404
149,4414629.456034
243,4238966.343425
491,4198766.499101
523,4091829.617958
773,4024199.618296
863,3878266.550157
1111,3517508.027983
1141,3517044.775168
1174,3516613.101476
1235,3502137.311320
1359,3461068.551022
1425,3437868.712960
1483,3437608.848622
1540,3411493.717876
1643,3359528.949828
1768,3162218.783822
1855,2788275.608231
1979,2770341.987827
2012,2763573.171152
2037,2721744.622151
2163,2690801.055162
2227,2666269.483743
2409,2629050.725772
2506,2626416.979593
2526,2618316.570332
2599,2589062.596492
2651,2539494.486238
2748,2537498.561293
2876,2533483.466794
3000,2530542.303593
3022,2495059.334598
3095,2431123.627219
3120,2416502.655190
3142,2414119.150067
3274,2356188.213656
3400,2344908.474010
3591,2327755.076552
3715,2319903.015562
3839,2284717.510594
3869,2265171.685215
3891,2210145.437157
4335,2194241.423004
4384,2193723.748776
4490,2192639.922740
4511,2183923.777494
4707,2183736.088234
4760,2181263.970302
4988,2175367.182294
5327,2138235.881711
5358,2131234.939444
5507,2129948.767954
5604,2126359.878558
5726,2097084.582021
5756,2056268.103102
5878,2054134.789781
5947,2047325.807566
6006,2028351.722926
6099,2021814.953898
6195,1991002.313631
6223,1968494.518161
6319,1968483.430318
6372,1968476.404567
6596,1881108.084863
6691,1866912.613536
6815,1799910.989245
7003,1799400.519951
7217,1799076.797417
7459,1798811.344032
7585,1795830.816496
7728,1753921.303338
7866,1752815.811656
7958,1731383.671855
8237,1686698.437939
8361,1680294.460342
8452,1677815.281169
8477,1673267.068870
8596,1667176.794695
8742,1653104.747401
8855,1653087.100361
8923,1641547.149771
8950,1634174.429337
9081,1595091.443864
9419,1594634.371640
9463,1591395.804479
9485,1558123.516165
9543,1365735.753355
9573,1365525.749501
9838,1358506.130837
9963,1331328.710297
9980,1327138.121247
10163,1321327.961763
10213,1314104.206065
10287,1305483.747638
10411,1240308.814621
10443,1224888.106605
10584,1221319.695796
10679,1219046.307495
10783,1172737.682967
10950,1151682.455166
11058,1151402.555906
11077,1150032.905256
11177,1141197.566807
11221,1137561.888333
11302,1125009.725762
11325,1124064.298081
11403,1118680.172857
11455,1099254.734315
11798,1098102.831284
11820,1092264.165226
11835,1086645.932173
11917,997578.059245
12023,989968.598239
12044,989815.573836
12065,939125.838808
12147,926761.241369
12171,926755.868862
12211,922740.748161
12415,917613.483902
12562,917601.606591
12581,912415.226382
12669,909906.450465
12785,909906.269231
12821,909560.652557
12891,901941.399461
12917,885857.592896
13015,882277.279857
13039,881594.380847
13057,881225.558077
13079,880725.031411
13387,876122.167394
13412,874190.984709
13433,874182.829078
13511,871553.695331
13556,871436.328774
13677,868179.496378
13759,802534.475814
13926,802530.936431
14255,750001.839302
14286,742168.107167
14309,619340.385989
14751,617231.536953
14759,614925.491856
14882,607084.647313
14939,607084.590704
