Evaluations,Fitness
1,1789.0466192416577
6,1666.9357200877268
9,1666.4804202234268
10,1527.0032074044336
16,1506.382478444014
17,1433.3772388848636
42,1340.9550823426791
593,1250.9733733649603
762,1212.2068367403149
1523,1161.9169180438441
1614,984.9547313976844
3168,972.0633836826302
4509,964.572937003337
4610,921.4861236282222
6041,916.7370498968621
6597,898.5699807679385
6801,839.9755567972823
6941,777.9269769729029
8589,731.9442793796686
10104,701.0909543130978
12769,693.6548926072526
13787,631.5858508226239
13861,423.3343884104584
