Evaluations,Fitness
1,-0.054287840111068936
3,-1.5829052502207368
9,-3.7009127449781527
134,-3.791520952180245
426,-3.8117723261537115
589,-3.825445413163191
676,-3.85407848973613
1260,-3.857493992556968
2500,-3.859727912220757
2590,-3.8604460086735273
2770,-3.8606624362865514
2856,-3.861076147939401
3004,-3.861676485773313
3313,-3.8619543221828128
3419,-3.862018681243061
3581,-3.862051156580411
3586,-3.862196804164542
3804,-3.8623187626551383
3856,-3.8626686480943615
4563,-3.8626727641493
4762,-3.8627034303310785
5320,-3.862750865825225
5843,-3.8627770054610635
6497,-3.862777352998064
6713,-3.862777439194379
7295,-3.862778440608459
7378,-3.86277921391625
7572,-3.8627792381131623
7860,-3.862779477101288
7878,-3.862779617701272
8328,-3.862779650002501
8423,-3.8627797113206093
8738,-3.8627797263241934
8861,-3.8627797390918484
9127,-3.8627797572277505
9274,-3.862779775755893
9877,-3.8627797822830248
10607,-3.86277978531459
11154,-3.8627797865728613
11936,-3.862779787024154
12105,-3.8627797872477614
13348,-3.8627797872889222
13513,-3.862779787306237
13580,-3.8627797873128333
13998,-3.8627797873191643
14186,-3.862779787331255
14707,-3.862779787331596
15038,-3.8627797873317142
15044,-3.8627797873318794
