Evaluations,Fitness
1,2473.0236325123024
19,2380.445899724022
26,2162.006899427615
51,2006.3823571854118
95,1848.207935454246
590,1826.3954085971793
832,1706.352666125065
1082,1689.5478870530405
1096,1567.6030616061903
1351,1555.6602851239309
1359,1325.7161322509232
1453,1306.1186393049663
2151,1289.6269985932158
2262,1240.9715358881078
2526,1196.9438699283855
2646,1186.9992021331375
3102,1014.2783879672131
3572,996.5551900149196
3758,939.487749429145
4115,852.7514201134669
4275,846.5322967470271
5206,801.3777245042114
6546,740.869025854016
8654,717.5626657525715
9273,656.7415074526295
10583,643.2469388659028
10851,602.0931312925851
12382,515.0763462534637
13269,510.3363568592428
14351,466.49174599669317
