Evaluations,Fitness
1,1529.2064374068864
2,1420.970706275969
4,1313.0419823870157
13,1272.173622286753
44,1266.4523020703875
81,1229.1909672055224
180,1177.7167403392136
355,1150.961515625097
792,1062.3244824697986
1586,1034.1322307018077
1648,1019.7135134057393
2404,997.5968951505859
3131,997.5241293710023
3261,941.470314814003
3360,920.9993251495594
3404,860.6103320861785
4608,859.8416033640058
5706,824.0847950991194
6375,807.148119570361
7231,765.0358974996145
8027,752.6538923080861
9082,722.5863241370535
