Evaluations,Fitness
1,366553.76220783056
3,308635.366154565
7,251585.1407016358
18,240962.62388209664
21,218868.69442343118
132,189790.09689420753
295,162238.94967533447
1866,160848.43816033826
2132,134027.19787581338
2541,125934.69710389168
2648,121644.46008823047
4025,118554.12490714298
4254,113412.24904039464
4612,112205.5136001027
4648,105353.02539486672
4748,98104.32547165891
5826,78214.84824715264
8546,77130.73818609287
8770,71037.78493309072
8854,69578.8038222304
9588,68489.80255046775
10756,67124.29291705479
11538,59634.63308433694
12409,54371.01273039714
12659,52743.46981648404
13983,50559.69967483284
