Evaluations,Fitness
1,-0.08159581275757485
2,-0.35145133444480536
3,-1.8958879412653038
6,-1.994143564405582
19,-2.1156103227100687
26,-2.876856134054921
52,-2.929143642316986
54,-3.4836512193757265
74,-3.6361384249452815
177,-3.738466839087353
673,-3.7793829752209653
737,-3.85202707319438
921,-3.859681552270777
1218,-3.860984231109117
2834,-3.8615031443899044
3701,-3.8620311937499188
3897,-3.8621859351283803
4269,-3.862187583746625
4326,-3.8624544700197703
4623,-3.8626013497187572
4920,-3.862610258524259
5136,-3.8626249058475857
5302,-3.862691613775246
5465,-3.862726083796715
5837,-3.8627337951060494
6258,-3.8627429194800444
6382,-3.862750203873243
6581,-3.8627681124627737
6749,-3.8627705728981834
6795,-3.862776951901845
6839,-3.8627785403192396
7548,-3.8627788585541856
7829,-3.86277889245931
7834,-3.862779726886414
8702,-3.8627797302472193
10268,-3.862779738628417
10468,-3.862779751580123
10592,-3.862779770604518
11055,-3.8627797720982726
11499,-3.8627797811888316
11675,-3.862779785716722
12171,-3.8627797866759046
12419,-3.86277978696707
14031,-3.8627797870524843
14903,-3.862779787223003
