Evaluations,Fitness
1,264.335462
3,47.700687
38,36.841257
133,25.194799
136,15.342358
235,11.581208
326,9.173868
442,7.752524
512,4.727707
637,4.039950
701,3.335328
774,3.199893
857,3.162092
1435,3.103679
1510,3.103652
1617,3.055131
1635,3.001980
2135,3.001337
2501,3.000369
2876,3.000253
2903,3.000059
3001,3.000058
3215,3.000032
3480,3.000014
3730,3.000005
3862,3.000000
4673,3.000000
4823,3.000000
5123,3.000000
5272,3.000000
5479,3.000000
5829,3.000000
6037,3.000000
6204,3.000000
6264,3.000000
6798,3.000000
6889,3.000000
7011,3.000000
7259,3.000000
7530,3.000000
8211,3.000000
8433,3.000000
8655,3.000000
8892,3.000000
8926,3.000000
9218,3.000000
9402,3.000000
9530,3.000000
9756,3.000000
9913,3.000000
10308,3.000000
10650,3.000000
11767,3.000000
