Evaluations,Fitness
125,-3.850846
1000,-3.854478
1125,-3.859449
1500,-3.861480
2000,-3.861725
2125,-3.861792
2250,-3.862218
2375,-3.862495
2500,-3.862522
2625,-3.862558
2750,-3.862739
2875,-3.862765
3125,-3.862771
3875,-3.862776
4000,-3.862779
4125,-3.862779
4250,-3.862781
4375,-3.862781
4500,-3.862782
5375,-3.862782
6125,-3.862782
6750,-3.862782
6875,-3.862782
7000,-3.862782
7375,-3.862782
8000,-3.862782
8250,-3.862782
8500,-3.862782
9125,-3.862782
9250,-3.862782
9500,-3.862782
9750,-3.862782
9875,-3.862782
10000,-3.862782
10125,-3.862782
10250,-3.862782
10375,-3.862782
10750,-3.862782
11000,-3.862782
11375,-3.862782
11750,-3.862782
12500,-3.862782
