Evaluations,Fitness
1,3076.169565
3,2776.412676
5,2554.505506
8,2384.353454
16,2324.028645
66,2272.183842
117,2186.121973
120,2016.874737
425,1994.679803
780,1944.758411
891,1915.481336
1118,1858.643431
1142,1751.219132
1146,1669.071113
1389,1500.103797
1823,1411.099837
1990,1071.242064
2240,1035.059732
2681,812.745263
3311,778.383378
3325,751.343640
4520,736.867543
5051,712.968900
5295,646.997460
5337,599.854924
5616,552.201023
6056,551.273931
6907,518.005877
7622,472.346948
8399,465.603369
8520,458.281348
8879,454.324477
9019,432.883804
9081,396.107392
9456,343.921096
11078,277.740076
13521,270.373270
14527,256.177857
