Evaluations,Fitness
1,206.017261
3,22.055522
4,3.472857
5,2.253104
17,-0.825270
310,-0.889895
557,-0.949653
737,-1.012319
757,-1.029000
1321,-1.030862
1622,-1.031264
1896,-1.031313
1999,-1.031319
2266,-1.031408
2306,-1.031574
2391,-1.031605
2610,-1.031621
2812,-1.031628
3505,-1.031628
3832,-1.031628
4353,-1.031628
4925,-1.031628
4967,-1.031628
5056,-1.031628
5420,-1.031628
5469,-1.031628
5482,-1.031628
5920,-1.031628
6048,-1.031628
6340,-1.031628
6372,-1.031628
6619,-1.031628
6678,-1.031628
6923,-1.031628
7474,-1.031628
8023,-1.031628
8089,-1.031628
8646,-1.031628
8835,-1.031628
8881,-1.031628
9737,-1.031628
10613,-1.031628
