Evaluations,Fitness
125,6495925.803523
250,6484649.930893
375,6092763.998857
625,5748904.997902
750,5591792.996740
875,5472278.487255
1000,4376585.138574
1250,4291392.172724
1375,3578704.819067
2125,3346698.582458
2500,3270052.855385
2625,3258519.664491
2750,3026203.537861
3000,2992853.369203
3375,2863057.055222
3500,2709531.646684
4000,2471266.910465
4375,2424557.161536
4625,2394352.403840
4875,2177738.440942
5000,2145122.503280
5250,2016925.399485
5500,1947270.423867
6125,1700754.567051
6875,1594507.436067
7375,1572771.562140
7625,1378194.310774
8125,1301255.760585
8250,1288677.440189
9250,1288557.825890
9625,1251180.783184
9875,1242759.659250
10000,1178592.638720
10125,1150441.362966
10500,1057160.055404
11000,951742.843417
12750,911192.537232
13625,856655.369350
14126,797547.894529
14376,770055.634731
