Evaluations,Fitness
1,290967.836101
3,288072.796647
4,215401.226023
548,193235.222039
954,192874.656126
999,188676.106847
1204,188535.117460
1247,180404.584942
1287,176909.131722
1470,170867.538696
1689,153497.359813
2040,149381.782045
2154,139966.329497
2560,138708.982460
2709,130547.570555
2856,127738.683414
2957,119867.978185
3704,109308.980384
4144,100311.278140
4513,100305.273226
4738,82848.163878
8607,81900.624803
8935,72759.619488
9954,72323.258062
10174,57520.763215
12047,57161.083496
13065,56853.559115
13971,56180.043441
