Evaluations,Fitness
1,7523151.610325
3,5983873.965528
5,5947970.537163
6,5650308.823740
8,5515024.121061
12,5371429.958594
13,5104882.437978
14,4670923.708050
787,4288634.331874
1001,4177646.112712
1083,3594854.146285
1699,3425086.395967
2121,3413862.484492
2224,3087865.519896
3421,2902436.108788
3961,2794952.033740
4893,2716083.408049
5034,2705274.488510
5501,2607469.995575
5540,2573307.869588
5694,2313982.716644
6711,2174439.828840
8491,2117106.117582
8568,2076824.698353
9636,2053554.751058
10516,2018000.200742
11264,1990295.909951
11436,1892381.713048
12200,1768770.046637
12436,1694475.072088
13182,1585443.294842
