"Evaluations","Fitness"
1,1575.7469056499
2,1500.18666189348
5,1409.29056225861
21,1309.21406871119
87,1299.17723469058
89,1193.60564462557
1348,1183.60799646453
1729,1174.20664057785
3634,1162.21963045843
4012,1111.86888198414
7149,1108.84438875279
8033,1104.99941670021
11048,1090.29633884078
11410,1088.99712758286
11926,1085.53222560956
12288,1073.86748402915
12304,1062.31425492588
14044,1058.15078022799
14060,1040.92060994554
14825,1040.91888931018
16065,1040.41979120471
16081,1024.13588191186
16959,1017.01174478893
16974,1008.51573370841
17443,1006.58282462887
17821,944.770433255677
19077,937.766164875044
19836,911.97456671898
20217,906.225323916908
20717,880.37033033582
23229,873.676590935781
24107,860.008620269924
26869,853.07265534791
29125,843.167954224833
31003,842.563939541888
32265,835.136471373282
32765,835.075073640828
33174,832.222055697852
34174,830.754876797693
34552,829.115724232766
37161,823.027192225777
38816,810.592720079596
39697,805.089522017781
40487,790.10169255342
41365,771.508533528515
46861,764.006172250475
48001,760.664145392964
49166,751.913606275256
49922,750.405165876617
50391,740.488301985612
