Evaluations,Fitness
1,21.206110
6,21.181665
9,21.033874
20,21.008952
25,20.921431
96,20.847858
106,20.814293
321,20.808844
481,20.764516
1019,20.732564
1106,20.728723
1265,20.692220
1269,20.659178
1981,20.632174
2085,20.624505
2481,20.580183
3231,20.546751
3284,20.545427
3374,20.539731
3550,20.483128
4121,20.371604
4231,20.369315
4481,20.364932
4598,20.361708
5100,20.347132
5362,20.340148
5481,20.306806
5731,20.305295
6865,20.294632
6978,20.269575
7731,20.199161
8231,20.119183
8481,19.963042
9067,19.737091
9333,19.706771
9481,19.701878
10481,19.684798
10515,19.644689
10731,19.619329
10765,19.598400
11231,19.598056
11591,19.555220
11731,19.362043
12481,19.347768
12981,19.292822
13731,19.263597
13981,19.257215
14231,19.255516
14290,19.246443
