Evaluations,Fitness
1,1493.53
2,1368.13
5,1094.4
314,1092.71
328,1089.34
380,1081.14
523,1074.37
630,1055.83
880,1042.62
1001,1026.27
1566,1021.77
2358,1009.91
2380,1008.12
2572,1005.54
2785,995.949
3309,993.232
3380,989.006
3516,953.296
3812,948.404
3858,947.751
4270,945.81
4272,941.637
4274,941.143
4384,940.503
4608,937.5
5047,933.506
5078,916.232
5373,908.37
5380,903.969
5630,886.089
5835,865.957
6255,860.712
6617,856.571
6854,845.64
6880,825.074
7072,802.86
7098,802.29
7130,790.373
7380,768.453
7630,768.178
7825,762.86
8025,738.594
8504,738.557
8792,733.206
8880,723.961
9380,722.223
9630,712.116
9820,695.382
10118,686.167
10283,685.942
10360,685.793
10630,672.688
11283,666.866
12052,663.891
13270,658.016
13356,654.436
13630,645.172
14768,633.762
14820,633.553
