Evaluations,Fitness
1,8.24849e+08
2,8.00086e+08
5,7.16948e+08
18,7.06908e+08
72,6.18484e+08
83,6.10392e+08
313,6.10257e+08
337,6.03634e+08
708,5.97389e+08
793,5.92073e+08
947,5.87063e+08
1281,5.86496e+08
1697,5.85293e+08
1778,5.85229e+08
1916,5.84168e+08
2041,5.77256e+08
2197,5.46128e+08
2543,5.46037e+08
2574,5.44066e+08
2688,5.44039e+08
2697,5.43692e+08
2753,5.43597e+08
2947,5.41896e+08
3106,5.24842e+08
3197,5.24836e+08
3275,5.19077e+08
3557,5.19075e+08
3697,5.18459e+08
3811,5.17417e+08
3976,5.17164e+08
4087,4.87611e+08
4226,4.70005e+08
4271,4.59919e+08
4345,4.52922e+08
4360,4.04624e+08
4864,3.99694e+08
5064,3.8683e+08
5226,3.74961e+08
5351,3.74761e+08
5355,3.62872e+08
5501,3.62736e+08
5507,3.43981e+08
5790,3.43952e+08
5976,3.43189e+08
6098,3.43165e+08
6348,3.41173e+08
6361,3.17708e+08
6476,3.17625e+08
6508,3.16541e+08
6873,3.16408e+08
7098,3.16338e+08
7226,3.16338e+08
7585,3.14872e+08
8020,3.1407e+08
8114,3.00342e+08
8226,2.96634e+08
8295,2.63971e+08
8367,2.63107e+08
8476,2.62751e+08
8862,2.62586e+08
9031,2.62584e+08
9322,2.62564e+08
9416,2.60409e+08
9535,2.60399e+08
10325,2.59948e+08
10343,2.59826e+08
10368,2.57262e+08
10666,2.4326e+08
10822,2.43198e+08
11027,2.14029e+08
11447,2.13969e+08
11618,2.0939e+08
11777,2.08647e+08
11792,2.08394e+08
11818,2.08394e+08
11947,2.04199e+08
12197,2.00291e+08
12330,2.00074e+08
12599,1.99961e+08
12608,1.79735e+08
12842,1.79407e+08
12947,1.79172e+08
13096,1.79096e+08
13528,1.78194e+08
13809,1.7819e+08
13862,1.78161e+08
13947,1.78148e+08
14332,1.78136e+08
14447,1.75859e+08
14697,1.75844e+08
