Evaluations,Fitness
1,1.51394e+09
2,3.58652e+08
544,3.34939e+08
550,2.90238e+08
559,2.88829e+08
586,2.88312e+08
621,2.87629e+08
809,2.7874e+08
1266,2.77984e+08
1367,2.77587e+08
1864,2.7698e+08
2095,2.48402e+08
2285,2.39027e+08
2390,2.38862e+08
2811,2.38582e+08
2871,2.35299e+08
3040,2.28972e+08
3108,2.27141e+08
3343,1.77698e+08
3528,1.76198e+08
3859,1.75425e+08
4026,1.75286e+08
4373,1.75163e+08
4736,1.73064e+08
5020,1.72849e+08
5061,1.72709e+08
5062,1.68183e+08
5516,1.62748e+08
5571,1.61327e+08
5784,1.61306e+08
5785,1.58927e+08
5986,1.50473e+08
6023,1.49708e+08
7116,1.48691e+08
7486,1.46759e+08
7779,1.41313e+08
7844,1.41208e+08
8024,1.38638e+08
8064,1.34731e+08
8553,1.33941e+08
9736,1.32206e+08
9986,1.30168e+08
10272,1.25586e+08
10303,1.24567e+08
10355,1.23662e+08
10538,1.2147e+08
11019,1.21415e+08
11583,1.21308e+08
13486,1.21258e+08
14598,1.21233e+08
