Evaluations,Fitness
1,21.4822
2,21.4774
5,21.353
10,21.3227
39,21.22
54,21.0761
679,21.0599
929,21.0568
1352,21.0533
1553,21.0266
1790,21.014
1807,21.0116
2016,20.9949
2679,20.9595
3179,20.924
3679,20.902
4179,20.891
4370,20.8859
5179,20.8562
5859,20.8392
6264,20.805
6929,20.795
7179,20.7544
7429,20.7456
7517,20.7238
7594,20.6363
7679,20.634
7856,20.5664
7929,20.5631
8542,20.5263
9679,20.523
10777,20.4663
11179,20.4501
11664,20.4327
11914,20.3318
13120,20.0826
13414,20.0628
14164,20.0263
14414,20.0039
14507,19.951
14541,19.9474
