Evaluations,Fitness
1,5.89248e+09
2,2.96173e+09
3,1.97735e+09
6,1.57842e+09
10,1.4838e+09
11,1.3341e+09
23,1.24974e+09
38,9.39326e+08
39,6.79726e+08
63,5.64095e+08
188,5.36517e+08
302,5.19871e+08
340,4.9057e+08
352,4.87075e+08
438,4.83722e+08
502,4.78966e+08
755,4.63815e+08
866,4.5888e+08
1261,4.58686e+08
1262,4.57653e+08
1295,4.5542e+08
1523,4.34196e+08
1605,4.32543e+08
1774,4.32471e+08
1809,4.08945e+08
1850,3.96089e+08
1983,3.84433e+08
2233,3.83307e+08
2554,3.66099e+08
2600,3.62571e+08
2616,3.56325e+08
2663,3.511e+08
2782,3.47464e+08
2791,3.45894e+08
2801,3.05706e+08
2805,3.01684e+08
2945,2.99739e+08
3031,2.44979e+08
3039,1.99787e+08
3945,1.99659e+08
4040,1.90907e+08
4043,1.89857e+08
4445,1.88973e+08
4610,1.88801e+08
4857,1.81296e+08
4945,1.80236e+08
5108,1.78193e+08
6034,1.77985e+08
6445,1.7795e+08
6783,1.77425e+08
7607,1.77188e+08
8279,1.77167e+08
8348,1.77158e+08
8864,1.68049e+08
9078,1.67987e+08
9103,1.67955e+08
9358,1.67812e+08
9695,1.67397e+08
9852,1.67014e+08
10095,1.66614e+08
10287,1.59347e+08
10846,1.56228e+08
11078,1.54262e+08
11195,1.53734e+08
11505,1.5336e+08
11571,1.51731e+08
12104,1.51559e+08
12359,1.49156e+08
12617,1.47469e+08
13573,1.47338e+08
13603,1.46792e+08
14034,1.46207e+08
14195,1.46207e+08
