Evaluations,Fitness
1,283241.36796607444
6,282827.61336296034
21,282624.4991100928
31,282122.49501978705
45,282086.74661274964
46,281893.30574725015
61,281805.1732124649
67,281804.1324504244
70,281613.141940815
78,281324.8028830125
92,281160.557634052
109,281155.4929084179
111,281041.9028502496
115,280545.7753548148
146,280512.52640144376
153,280462.0844746694
155,280079.2123353325
159,279845.2672242453
168,279795.9288831202
175,279443.5344264073
181,278746.4219910933
208,278552.33026361023
215,278346.99996425404
224,278116.197642216
237,277954.88054172584
241,277372.5559162923
256,277116.21998966194
278,275182.62589266576
306,275142.6802209081
323,274619.6242670082
337,274231.5718178244
348,273549.3282924224
369,273547.14990760095
374,273417.3997781558
377,272983.1578200077
390,272336.54167439224
396,271705.31655931246
399,270529.04350052425
431,269596.3317020816
438,268591.95027920214
455,267747.5640203864
483,266311.7781396649
492,265968.44135584903
517,265509.4129327769
523,265251.4740011526
534,264988.19383248035
541,262284.43590967386
551,262214.21122533374
574,260064.15219007083
589,260025.08789150498
602,255388.96498113268
615,255287.35948159776
638,252985.83905921035
650,250655.97240177865
674,250178.58731385515
695,249489.23178482105
707,248329.20335527585
713,246615.55482756367
724,246194.3868362111
725,242738.42697974763
728,241328.5769096873
743,240288.65021730994
751,237878.3870212123
775,237401.65368059668
784,229024.56902283282
817,227050.6968083327
826,224724.39589006157
837,224502.50181395138
841,224435.98490520965
842,219616.37343648533
872,204473.25098824545
906,197602.99605575722
943,196590.25793761795
949,194165.07270371707
963,189616.5156613552
965,189204.45937020914
967,186665.0415849196
975,184808.35828569296
994,179107.21863055724
1001,172732.00460464228
1023,168910.5394437219
1026,165464.59145847594
1052,154146.9982960113
1059,153529.79825407945
1081,150560.07585419677
1084,149845.32086592523
1085,141881.4820510062
1125,131045.05191009228
1150,127801.41749454671
1173,124900.12555663574
1189,119786.51434270087
1219,117252.01087663563
1235,113592.58089670524
1242,105626.03565381143
1246,103569.56495891589
1260,93779.13966773712
1287,88060.91089729413
1297,85720.21086160767
1313,63708.84032407248
1671,62738.7984913428
1847,62616.44538151767
1879,48515.06011940541
1954,47361.57458388294
2140,37337.42140449823
2264,31724.06935598462
2343,30704.543579144294
2380,27867.60497569627
2478,26520.86631986982
2552,20189.293686216075
2732,19778.60820782943
2736,18803.300541573008
2741,17000.410558598644
2752,16666.250014327663
2838,13184.51112636445
2864,12966.555264590399
2866,12740.490180624862
2882,12204.654967003411
2984,11414.897028721523
3012,11069.854890739232
3041,10486.888002024363
3047,10447.355243838065
3055,9512.082902362628
3097,9384.664229176944
3130,9202.12212575933
3165,7897.570291195471
3205,7544.826249512692
3227,6709.961337071245
3270,6576.237797812254
3299,5085.8957399307355
3382,4535.95141792865
3430,4435.740788857347
3482,4407.102966215294
3498,4382.596529640972
3515,3930.151361950432
3518,3469.3954862194
3562,3238.4497888137435
3576,2563.4804768037916
3661,2406.2367325145165
3696,2039.2922285749507
3786,2035.9309185611344
3800,1929.7483259155213
3808,1877.826440050836
3846,1797.7843832147228
3860,1691.5061471347558
3879,1481.9310697605831
3936,1419.7288629652196
3949,1116.8302050535049
4027,1093.838195664861
4058,981.1416659092492
4073,967.0025974531068
4078,893.1595055375858
4113,884.4135928674687
4134,842.2652458355593
4156,774.2839695592249
4183,688.0111792214093
4208,675.3734064986478
4282,655.8006602733645
4339,618.7005794090073
4340,555.688724220357
4376,518.7057009054912
4391,513.7472189222887
4425,512.3097676237292
4427,476.43670097275526
4446,454.0325656492002
4449,419.94912371759017
4479,379.57779721643885
4505,370.315389138776
4512,363.1703067033139
4532,355.79958765744544
4540,346.7204950996703
4547,325.8952695869114
4569,311.8707774281348
4584,286.5376510787304
4588,256.4485640468302
4654,250.57390040596698
4660,232.50938802665274
4663,226.42103446168522
4673,220.30308762628823
4683,209.78477219333897
