Evaluations,Fitness
1,220.53719585170398
2,130.46156158868294
3,101.68271610202518
5,7.999195879558478
32,3.6277943297723603
42,0.46317626024823966
44,0.1985799223633844
48,-0.32543841376279303
56,-0.9161103514451563
152,-0.9163302936910782
187,-0.9459481547287396
193,-1.0036202126444458
298,-1.0098221195930854
342,-1.0111714210140397
347,-1.0112642663057765
350,-1.0158501600914729
352,-1.027641482184497
371,-1.0310102000444687
407,-1.031332353725851
456,-1.0314306195555367
478,-1.0315825923782407
506,-1.0316075888735947
520,-1.0316279511713722
572,-1.0316280229682147
624,-1.03162807026758
637,-1.031628111831081
651,-1.0316281147005157
661,-1.0316284114085423
672,-1.031628430152068
691,-1.0316284507172333
724,-1.0316284533484554
826,-1.031628453403685
878,-1.031628453489394
923,-1.031628453489549
1041,-1.0316284534898383
