Evaluations,Fitness
1,(21.38438402943344,)
2,(21.20100287692732,)
3,(21.18773683513028,)
6,(21.141355635132225,)
7,(21.08523268842162,)
26,(21.074751143636263,)
56,(21.065380746582647,)
79,(20.892274286234663,)
6780,(20.86379520908375,)
12481,(20.789096008984764,)
61601,(20.747856261605012,)
63310,(20.72893702157807,)
63681,(20.621000868921392,)
63703,(20.612503121508794,)
64815,(20.512015641390764,)
64824,(20.503114836373115,)
64882,(20.49418920818838,)
64992,(20.472106966494668,)
65089,(20.40301579106688,)
65810,(20.299255093006938,)
66004,(20.214611017988084,)
66057,(20.20556452792991,)
66061,(20.057059445636938,)
66187,(19.670980188723917,)
67224,(19.533232243324324,)
67257,(19.459591881510853,)
67309,(19.309903576063082,)
67489,(19.255455971482252,)
102125,(18.965390014190447,)
103309,(18.86012254661164,)
103766,(18.609629512053754,)
104427,(18.593047848174162,)
104721,(18.577180704121023,)
105460,(18.371429695987757,)
105554,(18.134890265361157,)
107363,(18.076173536194315,)
108066,(17.934364081117923,)
109348,(17.8821024170092,)
109382,(17.78266244807719,)
109678,(17.528431411537962,)
110800,(17.492362581955046,)
111563,(17.405536198408328,)
111743,(17.209703760930047,)
113048,(17.20278707766923,)
113520,(17.170532751515115,)
113999,(16.702688444330647,)
115336,(16.335114745657858,)
116438,(16.093714466330724,)
118006,(16.041065054863264,)
118359,(15.634853840683427,)
118924,(15.37334814166858,)
120971,(15.006367323707162,)
123349,(14.739099885515136,)
124647,(14.528193093620715,)
125472,(14.43371658141542,)
125782,(14.178043329696866,)
126071,(13.7459522167218,)
126801,(13.405639966163802,)
128255,(12.980630537375516,)
128612,(12.93638382663481,)
128860,(12.895135306808497,)
129664,(12.882918664942114,)
129753,(12.745157789275193,)
129882,(12.74045983700783,)
130012,(12.426015555003655,)
131150,(12.259739602510173,)
132046,(11.686512726049099,)
134903,(11.560065184632073,)
135232,(11.002514258731702,)
136418,(10.565303131955432,)
140318,(10.56443160147454,)
140495,(10.41469746707929,)
140839,(10.240730043329572,)
141732,(10.201720560704318,)
142707,(10.021357340070885,)
143511,(9.855152353637841,)
144071,(9.67225387049889,)
144656,(8.961580461318023,)
146695,(8.912366067862557,)
147585,(8.43116411045358,)
151649,(7.832206090336645,)
157298,(7.815076262823052,)
158373,(7.804102452169317,)
158419,(7.405938994418352,)
160362,(7.377663294266863,)
160879,(7.350327732311782,)
161340,(7.2222433162816895,)
161357,(7.1816089406363925,)
161462,(7.105192211558306,)
161852,(6.9968225444949015,)
162658,(6.851348046226696,)
162664,(6.624335349534788,)
162794,(6.445360796586277,)
164122,(6.253863740227623,)
166218,(6.228843597695155,)
166345,(6.226609273967597,)
166394,(6.052584987444492,)
167665,(6.006873658288309,)
168180,(5.928780874638065,)
169770,(5.751943894509442,)
169854,(5.1724122183708285,)
174855,(4.878449461733306,)
179146,(4.862842295216867,)
179190,(4.837758648079987,)
179379,(4.700653031713697,)
180046,(4.624884699149909,)
181396,(4.538337298102125,)
182976,(4.507989163969894,)
183289,(4.357253575523806,)
183771,(4.352595799035838,)
183883,(4.331231640519528,)
184949,(4.291279117790001,)
185310,(4.161950458064056,)
185655,(4.007276884387336,)
187369,(3.958936580213111,)
188505,(3.934595615296847,)
188991,(3.522655286631916,)
194270,(3.3659008778491697,)
197475,(3.2504705227028055,)
201442,(3.1731120273603333,)
201771,(3.1623261394687274,)
202990,(3.132678993331418,)
203138,(3.105869171242408,)
204431,(3.046732775862597,)
204809,(2.8697287523429313,)
205943,(2.8632603196445285,)
208890,(2.756779958787564,)
209901,(2.7180715717798565,)
211122,(2.662345840075721,)
213760,(2.6499398597705213,)
214225,(2.592846880947059,)
214944,(2.5928256164873966,)
215181,(2.5098754435198134,)
217096,(2.3583910262060073,)
220299,(2.3413959810058724,)
221155,(2.275457219550491,)
222115,(2.250080892701595,)
222206,(2.2410165839430767,)
223078,(2.1959891425578055,)
223487,(2.164447153697627,)
224842,(2.1514885916328677,)
225088,(2.11309174290669,)
225604,(2.1017333873459654,)
225699,(1.988383997309269,)
225891,(1.9697836431708742,)
226906,(1.9182368948171948,)
228081,(1.9116040752651906,)
228111,(1.8880658331521214,)
228654,(1.8226961039854972,)
228852,(1.7544232241195943,)
230890,(1.7454208010870689,)
231612,(1.6871933593013073,)
233011,(1.5451006538090204,)
235282,(1.5288595338410467,)
235612,(1.4816382506249557,)
236284,(1.4499347124098545,)
236629,(1.4473211396412449,)
237000,(1.239158892365321,)
240790,(1.2235973448991064,)
240817,(1.120820675355115,)
245000,(1.0680818595404853,)
245089,(1.0265668199558817,)
246337,(0.9127290859243997,)
246540,(0.8062613093572661,)
247866,(0.8035974596836977,)
248737,(0.801353796459011,)
249621,(0.7525800182787985,)
251386,(0.7376722133163653,)
252007,(0.7283273641930927,)
252100,(0.6922666303277802,)
252295,(0.6050807979936756,)
255047,(0.5942026404671017,)
255994,(0.5831159737368607,)
256308,(0.5043289040739576,)
259443,(0.5025710097054659,)
261191,(0.49069633707259186,)
261339,(0.4776107351218033,)
262039,(0.45673055941552665,)
262270,(0.43851640619388377,)
264359,(0.406969234027867,)
265707,(0.3954604507697326,)
267847,(0.38064624961939186,)
268051,(0.3577010816321735,)
268092,(0.3355907863585963,)
268297,(0.3337173376932321,)
269850,(0.31010837270326874,)
270611,(0.29819685633923276,)
272606,(0.27082029520833606,)
273298,(0.2643993116204326,)
274040,(0.26315128486072625,)
274275,(0.24899732791205542,)
274753,(0.24306612238704384,)
275357,(0.22816706750890026,)
275986,(0.2029352936414468,)
278990,(0.19842187258899946,)
280211,(0.1925311262814433,)
280721,(0.1892770954720624,)
281255,(0.18876868234157307,)
282185,(0.18228768580675547,)
284592,(0.17458604363175434,)
284657,(0.1605948343978265,)
285152,(0.142541331477136,)
287068,(0.1364487749380312,)
290490,(0.12608997741958783,)
291053,(0.12330572463240985,)
292920,(0.12130986618306228,)
292943,(0.12094985907032996,)
292973,(0.11798579995843683,)
294963,(0.11772314788407545,)
295328,(0.11255434272973508,)
295627,(0.11234052798817906,)
296202,(0.10590552312116852,)
296558,(0.10210729978270416,)
296637,(0.1019864045413521,)
297113,(0.10004635057518607,)
297280,(0.09624296741719274,)
298085,(0.09593936211026799,)
298660,(0.08828361209434243,)
298734,(0.08480048237018867,)
299927,(0.08259179588582954,)
301952,(0.08008341023810539,)
303032,(0.07952392547265275,)
303846,(0.07864351792159496,)
304055,(0.07783015137986471,)
304267,(0.07734802761039505,)
304341,(0.07466561406488914,)
306036,(0.074655538515636,)
306383,(0.07131904405547695,)
306545,(0.07048764630183424,)
307546,(0.0688735339740818,)
308549,(0.06870385864973017,)
308756,(0.06502949381708945,)
308909,(0.06247534027755508,)
311114,(0.05603367812675142,)
313621,(0.053561255534870345,)
314396,(0.05315437408634338,)
315648,(0.04845053774678476,)
316865,(0.04796683353056164,)
316962,(0.043212240552199965,)
318258,(0.04169356606403252,)
319977,(0.0415784949009983,)
320446,(0.0374917903738643,)
323342,(0.036569840362751016,)
323404,(0.035073362004934605,)
324720,(0.03499120970239522,)
326659,(0.03303669984927948,)
327377,(0.0326264711739741,)
327890,(0.0310370048378652,)
328450,(0.030984974683650357,)
328717,(0.029038053460801017,)
330581,(0.028055263534851438,)
332266,(0.02722193011664853,)
333306,(0.026024360010520997,)
333812,(0.025378753515963304,)
334961,(0.025134135211479336,)
334963,(0.023227594050339473,)
336241,(0.021578796373892928,)
337254,(0.02002986731333678,)
339850,(0.019508360076995412,)
341096,(0.01827233015608387,)
341536,(0.017621926852441572,)
341827,(0.017091787317247142,)
344409,(0.01670239422409736,)
345316,(0.015766273573389,)
347896,(0.015652363816140102,)
348261,(0.015495067837095977,)
348335,(0.015090209786963182,)
348473,(0.014875767923359984,)
348848,(0.012880907946984266,)
351660,(0.01276241350878582,)
352420,(0.012535745686436783,)
