Evaluations,Fitness
1,(np.float64(1975969.9365038713),)
2,(np.float64(1352188.1186320214),)
3,(np.float64(262468.7261196094),)
7,(np.float64(148565.04396452566),)
42,(np.float64(42361.187726278404),)
45,(np.float64(5503.072495942224),)
91,(np.float64(609.5629897539679),)
100,(np.float64(104.91270155730095),)
125,(np.float64(29.45786723867801),)
233,(np.float64(6.3840295519310235),)
323,(np.float64(4.019328679685702),)
343,(np.float64(3.0954326519728808),)
485,(np.float64(3.069079295405026),)
510,(np.float64(3.065879723600743),)
522,(np.float64(3.057710108718618),)
575,(np.float64(3.0383330507639306),)
583,(np.float64(3.0318077819946776),)
599,(np.float64(3.018723335799148),)
615,(np.float64(3.0003078993414993),)
698,(np.float64(3.000039157433417),)
746,(np.float64(3.000004226407667),)
748,(np.float64(3.000001803423703),)
872,(np.float64(3.0000006691620835),)
896,(np.float64(3.0000000901543404),)
977,(np.float64(3.000000012671447),)
1084,(np.float64(3.0000000071090454),)
1085,(np.float64(3.000000000396296),)
1088,(np.float64(3.000000000277706),)
1204,(np.float64(3.000000000127531),)
1208,(np.float64(3.000000000020631),)
1211,(np.float64(3.00000000000291),)
1347,(np.float64(3.0000000000009335),)
1363,(np.float64(3.0000000000001807),)
1369,(np.float64(3.000000000000131),)
1407,(np.float64(3.0000000000001137),)
1424,(np.float64(3.000000000000072),)
1448,(np.float64(2.9999999999999676),)
1524,(np.float64(2.9999999999999627),)
1549,(np.float64(2.999999999999948),)
1604,(np.float64(2.999999999999939),)
1723,(np.float64(2.9999999999999374),)
1873,(np.float64(2.999999999999936),)
1903,(np.float64(2.999999999999927),)
2031,(np.float64(2.9999999999999267),)
2160,(np.float64(2.9999999999999254),)
7290,(np.float64(2.9999999999999223),)
