Evaluations,Fitness
1,(np.float64(176602.6371672289),)
2,(np.float64(9069.597988816058),)
5,(np.float64(5292.310011972367),)
14,(np.float64(1319.0355418846407),)
18,(np.float64(542.9960050796822),)
28,(np.float64(66.84185256272428),)
42,(np.float64(53.3325462270048),)
78,(np.float64(21.33345981073951),)
81,(np.float64(13.03596688591049),)
163,(np.float64(4.630236621681828),)
167,(np.float64(4.500532970742667),)
183,(np.float64(4.424778647926979),)
208,(np.float64(4.410667745496637),)
223,(np.float64(3.1723638884523973),)
362,(np.float64(3.1149709825377982),)
368,(np.float64(3.0669774854925334),)
382,(np.float64(3.012273977287344),)
410,(np.float64(3.002085344049008),)
446,(np.float64(3.000271315173216),)
575,(np.float64(3.000060524171298),)
604,(np.float64(3.000005156915597),)
668,(np.float64(3.0000050999565127),)
684,(np.float64(3.0000031991948566),)
689,(np.float64(3.00000054271691),)
768,(np.float64(3.000000431907588),)
776,(np.float64(3.000000101290622),)
842,(np.float64(3.0000000074181665),)
925,(np.float64(3.000000001950219),)
990,(np.float64(3.000000001365142),)
991,(np.float64(3.0000000002496234),)
1047,(np.float64(3.000000000182501),)
1121,(np.float64(3.000000000182162),)
1123,(np.float64(3.0000000001803953),)
1128,(np.float64(3.0000000001000386),)
1144,(np.float64(3.000000000011071),)
1178,(np.float64(3.0000000000101674),)
1199,(np.float64(3.0000000000077844),)
1201,(np.float64(3.0000000000021663),)
1253,(np.float64(3.000000000000895),)
1275,(np.float64(3.0000000000008638),)
1284,(np.float64(3.0000000000004006),)
1285,(np.float64(3.0000000000003233),)
1300,(np.float64(3.000000000000061),)
1365,(np.float64(3.0000000000000138),)
1405,(np.float64(3.000000000000006),)
1410,(np.float64(2.9999999999999796),)
1429,(np.float64(2.9999999999999507),)
1503,(np.float64(2.999999999999936),)
1735,(np.float64(2.9999999999999254),)
2624,(np.float64(2.999999999999923),)
