Evaluations,Fitness
1,1872231288932
2,185133105189203
3,183322102305
116,18282237013
205,182530515703
279,18113073
612,183883313783218
1202,183227210337871
1203,183120577807323
1264,183095857717
1268,182909182880037
1278,182323589235
1993,181553037991
2401,181087815331328
2407,18091089251255
2410,18398785939708
2413,18392210718259
2429,1839128752108
2446,1839588129722898
2479,18389275391528
2661,1838535030297373
2672,18383557535222
2905,1837823395777
3477,1835555952838883
3608,18397888878813
3626,18307850539185
3658,183172285005
3770,182857188071987
4527,18257522329112
4804,18219059188032
4830,18237358133805928
4839,1823095052875
4841,182201757953
4867,181721028591772
4896,181580988877835
5103,1813119502782222
5415,181290217512378
6002,179222015392582
6091,179155529301787
6138,1785597232392
7207,1779585891027188
7213,175982117099013
7245,178312993130
7281,17802099998385
7340,172707095772
7355,1737975558873
7675,172131112353588
8373,171832327297891
8405,1888580007373
8430,18511230815
8522,1783118288383
8530,129113221253
8704,1532808875157
8740,1225257522898
9482,123279573122
9640,10318785809888
9658,1583008702875
9671,152322127039
9681,15191811770139
9787,1272937535
10326,10383573899
10377,155079158318
10803,13001531721757
10814,12757778112297
10855,123771130785
10908,11839070259733
11389,11059311285
12002,9570525951289577
12076,9007917878813
12207,903157717
12269,807081532272
12417,79578559771
12944,7959111795928
13207,720907787821
13271,388712221372
13289,511719121115322
14086,137750199
41352,39978510839017
43793,37358790097173
45021,358729577751
46897,351798872797
47200,33203983085751
47555,298550575093
48855,2928211879288390
49609,278252808087
51258,220710025227077
55435,21107008955221258
56199,2015221020517
57752,18983852587073
57904,113003155155
59310,15710159852703
59371,13073280032238
61372,15212332
62416,118211701189
62742,11550530032715
63643,11150501231192
65700,103797221117172
68184,85733530137918
71321,7918823231003105
72318,731957533937
73443,72105819205135
73458,981925350035
74250,3089320031315
75228,5911030755995909
75831,57355119170022
76875,507555902873
77130,70030373988
79921,78505001007382
80423,052205595092
80968,3935502118017
84939,350897233333723
85531,3387539750381287
87341,31135118031358
87487,3027373321572
87638,28979318510357
89284,2072707700825
92418,181235718
94974,1507929513590852
98573,17190987737123
99751,1308873179823
101783,120279205702729
102717,10899133319592
102852,1080730081155
103277,9771805981
104605,919773029219
105633,9083557321073172
105798,8555557578338
106602,7285232893027
107203,71213721099705
107418,81878973801
109881,018982787237
113452,5921779707702
114061,99329211255957
117877,37280385907190
123775,359075379253595
124830,29785750839125
128695,289355070980355
129558,28800892831
131683,2093891279327
134418,225329035123
136902,221398588750270
137240,2109520159985123
139069,20917231185
139973,208571220235
140354,2058985810790798
140750,19770371952875
141824,193053025858
142392,19011379350155
142877,187817910808
143456,183207523713
143621,1828293791173
144439,180323518285922
144606,17895937399032
146140,1727319337793
147034,15150180117
147836,1218771897055377
149403,10353918598877
149807,157125182903
150090,153989990552
151611,152527710873177
152123,19837785173022
153385,15093218197158
155300,10801195155035
156899,1009088085155987
157995,139723389819007
158401,1383309572919
158488,137803895073
158726,13720011803158
158833,1351980201012810
159056,133152992078232
159223,1311825710958
159674,1292528737929138
160074,120998533503812
162814,1219520810711
163277,121835138823838
164661,119811332211718
164857,118253752318
166815,11785579307758
167543,11779352257028
168111,1182812912718
168136,11209035758802
170461,1120303998280
173013,1110350098720
174404,1093970759512
176854,1089787530891
177328,1087138305132297
177679,10897905370799
179819,10823853153799297
179959,10735871722295
180710,10570317205819
181527,10131735111
182586,105585529373387
183020,1097389023332793
183760,10532235205833
185286,10319210875
187221,10253870282
187727,103575371975127
189351,10328033277
189415,10281783812759
191068,1002925925138793
192102,090250921207859
194202,0958179771378533
195773,095390150293
196165,0970099789329
197309,09258780932987
197550,092021277371011
197823,092032030300202
198709,0918019092583057
199589,091275301123
200755,09015977782107
201514,089358193577955
201714,08255139857
204030,08223031007093
204321,080785870880011
204532,0775118721389
207739,0777728353119
208783,075792752783575
209371,0755209257727
209922,0728385878588
210515,07381889893011
210593,082050753391071
212551,0039298582
212940,012707122775089
213621,00589728118897
213736,05230807228
219180,0570507757329
223325,033578071201723
224540,01388012855277
225184,0351130550223
226425,03580393208737
227146,035331793907871
228005,031125517210
228137,03309758515282
228176,032529923778171
229757,0317852093591
230204,02597972319881
232114,0259197783972
232544,02300781171
235371,0215998919253192
235837,020190185025
236317,0192718595713815
237633,01911592113238
237838,019231271851
242388,0157295151888013
243987,01558122122879702
245320,01239102925781
246491,0121573109282192
247135,01202319783255
248151,011529135198
248744,009777723751973
250946,0092885307370929
252472,00872751802792
252551,008551059801251
252777,008915922852082
252986,0079819780950119
254506,005180878335
259298,0083823025535
262611,00353032793
263191,002285027223775
263728,0018717273889127
264299,003923589385933
265380,003085179322185
266074,0029191911551907
268445,002850003910780
269083,0027018339850523
269111,0027110157278151
269142,00239913203088
270208,002308798179329
270232,002223020988095225
271236,002019313181827
272030,0019533553917791
273139,00192353985801131
274528,00180058007
275279,0017537580520323
275628,00159978250118707
275883,00137198883389818
280339,001233730888823989
280767,0012038992289505
280830,00115553975339505
281342,001050512358897171
282867,00099280029215581
283165,00085170893789
284647,00073880135180305
286952,00072597150189923
288520,000210220008038
289490,000027195383978
290664,00059017817519511
291025,00053299712509
291808,000797993885978
293113,0005251399220312
294713,00079171238351
294901,0000880827321
295585,00003338882899208
296300,00037825372971357
296795,0003781372200333
297057,00037791117025
297290,00032203508775
298325,00028799302937917
298926,0002858770791875
299744,000285221977303312
299953,00027751021577855
301004,0002711051701717815
301179,000221751202398
304632,0001892581102117
306079,0001351338173728
308404,00010091170201708
308867,0001373573219882198
308921,000109583017302851
309100,000158583072111508
309348,00012320727893
311839,0001025178531281712
312102,000115072878901
313222,00010532375809908512
314044,00008782559591
318335,00008100511075023
318601,000079001203
318683,0000751999238131707
318876,000090892907855225
319472,0000809591155381
320641,000059220571829
321452,00005908717980200
324063,000051770073581111
325489,0000557890995205
327109,0000110832502531
328154,00005759919723
328908,00003953583819922315
329072,0000298998795983
329424,00002879208809383
329627,000039972181021105
330136,0000319297550379
330735,00003175388797907935
332067,00003372075999583
333136,000031395792752352
333588,000027885532388753
334931,000027918208913335
336302,00002208577319
337282,00002152950995105837
337994,0000197927115220239
339895,00001910083118713
339916,0000189937827120198
339924,0000180179717375
340521,000015175590081881
340942,0000197378951027
342410,0000199737280573
342920,0000101521515533733
343240,00001393781108828
345637,00001329988359200
345800,0000128928972278035
345932,00001173513513772839
348336,0000107892205113
349081,0000103282731092
349728,000010120179395318
350893,9598795722055e-05
351620,9293019735888e-05
353117,8192137197578e-05
354153,59983558785e-05
355736,12701089787033e-05
358950,532230700525123e-05
359045,31731203102807e-05
359841,0908375802115e-05
362454,399372223987e-05
362467,350587509518e-05
364406,317838358813799e-05
365721,29235207275e-05
365892,28555373581e-05
366336,280393977995823e-05
367637,21038735011035e-05
367731,2385922022329e-05
369840,2318250785720e-05
370474,22708292753337e-05
370742,21805219325821135e-05
371303,178975302111e-05
373368,1538253899012e-05
374446,13820779055e-05
374754,110721557708e-05
374896,1509870913322e-05
375138,12798350535131e-05
377469,1273229950082832e-05
377590,1198109203279e-05
379400,10985391908778e-05
380486,101078002955077e-05
381032,8381353305e-0
383687,80770703271e-0
386486,773975228990137e-0
386533,735070297929e-0
386612,73323337293912e-0
386772,701210810883e-0
387118,892027078571e-0
387639,22955252823e-0
387649,170398087029e-0
387699,1393879775182e-0
387950,573191259270e-0
388750,53998525302e-0
389087,52978723328e-0
390450,7222017973e-0
393160,13588055907e-0
393714,21380357332e-0
393792,0398527239e-0
393941,0237081725027e-0
394219,3830113882152e-0
395025,377323850391e-0
395496,3298980388e-0
397079,3335925201502e-0
398557,319223009215278e-0
400697,3083579839975e-0
401001,27830892233883e-0
401058,2770777093875213e-0
402011,25051123218e-0
403490,27019039035e-0
403970,2071187938712525e-0
404262,200839817252227e-0
407377,198522383520957e-0
407511,1881700212202908e-0
408127,18815823823977e-0
410529,178975797003731e-0
410777,175517995590e-0
410871,15089505707e-0
411676,155517575353e-0
412009,15013229505887e-0
412497,1528880121837117e-0
412612,15192931090981e-0
413061,151200188139e-0
413146,118358931909553e-0
413265,12009371878328e-0
414497,1088110552529e-0
415930,1071973927093e-0
416683,10375802517582e-0
417592,99191319922732e-07
417835,9952771872079e-07
418861,8782089199307e-07
418956,81128558780911e-07
419256,79891813521038e-07
421339,72937353e-07
421359,73795992803e-07
421587,583517273852733e-07
422171,55832975715008e-07
425676,558232238051e-07
426417,30582385539715e-07
428991,1218107190095e-07
429519,3232512382e-07
431053,3131751753187e-07
432782,293103892281205e-07
434653,2920277997177e-07
434701,2577857035025287e-07
435307,2293975382170e-07
436954,2117739039208885e-07
436982,2223238198995e-07
438432,195182080507128e-07
439683,17188057225e-07
440760,11981107991995e-07
441832,15837295230802795e-07
443081,13318177978e-07
444153,13315070213938e-07
444814,1295078135989728e-07
446606,1222071207377e-07
446740,1075591889998502e-07
447799,1001198377537093e-07
449105,9153982718787e-08
450316,8577392523717e-08
451688,77589977805527e-08
454120,7710830909525e-08
454959,73839097521927e-08
455045,370528758702e-08
455445,305298812233e-08
456490,193397080233e-08
456950,53193988311e-08
458721,500919082833e-08
460507,332739857912e-08
461209,199381227210e-08
463507,057195718555e-08
464535,0278801307005e-08
464734,315372731e-08
465020,35007907598158e-08
465689,35251581710003e-08
466129,308833902895e-08
467310,29080355280932e-08
469512,223801720837e-08
470932,2219809373553e-08
471135,2252270707e-08
473385,1987973225893e-08
473631,19152327713810e-08
474743,158585873791790e-08
475243,1125388958e-08
475289,1213823781e-08
476168,11070273207287e-08
477252,12717980857335e-08
479482,122187750929853e-08
480619,119185250505e-08
480719,108895515703e-08
482421,9087383539e-09
486162,88582135081e-09
486196,831591313803e-09
486414,8290532850187e-09
487111,78320759133e-09
487458,770228891777912e-09
487948,72882997037e-09
489578,7175380882253e-09
489853,70105103922908e-09
490009,150255350781e-09
490944,0738717979071e-09
491365,932212095109e-09
492445,8190890890282e-09
493522,8715289955e-09
494616,78180397151e-09
496573,395991397912075e-09
497944,392775002131878e-09
498168,385135259172119e-09
498190,372228381511229e-09
499102,3759070155e-09
499326,28588502975298e-09
504997,23518510252e-09
507699,2215999003893e-09
507922,2201899218512375e-09
508211,1829391971219893e-09
508520,1815799815350e-09
508555,19779057e-09
510894,12192088050952e-09
511593,1250809011921205e-09
515001,1132752191750e-09
516919,1132720729738583e-09
517328,112279530025e-09
517329,105112712027792e-09
517546,1009388905792718e-09
519077,93005292355172e-10
519629,92091859575813e-10
519666,7788992999977e-10
520846,8391378078309e-10
524925,333170222851e-10
524967,091913020893e-10
525686,558153523589e-10
526913,53312355309877e-10
528017,5235851233121e-10
528776,51118907223002e-10
529201,509851572935978e-10
529277,58539133019e-10
529511,32803590015e-10
533164,31873813180559e-10
535285,3019978259131e-10
536242,2950985735837e-10
536963,25009778027593e-10
538632,23320051152552e-10
538993,25191008375787e-10
539015,239981550139915e-10
539080,2325951375837e-10
539466,23220880773777708e-10
540057,21179302750275e-10
542197,199588501209e-10
542502,1918081293857502e-10
543256,1789215529837e-10
543568,175239059772e-10
543948,171998525329081e-10
546148,1701118100227e-10
546607,1337997350027e-10
547277,133235501982e-10
548149,1051957091531e-10
548422,105887319959277e-10
551013,987922779055e-11
551372,883275003559e-11
554631,83937978757511e-11
556035,709839779952e-11
556901,7122353538152e-11
557195,77157219185971e-11
557770,2503113795721e-11
558089,59933137357255e-11
558935,5732283907e-11
560691,528728210597222e-11
560782,5202138719795357e-11
560944,5089959171889e-11
561086,950195552825e-11
561778,955202915823e-11
562477,0020535787287e-11
564439,3933785832e-11
565916,37787107793198e-11
566295,372095773721951e-11
566575,3359290235030e-11
566669,30302538252185e-11
567629,279573590118e-11
570018,2801111279891e-11
570329,2155083938838e-11
572503,210220729712773e-11
572933,1957300987953585e-11
573059,1879075809039e-11
575808,199229587951e-11
576339,15358032780599e-11
576604,17583875555205e-11
578947,1299097553032e-11
580176,1205135991000312e-11
582089,119722305295273e-11
583286,115707323381e-11
583711,109355321988e-11
584920,10057382251773e-11
585049,972597932301e-12
586229,9377987779385e-12
586595,932970813052e-12
587304,92792039817058e-12
587332,912082172951e-12
587742,733300797752e-12
588701,7199907339903e-12
589523,831757382030901e-12
590813,225705908055e-12
591332,09223782532808e-12
591669,803019055e-12
594940,59102875898898e-12
596826,1171007807399e-12
599904,37159188157e-12
