Evaluations,Fitness
1,(np.float64(-1.844240690595635e-05),)
2,(np.float64(-1.6746409801397355),)
5,(np.float64(-2.2056751358493787),)
7,(np.float64(-2.2575431823696435),)
17,(np.float64(-3.1892943608667776),)
81,(np.float64(-3.295792983783238),)
129,(np.float64(-3.332119926778632),)
147,(np.float64(-3.748626560964934),)
252,(np.float64(-3.8183084552275934),)
327,(np.float64(-3.8497474865809207),)
379,(np.float64(-3.8560075022672082),)
436,(np.float64(-3.8589558237354304),)
487,(np.float64(-3.8621940049243886),)
580,(np.float64(-3.8623349413595705),)
672,(np.float64(-3.862354418349264),)
694,(np.float64(-3.862462780354961),)
725,(np.float64(-3.8625255837525927),)
745,(np.float64(-3.862533121476038),)
802,(np.float64(-3.862760786979624),)
862,(np.float64(-3.862777255373732),)
1007,(np.float64(-3.8627789126971845),)
1023,(np.float64(-3.862779308879003),)
1045,(np.float64(-3.8627797037829286),)
1297,(np.float64(-3.862779761625649),)
1341,(np.float64(-3.862779778427114),)
1384,(np.float64(-3.8627797857154227),)
1443,(np.float64(-3.86277978574046),)
1461,(np.float64(-3.8627797859605777),)
1502,(np.float64(-3.862779785970487),)
1505,(np.float64(-3.862779786838697),)
1581,(np.float64(-3.8627797869815383),)
1643,(np.float64(-3.862779786995902),)
1645,(np.float64(-3.86277978709941),)
1657,(np.float64(-3.862779787206035),)
1661,(np.float64(-3.8627797872660743),)
1702,(np.float64(-3.8627797873288197),)
1788,(np.float64(-3.862779787329599),)
1859,(np.float64(-3.862779787329962),)
1863,(np.float64(-3.8627797873301257),)
1872,(np.float64(-3.8627797873303007),)
1877,(np.float64(-3.8627797873304237),)
1895,(np.float64(-3.8627797873308616),)
1902,(np.float64(-3.8627797873316383),)
1926,(np.float64(-3.8627797873318714),)
1928,(np.float64(-3.862779787332116),)
1943,(np.float64(-3.8627797873325145),)
1979,(np.float64(-3.862779787332628),)
2008,(np.float64(-3.8627797873326397),)
2134,(np.float64(-3.8627797873326557),)
2199,(np.float64(-3.8627797873326597),)
2236,(np.float64(-3.86277978733266),)
2245,(np.float64(-3.862779787332661),)
2285,(np.float64(-3.862779787332662),)
2352,(np.float64(-3.8627797873326624),)
2439,(np.float64(-3.862779787332663),)
11608,(np.float64(-3.8627797873326633),)
