Evaluations,Fitness
1,979.7770013993804
2,970.8559330517521
9,879.0044374185836
37,871.788733053002
43,797.5529399936925
491,771.763641359673
533,748.5089975304851
764,746.8462829040723
882,736.4978998363453
998,696.6296205431718
1002,684.3732244474295
1146,679.9975035681088
1297,676.8483025513602
1387,638.3608957879815
1721,635.3150611287798
1904,628.5832968883308
2086,610.3659747114276
2552,607.1141743794852
2582,589.3673486533144
2847,578.5229087391124
2983,528.0956814131482
4775,526.4159818177994
5197,524.349573602236
5258,514.4829860670642
5379,512.736218997712
5383,503.39227090532444
5427,462.38433897532207
5470,443.08924465754274
5598,436.5483315577158
5720,421.37257281405743
5849,419.8000637841187
5851,383.29718630505846
5866,366.49521924056234
5890,353.2118857568979
5963,352.6407320044112
5974,351.3790200369469
6009,334.31384585502565
6038,317.9113338299718
6080,296.5899547593988
6099,292.3884843906711
6141,292.08411173904506
6153,256.5604236507617
6195,252.29736663095287
6214,247.20938249320602
6236,231.80492463117537
6282,227.17183743664077
6395,222.44426558345447
6397,219.56953243144073
6424,205.13688696770186
6434,200.06454773257116
6484,199.0888628815606
6492,185.2638551696321
6522,185.01187933440076
6560,181.03510357357402
6572,180.93696634662598
6579,171.06074515899178
6605,170.6426834965091
6607,153.43718568645988
6658,145.71796659234224
6835,141.97727124502967
6881,140.42990081152334
6899,136.80188598162027
6933,132.5123217263383
6976,130.28884459418765
7003,128.2684461738893
7033,125.6603125795827
7053,120.41025924633999
7106,120.36233458348187
7153,119.93894139610961
7179,118.08062783345378
7192,117.5237278816798
7293,116.81615383312322
7295,115.91421948420799
7325,115.83173306766633
7341,115.5928424799643
7371,114.69067635910443
7377,113.36269139421904
7392,112.61322965057775
7412,112.0910681910201
7414,111.31846262094962
7428,110.17698769670051
7455,109.88814910185226
7504,107.40472407671518
7564,106.65142555557634
7749,106.17934194895088
7818,106.12187073044612
7838,105.7644072222559
7871,105.61065934318998
7902,105.57589899724456
7908,105.05449204120328
7922,104.64159585850803
7950,104.36145899666815
7959,104.31504313277134
8001,103.34794768639892
8090,103.18518670281242
8096,103.1586852866846
8112,102.63217035094306
8234,102.48266899720744
8292,101.88211216481471
8303,101.83145896650763
8461,101.81634618696972
8468,101.78014622579133
8526,101.77168422279283
8534,101.71967623458386
8561,101.66625900400703
8572,101.54423435539775
8584,101.35772066268567
8633,101.26212089351532
8708,101.16224346951992
8816,101.1532795556792
8829,101.05409408421127
8842,101.04826893180501
8865,101.02456181117833
