Evaluations,Fitness
1,(np.float64(1011.1266641252404),)
3,(np.float64(990.0684440229477),)
26,(np.float64(942.0622765200679),)
273,(np.float64(921.2575656676611),)
1064,(np.float64(917.7750086621334),)
2592,(np.float64(913.2364468775714),)
2696,(np.float64(912.7351957933342),)
3104,(np.float64(883.8843759743031),)
4579,(np.float64(875.3635654011002),)
4900,(np.float64(847.5067957857789),)
6210,(np.float64(841.5107961801493),)
6734,(np.float64(825.6776354048462),)
6982,(np.float64(794.6321113016011),)
8072,(np.float64(774.5788450129779),)
39164,(np.float64(717.577755031637),)
40075,(np.float64(707.9440330256),)
40891,(np.float64(685.8636973092873),)
45197,(np.float64(671.2272613336881),)
45885,(np.float64(667.2452829460663),)
46242,(np.float64(644.1888994989804),)
48040,(np.float64(643.1999522913267),)
48499,(np.float64(627.1598321773619),)
49914,(np.float64(612.5275035635315),)
50445,(np.float64(607.6753622819568),)
54725,(np.float64(607.0306932461799),)
55351,(np.float64(597.3440700969469),)
57297,(np.float64(597.0310706770601),)
58138,(np.float64(578.8695359430101),)
60773,(np.float64(553.5267750660234),)
64187,(np.float64(532.5670638266569),)
68146,(np.float64(527.2950893390847),)
71250,(np.float64(523.6513602108286),)
72834,(np.float64(512.1185606022115),)
78526,(np.float64(508.88987024502575),)
84593,(np.float64(485.77260998085274),)
89294,(np.float64(483.25546507938924),)
92613,(np.float64(477.66269732525063),)
97953,(np.float64(463.61338811105895),)
105327,(np.float64(461.80558655961335),)
108376,(np.float64(454.8259755154853),)
109299,(np.float64(444.00824956694663),)
109999,(np.float64(437.45928052802503),)
132147,(np.float64(434.27897896441),)
151948,(np.float64(413.5080199085536),)
154328,(np.float64(403.80494876778727),)
261717,(np.float64(382.1562405021511),)
309375,(np.float64(370.9654623399596),)
338833,(np.float64(364.23492952546945),)
347494,(np.float64(357.0034428182547),)
347828,(np.float64(351.8861013114421),)
350307,(np.float64(350.3798338218838),)
361819,(np.float64(345.5726402546234),)
368948,(np.float64(339.0826838907469),)
369263,(np.float64(333.5189110415353),)
369955,(np.float64(327.2737992289657),)
370553,(np.float64(323.4312147678725),)
371197,(np.float64(321.8707563909971),)
374405,(np.float64(317.47945506364925),)
375340,(np.float64(291.7666907886348),)
375679,(np.float64(278.25090992395366),)
378963,(np.float64(277.33446455900366),)
379326,(np.float64(274.46852713611594),)
381469,(np.float64(274.22550603052196),)
381918,(np.float64(256.94353804496507),)
382557,(np.float64(226.44018189706827),)
384277,(np.float64(224.64879088027322),)
388551,(np.float64(217.22346319330256),)
389087,(np.float64(197.11639604864502),)
389385,(np.float64(196.87851580527325),)
390426,(np.float64(189.72484125240015),)
392178,(np.float64(176.85521457276838),)
393502,(np.float64(168.8448831799227),)
393912,(np.float64(159.53956910908533),)
394989,(np.float64(155.15742501500318),)
396139,(np.float64(147.06491541847026),)
396318,(np.float64(138.01447822499892),)
397704,(np.float64(127.6547111747916),)
398390,(np.float64(117.42825346285508),)
399619,(np.float64(114.03153534960012),)
399822,(np.float64(111.95170632467654),)
401504,(np.float64(111.76708183016945),)
402744,(np.float64(98.66454051509402),)
403737,(np.float64(93.29899335472521),)
403795,(np.float64(84.32526164769911),)
406216,(np.float64(78.11935648041401),)
407348,(np.float64(69.11770248446749),)
409805,(np.float64(64.92931000150656),)
410749,(np.float64(62.716606241973636),)
410813,(np.float64(58.25978740437472),)
412744,(np.float64(55.363260379128405),)
413145,(np.float64(50.551333782711936),)
415751,(np.float64(46.97399843691642),)
417611,(np.float64(46.12562120194855),)
417755,(np.float64(44.48010676406784),)
418814,(np.float64(44.32036788848063),)
418940,(np.float64(39.916084395502025),)
420304,(np.float64(38.0303092797875),)
420588,(np.float64(36.72420525071095),)
421327,(np.float64(34.89790394287695),)
421768,(np.float64(33.98234826974465),)
422004,(np.float64(33.82961415341515),)
422063,(np.float64(31.575379496506343),)
422883,(np.float64(31.31751397849905),)
422923,(np.float64(29.765356601992153),)
423013,(np.float64(26.38696636054283),)
425168,(np.float64(24.35940398231503),)
425225,(np.float64(24.080598295021446),)
426116,(np.float64(20.88711901088925),)
428311,(np.float64(20.73067121687791),)
428429,(np.float64(17.969417379515107),)
430015,(np.float64(17.935180813894476),)
430017,(np.float64(17.903808847086225),)
431552,(np.float64(16.716398067254204),)
432329,(np.float64(16.610210535011674),)
434129,(np.float64(16.228238796765595),)
434402,(np.float64(15.047096852651748),)
435168,(np.float64(14.49493259249391),)
435986,(np.float64(13.443274892281579),)
437827,(np.float64(12.90310749865705),)
438416,(np.float64(12.715032548007684),)
438683,(np.float64(12.42553549701097),)
438733,(np.float64(11.598940371502863),)
438864,(np.float64(11.54770704348573),)
438971,(np.float64(11.492822950424056),)
439430,(np.float64(10.913384835417446),)
441510,(np.float64(10.083811429761226),)
441605,(np.float64(9.668983132518974),)
442198,(np.float64(9.4272027691743),)
442266,(np.float64(9.374919340944757),)
443514,(np.float64(8.774681473405622),)
443599,(np.float64(8.443936081538027),)
444031,(np.float64(6.943935751719209),)
447595,(np.float64(6.701823461339927),)
448112,(np.float64(6.5815205617740276),)
448438,(np.float64(6.1936094805327),)
448906,(np.float64(5.974080926332817),)
449997,(np.float64(5.949919736087054),)
451219,(np.float64(5.660902119420712),)
451439,(np.float64(5.4906034546140745),)
453293,(np.float64(4.119901409110639),)
456085,(np.float64(3.9245247727458263),)
458241,(np.float64(3.829409271155896),)
458518,(np.float64(3.775291058766811),)
458876,(np.float64(3.6832937767316025),)
459053,(np.float64(3.4579638575615945),)
459444,(np.float64(3.2671710206466287),)
460241,(np.float64(3.084237053418974),)
461700,(np.float64(3.041869854637639),)
462029,(np.float64(2.624847926501616),)
465601,(np.float64(2.5781497174385777),)
465624,(np.float64(2.393854286990859),)
466151,(np.float64(2.1730775457484697),)
466501,(np.float64(1.9829751581235087),)
468109,(np.float64(1.7749117701170007),)
468400,(np.float64(1.686549526064482),)
470127,(np.float64(1.6754080583990572),)
470418,(np.float64(1.3781299829432783),)
471932,(np.float64(1.3482064857957994),)
472404,(np.float64(1.292014558007054),)
473669,(np.float64(1.2337802344368356),)
473691,(np.float64(1.1671128131507658),)
474519,(np.float64(1.0486890204998645),)
475532,(np.float64(0.8692843923143982),)
476500,(np.float64(0.8060824364395103),)
476593,(np.float64(0.7807880376133198),)
479580,(np.float64(0.7630650460577044),)
480631,(np.float64(0.7447360316106142),)
481390,(np.float64(0.6947473945655247),)
481985,(np.float64(0.6569475595980521),)
482590,(np.float64(0.578944642501142),)
484827,(np.float64(0.5481372040294445),)
484831,(np.float64(0.5404368590599233),)
485441,(np.float64(0.503521924542838),)
486427,(np.float64(0.4997244413162889),)
486805,(np.float64(0.4446319542589663),)
488404,(np.float64(0.4306082063461645),)
488475,(np.float64(0.41735212562605284),)
489708,(np.float64(0.4131665025663551),)
491258,(np.float64(0.39716642397240776),)
491882,(np.float64(0.39534032081485293),)
492166,(np.float64(0.3575513765464393),)
492174,(np.float64(0.35707851587528694),)
492190,(np.float64(0.34129307382056595),)
492914,(np.float64(0.3071346821509451),)
493324,(np.float64(0.2889266679642333),)
495766,(np.float64(0.2783568065721056),)
496481,(np.float64(0.24879121673825466),)
496936,(np.float64(0.22931601138373026),)
498847,(np.float64(0.22117235915243327),)
498979,(np.float64(0.20557491887211654),)
499348,(np.float64(0.18941547409383475),)
500525,(np.float64(0.18283568627225577),)
500861,(np.float64(0.17014495069918212),)
501287,(np.float64(0.15453530271565796),)
503944,(np.float64(0.15332074457239742),)
504363,(np.float64(0.1517386368013831),)
504758,(np.float64(0.14039570292334247),)
505510,(np.float64(0.13149021211631862),)
507419,(np.float64(0.12854389402139077),)
507507,(np.float64(0.11384780109131043),)
508950,(np.float64(0.11124496231082048),)
509762,(np.float64(0.10859189336827058),)
510177,(np.float64(0.09264809169405908),)
511291,(np.float64(0.08830736715287912),)
511410,(np.float64(0.0783239162872178),)
515631,(np.float64(0.0742012984038638),)
516225,(np.float64(0.07126006064640933),)
516640,(np.float64(0.06036437641523662),)
517673,(np.float64(0.05972864850980386),)
519212,(np.float64(0.058517761340453944),)
519373,(np.float64(0.053911240478555555),)
520550,(np.float64(0.05045430047653099),)
521531,(np.float64(0.04453979476204495),)
522209,(np.float64(0.03662005727608175),)
526918,(np.float64(0.03574784499983252),)
527714,(np.float64(0.03558179269214179),)
527834,(np.float64(0.0336390754544027),)
528059,(np.float64(0.032124698997336054),)
528969,(np.float64(0.02753373936036496),)
529897,(np.float64(0.025768163241650655),)
530408,(np.float64(0.02531862245677985),)
531802,(np.float64(0.023248870878546768),)
532201,(np.float64(0.022637631456973395),)
532815,(np.float64(0.022481308596979943),)
533247,(np.float64(0.020864321866952196),)
533556,(np.float64(0.020125764773069932),)
534697,(np.float64(0.01961712836168772),)
535209,(np.float64(0.017212306241845),)
535517,(np.float64(0.01665813953502493),)
537221,(np.float64(0.015175735514276312),)
540105,(np.float64(0.014964534181103772),)
540341,(np.float64(0.014045809128901965),)
541089,(np.float64(0.013762423241246324),)
541238,(np.float64(0.012071861839444864),)
541622,(np.float64(0.009855563152541436),)
543182,(np.float64(0.009749269692520102),)
544043,(np.float64(0.009395420920668585),)
544143,(np.float64(0.009021222627893621),)
545489,(np.float64(0.008676769395947304),)
546245,(np.float64(0.008593500391043563),)
546484,(np.float64(0.007315545096389542),)
548017,(np.float64(0.006533641553232883),)
549585,(np.float64(0.0065215105910283455),)
549588,(np.float64(0.006363286984424121),)
551203,(np.float64(0.005438155387423649),)
552772,(np.float64(0.0052904963546325234),)
553221,(np.float64(0.004314104986974598),)
553794,(np.float64(0.0043105896473889516),)
554994,(np.float64(0.004292258002578819),)
556682,(np.float64(0.004207641758853242),)
556853,(np.float64(0.00407176643375351),)
557169,(np.float64(0.004017208418645168),)
557596,(np.float64(0.002674920096524147),)
560107,(np.float64(0.0026347165890001634),)
561564,(np.float64(0.00229678058326499),)
563983,(np.float64(0.0018538879370453287),)
565950,(np.float64(0.001691380857096192),)
568564,(np.float64(0.0016395046311572514),)
568589,(np.float64(0.0012690955957168626),)
568999,(np.float64(0.0012571866822099764),)
570207,(np.float64(0.00121887969544332),)
572777,(np.float64(0.0011385869684090721),)
573927,(np.float64(0.0011328628419278175),)
574962,(np.float64(0.0011053560517666483),)
574998,(np.float64(0.0010757741224551864),)
575358,(np.float64(0.0010240639065841606),)
576032,(np.float64(0.0009747109425006784),)
576504,(np.float64(0.0009347994018753525),)
578475,(np.float64(0.0009264027290782906),)
579062,(np.float64(0.000925667139995312),)
579477,(np.float64(0.0009093542100799823),)
580666,(np.float64(0.0008436817341817004),)
580956,(np.float64(0.0008165540590425735),)
581055,(np.float64(0.0008094094611124092),)
582308,(np.float64(0.0008057225896891396),)
583445,(np.float64(0.0007601003795798533),)
583824,(np.float64(0.0007562408264902842),)
584008,(np.float64(0.0007138259903740618),)
584441,(np.float64(0.0005437438373974146),)
587084,(np.float64(0.0005072534656846983),)
587623,(np.float64(0.0004877906758338213),)
589535,(np.float64(0.0004685647685391814),)
590406,(np.float64(0.0003999802711405209),)
594002,(np.float64(0.0003975028450895479),)
594068,(np.float64(0.0003971259048967113),)
594355,(np.float64(0.00039433395670585014),)
594921,(np.float64(0.0003858031973322795),)
595096,(np.float64(0.0003730670861159524),)
595343,(np.float64(0.00034693510224315105),)
596101,(np.float64(0.00033049249475425313),)
596777,(np.float64(0.0002943991693200587),)
598296,(np.float64(0.0002779867812705561),)
599819,(np.float64(0.00027145363333147543),)
