Evaluations,Fitness
1,9515375.331739826
2,9412538.961415308
4,9349842.688938176
14,9258787.16439049
26,9257849.146944426
28,9223932.629127126
32,9206441.278409816
34,9121215.039260166
63,9032597.233123254
65,9018215.321129907
76,9006619.227593334
84,8998479.229141694
92,8961480.354206936
93,8919050.610559922
101,8898079.411839673
121,8872912.704262786
124,8775142.502015531
127,8762039.217860049
130,8697284.984648168
151,8367079.766762521
199,8298432.733727582
237,8216418.911808071
241,8105960.463511829
255,8057303.651269912
272,7894980.173413222
283,7887511.676044395
300,7825010.111491132
301,7810093.072367088
311,7802972.509412216
320,7748675.4533297485
326,7738889.905054338
333,7655379.653062428
342,7606608.24321935
348,7432640.027393081
367,7388311.750278444
372,7355534.626649519
374,7306413.692611345
381,7268124.845903563
384,7156799.969638498
395,7046024.384614916
410,7000170.105971488
411,6806499.6320555415
431,6656980.352816822
444,6651525.038433015
456,6587047.057296663
459,6541544.778942196
469,6366164.662903294
477,6237907.978451319
488,5906172.051430789
515,5797793.820867068
525,5706634.723349478
540,5499317.454348078
548,5466527.4468718665
551,5260140.441189548
556,5145817.204643912
562,4887585.3678548345
579,4843738.529743302
581,4742457.970015801
590,4451017.462877004
601,4347866.2357912
606,4061185.088281169
622,4044863.2119870135
634,3051201.733285671
658,2963515.6470749476
678,2926243.3710323875
679,2800140.953221985
683,2541579.439921275
692,2096966.4716964709
702,1986448.653264867
721,1971986.68141773
722,1591677.217432352
740,1410450.1484978364
756,1242138.978245415
769,1068779.6193374153
788,903418.6994785077
797,751978.2170912637
818,742362.7501731289
845,698623.1828835089
874,679233.7845385559
878,667679.1437978122
880,657911.0076081447
896,576007.5293028292
902,572034.595938747
931,564260.8213596281
932,535512.23218908
941,459281.11843178066
970,422616.07369907125
996,419206.5296016616
1041,395138.46674331994
1071,360131.9238503602
1152,344602.4399286426
1153,324244.5417363718
1157,318863.1201103065
1192,289680.5480214943
1231,288708.601342127
1288,285383.3715834984
1313,275310.20686857397
1318,265125.2538211727
1354,263980.2912795904
1368,243836.5175205226
1375,188707.87499375895
1435,183900.63196872486
1451,182526.24523412905
2084,164545.0975286076
2838,152882.88149849078
2949,150361.75652338477
2999,144116.02492983264
3834,131999.3252522872
4834,130420.98771270114
5002,129087.24766287698
5024,120143.5226171086
5077,115317.8162082115
5725,110153.6822061942
6324,108449.82713446852
6331,96824.93058684115
6464,96236.03290378898
6655,94897.0549377013
6683,91821.05628605305
6786,91372.32273359263
6794,90994.17357699428
6810,89329.57200595851
6956,80138.94341573819
7416,76916.85906087895
7503,74461.862634176
7665,73219.88627809657
7696,71553.96221225489
7823,66360.2319224858
8042,65673.4887164934
8055,65228.90410353668
8157,60435.78797839555
8161,58749.563054227874
8257,58241.654327949705
8267,52264.49925536283
9500,52148.019915509285
9611,51218.152005533564
9897,50502.16901448751
9921,47586.97354039576
10022,45586.863969662394
10091,45388.602177681976
10105,44123.062708669866
10293,41987.78018553148
10317,41167.89644006569
10372,40253.6493286707
10462,38165.216959533194
10651,37976.19519755621
11189,33101.51207853674
11285,31608.485186169753
11629,31590.505144450963
11760,31271.587340641192
11883,31063.660683454644
11966,30723.959709080813
12008,29979.944230588782
12044,29821.885297015124
12057,29553.316717079688
12062,29432.46771901478
12092,28980.62183273599
12152,27794.676703319612
12245,27304.021078119124
12423,26963.448347766862
12429,26737.535980697834
12454,24383.97410661774
12597,23939.494470333993
12819,23429.78608959494
12827,22725.425554514157
12871,22590.19021077133
12895,21560.57947132855
12904,21526.742827529055
13028,20750.43682860185
13129,19742.208820154334
13259,19176.260462724444
13311,19047.839711875415
13466,17308.030603238924
13720,16231.094298173535
14046,15643.045279718632
14093,15165.444319936925
14310,15083.438559179136
14321,14858.197698754804
14366,14658.555210500605
14510,13157.520760004374
14966,12678.144343172617
