Evaluations,Fitness
1,2110028217253
3,211021571558973
4,21101532835125
6,2109717108813
10,21099355828
15,2109581133727003
32,2108999509559151
37,2108812901281
435,2108378332353
1208,2108292977199
1211,21075210021575
1246,2108100331533
1295,2107291173031035
1518,210399531035
1699,2102005872297
2279,2100809101235
2401,2105808935007
2402,2109552700809
2404,210397005350
2540,2103733825323
2563,2102805077277
2572,21028001931857
2593,21015087019027
2824,21010773319551
3613,20987829922281
3653,20985222791331
3754,209581957075709
3922,20938053217319
4301,2091382201577
4805,20882575181880
4810,2085210228225
4886,208108802905
4895,20803310531337
5239,207918918958
6003,20981881108183
6035,2058725895709199
6132,2050952338015
6388,20550315019097
6864,205008208273187
7204,20235903050932
7209,20309107892593972
7215,20197735029893
7462,200975580939100
7467,20070723320133
7963,20038887210903
8210,199730871253325
8339,19932022139391183
8404,1932033203590302
8427,1925278890593
8489,192209978723303
8623,1891518805531
9604,1823113259127
9608,18252207901137
9680,18217510513332
9774,17902009873180502
9796,1782050509322933
9834,171013289379
10225,17327803175181
10815,159531313503
10831,1559307731231
10856,1025398390808
10993,101577057578501
11046,15327198993
11059,1518977299301293
11075,19712738120921
11446,13878357757053
12011,1203523921733
12021,11772757917325898
12080,115385992553933
12122,1188715091973
12131,11728850357972
12163,1035822807508127
12513,9772017070259
13231,9209108350
13277,808901285888523
13352,7759105073975
13562,775919222377
13616,722151950579991
13648,793520990598255
13889,035525739819
13936,337001003787
13962,55082373219555
37346,5328887977913
39413,519025591927
39573,5075012090789
40368,9802872579
40832,9122511817791
40879,80195571998
41626,502989193
42009,138571521557
42284,38398757755
44190,3580701573892525
44461,28199935333335
49343,2189813092302798
55591,20778387550853
55781,1933218890935
56158,157225000388111
57681,12572052725799
58165,19551370979
60409,17339782872
60667,138238983371
60768,11035978512151
65205,102701273589
66645,9518015180305
69182,9550311270821
69545,93380300803
69962,90090822779
70622,85110513305
70803,81708085220993
70856,78553882932891
71803,779830399778
72018,78302297
72033,728207398153853
72089,7079305359721738
72607,2955508179917
73762,520715353
77933,53303303287
79584,375138507915
80692,271529828989
81895,39058059257915
82478,3918387157702
83447,30500925359935
84728,2823275135505
86439,2571279931121
87912,218389735918558
91517,1829085179558
93371,171518220717
95197,1781971388575
96330,150271293318
96475,1820319111298
98026,13385785573025
98637,122915180338
100114,10355903325938
102154,890209378955
105217,878230872339
106524,89032523313
106867,83807527558517
107223,81539152995829
107313,7512870818301117
108329,73115385205333
109684,70511582251707
109900,1817351037519
112537,05518379912185
112737,5300209032
116685,5197957503152
117199,50572398253275
118166,5025555822578
118233,90392278991
118323,85819579283399
118998,703108350951
119263,712022700985
119617,1807005995157
120686,3810231915179
120913,33003109820297
122026,33379020539008
123085,331912201285393
126320,2913179220395
127055,2807771120278253
129611,2722802919077075
129663,257179377092138
130346,2508338177752
130863,289223033032
131088,27559518251
131421,2318751791217
132079,22918717388
132953,2232127570395
133760,213932159
134798,21392273995988
135364,20721755521
135881,20399815870889
136004,19337309739199
137819,1901902010152
138552,187090278805213
138714,18230853808
138985,1113291317888
143254,159105813521
144083,15779829753092
146154,1591535531909
146854,150951951120089
146915,18122850109812
147757,153352201
149482,137980177008
149805,1298059101
149871,13829107982299
150610,1371557121322253
153396,133585175900991
153593,1308833720552
156092,13018099038852
156379,12995278552102
157487,1271197713
158215,12590887909383
160014,125089519151
160069,125123200121
160270,12305798977013
160952,1229899522955
162030,1180899895101
164867,113220998771
168263,1131883159175338
168576,112911757081793
171821,112222952103
171859,112515221103583
171950,1110152718255
173041,1105007130582
175270,1101091730
175549,109331803099537
176070,10829189898393
176561,10790510171807
178177,10771371255932
180044,10771193058025
180372,10708121208102
180738,1098807920983
182472,1008891322327
183510,10055072832358
183783,10007199713308
184699,10999258518832
185236,1077039191379525
185738,102380351315
188149,1030117223317
191825,10191159975195
192188,1015721550000008
193273,09527910001782
197834,0918032857893
198194,09529252198512
199259,0952292572087
200091,092012817952
200656,092359729282977
200767,0933372215710193
201251,08501951355797
202870,080082013331
206438,079090097337285
206589,078915352803331
206912,0783700092087
207033,077311928890
207253,07508313391175
207660,070891958827072
209103,022831933087
212444,053259988502
215518,08255791319813
217673,0721207985751
219765,0393397019881953
222167,0382715151015979
222750,0375005209913
223458,037110827927025
224431,03180992377
225557,030903000782
226345,0309222997877010
226826,0302500885
226954,029791705503
227806,028990527190872
229060,02751727587239
229344,027071325809832
230142,023757175992717
230691,021915900557052
230804,02397909192311
231744,0232851701051888
231857,0227109203323
233197,019581038759955
235228,01938215983979
235334,017181259508025
235422,01951171377852
237694,0179132309985532
237758,01133873555
238836,01578839928329502
239039,0139703559003391
239659,0139211227051
239845,01385721102831382
240001,0112292511351508
242389,01013230337195059
243249,0095801587795
244441,0075708991095712
249469,005313389380232
253221,002177938035518
253291,005802571259285
253406,00552538092517535
253811,00521831075277305
255683,005077708553089
256418,00507702338097
256535,0013521978952
259428,00003278951088
260109,003055313583277
266615,002785950791002
267219,002723182978883
267781,0027070795928332
268097,00218753582790
268384,002380133837757
269480,00231290301118
269746,00218929929075
271280,00197953550238108
272335,0019021187557521
272737,001958855128895
273130,0019089222318002
273901,0018312372212533
273981,00159500257510087
