Evaluations,Fitness
1,(np.float64(1555.3986771412171),)
3,(np.float64(1520.9508165274656),)
8,(np.float64(1485.082159531591),)
22,(np.float64(1436.3878761449057),)
229,(np.float64(1405.0319109114448),)
654,(np.float64(1399.626064801251),)
678,(np.float64(1394.2017139631525),)
999,(np.float64(1347.411530526103),)
1464,(np.float64(1329.820990145594),)
3279,(np.float64(1323.969225798022),)
3322,(np.float64(1296.9851275059839),)
3684,(np.float64(1279.7408361454636),)
4533,(np.float64(1173.3085296082977),)
5771,(np.float64(1142.795192144948),)
7120,(np.float64(1138.3595330525),)
30618,(np.float64(1119.066575279579),)
30935,(np.float64(1098.5242413953863),)
31322,(np.float64(1076.96345507478),)
31549,(np.float64(1062.192205388536),)
32262,(np.float64(1001.2694497852085),)
33281,(np.float64(952.6951889602617),)
36279,(np.float64(875.2173509213698),)
39420,(np.float64(851.8472986836757),)
39663,(np.float64(798.1929072832548),)
41694,(np.float64(766.2285851888224),)
44126,(np.float64(751.2746101477096),)
45630,(np.float64(747.5472436069186),)
46166,(np.float64(671.1694418191549),)
50529,(np.float64(668.9196942955818),)
52820,(np.float64(647.213880166458),)
54565,(np.float64(637.6431763046655),)
55664,(np.float64(624.2612171882046),)
56125,(np.float64(623.5814246317973),)
56472,(np.float64(597.207219180884),)
60935,(np.float64(555.0250439146588),)
65259,(np.float64(539.8581137066428),)
74795,(np.float64(536.2069248156415),)
77556,(np.float64(528.2859464230079),)
78006,(np.float64(506.1517437626966),)
78134,(np.float64(500.6207869202438),)
81219,(np.float64(490.05365601880567),)
83893,(np.float64(489.633039125615),)
87372,(np.float64(476.61718448607445),)
91911,(np.float64(446.98451017387777),)
125477,(np.float64(438.2264830848417),)
143377,(np.float64(423.8512078087296),)
147406,(np.float64(409.64986959832254),)
191022,(np.float64(381.0067028005602),)
234244,(np.float64(371.902675804314),)
239253,(np.float64(359.7827526159373),)
242882,(np.float64(352.3797340092749),)
248543,(np.float64(279.8454595946292),)
251834,(np.float64(279.2795085890814),)
261774,(np.float64(275.8842470765943),)
261789,(np.float64(273.0366781151474),)
262902,(np.float64(264.714187771771),)
262909,(np.float64(245.1126179830306),)
263741,(np.float64(205.55037335211233),)
266766,(np.float64(199.4780678442766),)
268902,(np.float64(191.85035811323115),)
269674,(np.float64(181.59969567010137),)
272438,(np.float64(174.72213349568193),)
272711,(np.float64(160.66084884121506),)
273865,(np.float64(148.08510962090725),)
274494,(np.float64(148.07589999647496),)
275170,(np.float64(142.51409052894275),)
276753,(np.float64(126.86808785848336),)
279818,(np.float64(121.77078220081711),)
280080,(np.float64(117.63810800818538),)
280606,(np.float64(81.99777539396155),)
286548,(np.float64(80.22386032421446),)
287420,(np.float64(76.68343447505231),)
288943,(np.float64(71.36492608967228),)
289595,(np.float64(63.729123725492286),)
291176,(np.float64(61.49947471564906),)
291717,(np.float64(56.809762248926404),)
292908,(np.float64(54.671499056080165),)
293073,(np.float64(52.62904580788768),)
293075,(np.float64(47.26699585769006),)
294290,(np.float64(47.224006431151906),)
294545,(np.float64(47.141153340211986),)
295356,(np.float64(43.678535679992024),)
297275,(np.float64(43.62615722461544),)
297405,(np.float64(40.19253376333995),)
298531,(np.float64(38.859374497164026),)
298903,(np.float64(33.94448851164168),)
300365,(np.float64(33.087221136641006),)
300802,(np.float64(28.95894666283823),)
301006,(np.float64(27.59157448382723),)
303172,(np.float64(26.72320166519353),)
303784,(np.float64(24.87970058193173),)
303833,(np.float64(22.238039760095035),)
304843,(np.float64(21.853877629958106),)
305196,(np.float64(20.246961100096428),)
307987,(np.float64(19.655946007034913),)
308264,(np.float64(17.216123699048126),)
308599,(np.float64(15.144399296313054),)
313282,(np.float64(13.673684700467788),)
314153,(np.float64(12.412954082721171),)
314411,(np.float64(9.349958457229945),)
319301,(np.float64(8.873090532378228),)
322303,(np.float64(8.255086629097605),)
322659,(np.float64(7.478459635747527),)
323085,(np.float64(7.398521693275256),)
324835,(np.float64(7.228176499126334),)
326145,(np.float64(6.513827954716703),)
326504,(np.float64(6.345231045352193),)
326509,(np.float64(6.261685654420603),)
327898,(np.float64(5.406312271306888),)
330456,(np.float64(5.012870149624064),)
331703,(np.float64(4.919759116066075),)
332451,(np.float64(4.676407444477036),)
332770,(np.float64(4.544928015653568),)
332871,(np.float64(3.93834306110989),)
334244,(np.float64(3.5375786450442774),)
335944,(np.float64(2.8990457640985596),)
338466,(np.float64(2.7519024308568305),)
339685,(np.float64(2.394375957906391),)
339746,(np.float64(2.2466786233642324),)
340740,(np.float64(2.0008382302098653),)
342096,(np.float64(1.8379092651077826),)
343846,(np.float64(1.8348494416878793),)
344425,(np.float64(1.492886271823977),)
346858,(np.float64(1.4706660453032327),)
347078,(np.float64(1.389146633845371),)
348241,(np.float64(1.357877390723047),)
350350,(np.float64(1.2554204533940947),)
351815,(np.float64(1.1298350950736449),)
352022,(np.float64(1.0950608048617596),)
352816,(np.float64(1.084757576720449),)
353732,(np.float64(1.0396668890501815),)
354120,(np.float64(0.961419215755086),)
354517,(np.float64(0.9613063576217655),)
355415,(np.float64(0.8752043562507197),)
355436,(np.float64(0.8544408356922304),)
357647,(np.float64(0.8422007727408527),)
357754,(np.float64(0.8281412177403809),)
357943,(np.float64(0.8097968845182777),)
358396,(np.float64(0.739640456229381),)
359749,(np.float64(0.7054772748132336),)
361501,(np.float64(0.6851926630472462),)
362426,(np.float64(0.6389073508504453),)
362510,(np.float64(0.6292414385447955),)
362645,(np.float64(0.614386577608002),)
363229,(np.float64(0.6113545063639094),)
365037,(np.float64(0.5788277368267245),)
365407,(np.float64(0.575398064529054),)
365577,(np.float64(0.5025955363154253),)
366126,(np.float64(0.49051586482187304),)
367501,(np.float64(0.45588330157886503),)
369367,(np.float64(0.4541078790945221),)
369857,(np.float64(0.44586510631859255),)
370050,(np.float64(0.43144453122329196),)
370810,(np.float64(0.3810997038859796),)
371046,(np.float64(0.32355348560645325),)
374417,(np.float64(0.32143572401605525),)
374495,(np.float64(0.274330270800192),)
375733,(np.float64(0.27031574431930494),)
376534,(np.float64(0.2473349392533919),)
377308,(np.float64(0.24090176492131832),)
378030,(np.float64(0.2338630333341598),)
378044,(np.float64(0.22364395332010645),)
378119,(np.float64(0.18950025665844805),)
379249,(np.float64(0.1750673224945558),)
381100,(np.float64(0.17503491987940833),)
381225,(np.float64(0.17371308800898078),)
381929,(np.float64(0.16314283260169304),)
382309,(np.float64(0.15938222333159047),)
382395,(np.float64(0.1568009336756404),)
382768,(np.float64(0.15652936824324115),)
384336,(np.float64(0.14458336308393882),)
384357,(np.float64(0.14247746557612118),)
384783,(np.float64(0.13815543084513138),)
385986,(np.float64(0.11756838168810191),)
387882,(np.float64(0.1116490408143136),)
389983,(np.float64(0.09903548385284466),)
390365,(np.float64(0.08833983352849373),)
390720,(np.float64(0.08524947371142844),)
393291,(np.float64(0.08088882971208022),)
393958,(np.float64(0.07610257240071405),)
394033,(np.float64(0.07511562720310394),)
394914,(np.float64(0.0715319302764783),)
