Evaluations,Fitness
1,890553732781118
4,889115259052
5,8855901831
15,883801591923082
18,880297505829031
20,87189215878157
69,8995359338579
80,871389138808
199,8535107508
378,859953702039
1202,831071001801
1244,8115118592221
1247,83209239997
1301,8208175031
2422,80327231132033
2434,79739205018
2455,795208573337899
2460,79059159188
2479,7823173503127
2726,78011392912911
2871,7733780187305
3064,7307881730953
3604,958005322
3656,8157273111123
3689,71591773992
3861,527579219357
4145,50100805059
4353,25299388002
4804,12237912073
4815,5913915538252
4827,5328829330123125
4842,530959528100715
4845,512293377159
4977,372311585957
6043,301032915327917
6044,22023221803
6500,1959209222821
7201,1855158799355
7202,12002850108292939
7223,10178983723901
7224,89075013372595
7430,879253352203
7796,828502177285252
8000,81987595208
8292,72103790053
8410,951881378023
8559,57338307238
8580,59183181835192
10567,8172938997931
10994,21005882589705
12635,820392599
14259,39783290318
14656,273372991
16240,10999387
16473,310898130877
18820,32377908015135
22260,29572217020877
29673,20799088355097
37401,153078151527709
51930,13073999931781
57079,119132079122355
59386,117789818203
64215,117080792053707
65217,11513293179
65944,97517782833125
69533,87227380725097
70657,77308539312252
73149,7575558102105
78089,755518018271229
78371,9052531273278
79013,23775371275
79238,13127505759901
82664,59151927075
83093,5710370233015
84185,5272925510082
84516,527015500882
84647,3975222199712053
87179,38227808307101
88346,378927213091591
88912,3707997983321
88939,3318885953123
90264,327193355755
91508,29370391058
94882,2721105582598
95511,2581558159530585
96111,22323121318185
96629,200333932793
100632,2023317198170318
103307,195202881017373
103544,18712917279833
104104,1820991801155
104152,1772871328325
104246,129391079303
104556,1539519919879387
104982,1588590800857
106762,10079155951
106847,13075098052228
108809,119055051022109
109245,1170850092
109589,118918837082
109644,115911031892
110038,113990218770592
110314,11258101011
110426,108235807005
110954,10352803933777
111882,9809889198872
111948,955303032529831
112046,889909259183
112926,8138382195515
113965,803238220512977
114216,8011059312905
114369,7902915971278
115371,793085578
116044,705072793539337
116909,29005877379
119091,57177195395188
119107,910221051308
120673,79009729
123304,282395000318
125419,230151715008
126041,37551585981233
126684,3559552998982137
129267,3500598939833
130552,308371231300813
