Evaluations,Fitness
1,7195728873283
38,71907983757255
81,71902388987579
190,7188809507705
303,718339035277
377,7182795303723
461,7182578052035
479,718183310933577
573,7183309092091
1205,71575197080217
1212,71501973181
1218,712590730711
1421,71229585988093
1797,7102721258257277
2418,707925119722233
2440,70725208208709
2474,7038911873923
2480,9937592309382
3610,917058398773
3612,97529973271
3622,89522913282955
3681,8277989153902
3729,81080012999592
4216,802873702183
4391,755319315
4805,77223391138981
4819,7113230999
4832,1977119209
4873,9977915390029
4918,28255101352
5216,35135711939
6005,281111789982
6009,25777987519
6028,253773083588598
6040,5973231552939
6501,5550282353085
7201,55239922152779
7211,5172173922528
7296,51098718382789
7350,5051797929822
7387,928329513727
7608,88821007185
7901,70121002512397
8131,158737298201
8403,88333808978
8418,01897858035
8441,30322570197
8491,3329888277128193
8851,322997930178287
9810,311891830317
10227,2838838353285
10696,25903880582129
39374,237229713899587
41644,20200502322573
44140,200212887889
44622,17758303971
45905,185298290989232
46950,17500573895812
47858,1198798318802
48237,1291980357275
53532,1289983097
53817,11303839280723
54522,109118171832172
54804,103273523395098
56709,10203815020281
57294,99089327358317
57387,980827870823
58656,812903090809
60003,7773557953095
60783,8193572528
62494,7935275553
62610,78957588200
62768,159259812
62811,578129913193
63868,51298993295
65135,388288595575
66050,339352311788283
68660,318988925051827
72014,30002839118299
72171,295102981313382
72395,2915295205558
72565,23325358529821172
74485,2155201715872
76853,21093171993583
77248,171880538708
78335,18529929952593
79673,1137195113519815
81178,155300892037
81259,13703398193
83527,135220109851183
84299,123108101098
84503,122872908023
84816,11307130991522
85945,101192725908013
87477,972210315525
88280,95597200017811
88826,77782983803935
89597,72339938229391
91570,01250751370
93247,0880731779882
94602,5753177725375775
96073,523582730313123
96722,520927579231711
97432,510587700232
99913,37089951177
99940,270001711
100431,3271097359818
102819,3089032923708
105070,30259975221203
105137,2980939902779
105200,279897189305
107321,27712358598983
107532,25388591772723
109926,23905511081712
110603,2303501393955
111317,227557198920313
111841,19300120587
113848,187791053318812
113962,18591552993115
114626,1700722173095
115414,15211129082792
115819,1528990229532975
117685,120008017855
118064,139725313507
118393,1338287221931772
119178,10338855372822
122872,977852708789038
123427,93735398228335
123694,90129258235018
123891,8911908390881
124040,87359952818732
124573,79581217577835
126625,71581139099
128595,8223091883355
128609,10331980913
129401,590155598982977
131141,59800875
131415,522111825272899
131948,5073379791001
132050,201288758
134611,29031855118
135162,3592721519227
136956,3582770191
137139,33921837957101
137201,321788107800
138832,321003825
139241,299803837110225
139409,2975118078125
139546,2203970858058
145422,188978517002
146545,185055225733
147865,18399508150597
147896,1730897807207
147979,1723075813858
148090,1717785283557
148161,1297702755298
149655,137785792285
152832,1299801907999909
152869,12777520339278
153524,112392271073
154808,1109813195392
154919,115871227315952
155020,115009179702235
