Evaluations,Fitness
1,21.420604
2,20.959079
11,20.933689
20,20.902629
31,4.461612
32,4.176258
62,4.117176
72,4.030905
92,3.994287
93,3.957934
104,3.877625
136,3.858749
152,3.816361
175,3.609620
184,3.443260
191,3.442434
257,3.435861
274,3.215865
338,3.080133
559,2.890104
675,2.692779
760,2.637889
853,2.613030
864,2.543839
868,2.520657
870,2.494390
956,2.468409
967,2.467598
1016,2.455918
1074,2.285623
1102,2.225566
1157,2.115073
1168,2.094639
1217,2.043011
1231,1.967350
1240,1.957738
1290,1.945647
1297,1.850002
1298,1.759975
1333,1.669187
1378,1.595592
1389,1.540411
1518,1.337036
1583,1.233173
1601,1.223091
1607,1.187144
1619,1.175833
1632,1.037054
1697,1.029600
1759,1.022728
1801,1.008863
1803,0.973209
1810,0.828652
1856,0.793304
1951,0.780733
1963,0.688304
1986,0.621270
2020,0.555687
2050,0.525617
2136,0.465184
2200,0.425776
2298,0.383949
2307,0.370464
2378,0.362978
2403,0.351183
2426,0.337719
2469,0.335969
2474,0.321646
2476,0.315705
2493,0.305076
2494,0.297022
2523,0.282675
2552,0.246414
2654,0.234858
2684,0.227868
2689,0.207718
2741,0.185767
2835,0.178433
2847,0.174498
2878,0.173185
2881,0.169424
2924,0.163808
2950,0.159491
2965,0.149843
2968,0.139216
2994,0.136701
3004,0.131237
3016,0.115753
3094,0.113115
3132,0.109637
3179,0.106125
3186,0.105766
3198,0.105240
3215,0.100009
3227,0.090440
3244,0.084544
3302,0.080077
3358,0.077784
3364,0.077232
3382,0.075985
3391,0.072132
3412,0.069975
3422,0.069199
3433,0.068873
3437,0.064749
3460,0.063371
3506,0.062905
3543,0.055517
3560,0.053656
3574,0.053496
3589,0.050102
3632,0.045550
3736,0.043774
3753,0.041858
3761,0.040611
3806,0.038826
3821,0.034087
3885,0.033377
3913,0.033273
3936,0.032437
3952,0.031080
3965,0.030881
3966,0.029636
3998,0.026704
4040,0.025349
4125,0.024964
4136,0.023428
4159,0.021232
4202,0.020561
4246,0.020550
4312,0.020266
4327,0.019402
4345,0.019207
4348,0.018322
4349,0.017901
4354,0.016362
4441,0.015816
4472,0.015253
4474,0.014977
4539,0.014841
4544,0.014620
4589,0.014098
4594,0.013731
4617,0.013586
4640,0.012505
4675,0.012232
4718,0.011679
4727,0.011656
4779,0.011385
4784,0.011323
4792,0.010846
4799,0.010647
4809,0.010646
4826,0.009395
4867,0.008172
5018,0.007865
5079,0.007039
5137,0.006722
5145,0.006546
5207,0.006463
5231,0.006103
5309,0.005570
5365,0.005517
5375,0.005057
5390,0.005008
5439,0.004912
5496,0.004053
5616,0.003907
5636,0.003889
5653,0.003731
5688,0.003559
5689,0.003477
5725,0.003016
5799,0.003013
5815,0.002931
5823,0.002626
5985,0.002570
6024,0.002190
6074,0.002180
6085,0.002138
6139,0.002095
6146,0.002077
6179,0.001915
6255,0.001893
6274,0.001818
6305,0.001816
6318,0.001798
6319,0.001759
6335,0.001590
6354,0.001529
6402,0.001478
6459,0.001360
6509,0.001288
6562,0.001254
6608,0.001246
6618,0.001162
6662,0.001133
6676,0.001048
6705,0.000951
6785,0.000771
7032,0.000751
7056,0.000746
7076,0.000720
7116,0.000712
7129,0.000697
7137,0.000674
7171,0.000660
7203,0.000650
7263,0.000561
7326,0.000536
