Evaluations,Fitness
1,1323.945904
31,1032.083519
32,1004.764649
36,970.377390
41,875.577833
226,873.206158
227,868.454573
260,843.425579
267,800.051224
346,783.678900
581,717.326819
923,668.806471
1392,666.701543
1468,653.467798
1711,619.520594
1812,587.184571
2054,577.891952
2257,565.680308
2698,558.432094
3009,548.186439
3282,532.304200
3736,517.608014
3883,515.703189
5618,506.484245
5622,503.873872
5671,494.207964
5697,482.284863
5701,447.441993
5852,431.367724
5862,421.215166
5998,415.369079
6009,400.625489
6134,396.381388
6140,370.168577
6290,344.299730
6352,329.197563
6428,316.404918
6453,314.977808
6495,308.937361
6497,298.078981
6525,278.411792
6547,276.383604
6566,270.758254
6573,234.615197
6747,224.309805
6790,221.622081
6795,208.945920
6879,207.848225
6895,194.267451
6922,185.809646
6968,185.684761
6975,183.769597
7018,182.009355
7021,169.942133
7069,165.396022
7133,164.326695
7136,145.322125
7210,144.887583
7213,136.121248
7353,128.616429
7383,123.333592
7474,120.975379
7501,119.584333
7564,116.188689
7639,114.503317
7651,113.677983
7657,112.278253
7674,111.768615
7693,110.483563
7719,109.210501
7731,108.433198
7732,107.849228
7745,101.156023
7830,100.499661
7881,99.569389
7933,97.990990
8006,97.588007
8029,96.684792
8072,96.557388
8112,94.941928
8193,94.655957
8223,94.278271
8235,93.526921
8264,93.501515
8284,93.355051
8366,93.276812
8376,92.787058
8382,92.713940
8387,92.142848
8410,91.870609
8512,91.774549
8533,91.553641
8537,90.985156
8567,90.858411
8611,90.640583
8618,90.577546
8644,90.563927
8676,90.483880
8708,90.429200
8727,90.158037
8736,90.020033
8822,90.013055
8832,89.813292
8893,89.770237
8894,89.752615
8920,89.378641
9069,89.277569
9151,89.242906
9152,89.095344
9199,89.041179
9262,88.968990
9315,88.914257
9397,88.828556
9442,88.827445
9487,88.806416
9533,88.800407
9544,88.771279
9594,88.713269
9697,88.704411
9743,88.700842
9788,88.699594
9796,88.687564
9823,88.682140
9838,88.675554
9904,88.655389
9909,88.649747
9976,88.649246
10000,88.648926
10003,88.641263
10013,88.634226
10086,88.623289
10098,88.620299
10129,88.618652
10135,88.606074
10204,88.598896
10292,88.585303
10393,88.582283
10434,88.582069
10453,88.578404
10531,88.569242
10614,88.569226
10651,88.567906
10674,88.566152
10724,88.564988
10797,88.563164
10839,88.562633
10861,88.561624
10901,88.560368
10969,88.560006
10983,88.559915
11024,88.559191
11028,88.558788
11060,88.558246
11068,88.557815
11149,88.557413
11163,88.557163
11230,88.557090
11233,88.556467
11266,88.556439
11277,88.555639
11326,88.555288
11334,88.554860
11344,88.554550
11376,88.554352
11416,88.554131
11465,88.553746
11467,88.553516
11503,88.553371
11538,88.553261
11571,88.553217
11676,88.553059
11731,88.552971
11771,88.552731
11803,88.552594
11837,88.552214
11993,88.552207
12001,88.552121
12025,88.552072
12038,88.552021
12101,88.551982
12156,88.551910
12157,88.551858
12194,88.551774
12312,88.551713
12368,88.551605
12578,88.551589
12581,88.551566
12620,88.551545
12696,88.551534
12707,88.551525
12717,88.551480
12722,88.551455
12834,88.551446
12836,88.551419
12856,88.551399
12954,88.551397
12964,88.551393
12999,88.551389
13008,88.551365
13058,88.551351
13090,88.551349
13117,88.551349
13122,88.551330
13131,88.551327
13223,88.551324
13246,88.551319
13368,88.551319
13371,88.551317
13401,88.551314
13407,88.551311
13414,88.551305
13448,88.551303
13466,88.551302
13508,88.551297
13531,88.551294
13542,88.551285
13720,88.551284
13757,88.551284
13768,88.551282
13779,88.551282
13799,88.551280
13854,88.551279
13876,88.551278
13884,88.551274
13900,88.551273
13943,88.551273
13954,88.551272
13985,88.551272
13993,88.551271
13997,88.551271
14021,88.551268
14038,88.551268
14058,88.551268
14117,88.551267
14132,88.551266
14148,88.551265
14181,88.551264
14224,88.551264
14306,88.551263
14351,88.551263
14374,88.551261
14381,88.551261
14534,88.551260
14545,88.551260
14625,88.551259
14656,88.551259
14760,88.551259
14772,88.551259
14835,88.551259
14863,88.551258
14895,88.551258
14918,88.551258
14925,88.551258
14927,88.551258
14971,88.551257
14988,88.551257
