Evaluations,Fitness
1,363497958.161006
2,330832266.561144
10,285038443.446032
15,258632396.364778
31,173185651.345817
33,173121108.216729
36,172544991.251518
44,171508439.053153
61,171395610.280042
63,170648268.918125
83,170462734.014671
96,170104377.177499
104,170066133.228923
121,169964477.271302
123,169754963.144368
124,169565190.471990
145,169515263.514267
147,169053982.716865
151,168607787.524299
168,168593949.108029
175,168542309.632955
182,167386230.823402
212,167298718.719332
217,167249374.869843
219,167235898.417424
222,166901644.136944
242,166693444.135790
250,166690886.314858
258,166290003.090721
272,166140638.412237
277,165257641.890394
278,165079923.656967
302,164296609.448510
328,163203757.274922
340,162763931.924134
345,162190319.373003
365,162001350.853227
377,161695250.517004
396,161334279.780506
400,160545453.115420
404,160189769.287365
421,159202571.000453
449,158631856.678278
463,158283269.513088
470,157685013.697999
482,156672133.367930
483,154973293.926338
514,153662913.797568
541,150814628.218667
574,149674363.057854
585,147675362.148384
625,146075681.227254
631,144171013.766364
643,143574618.560675
667,142385093.760636
691,140919042.339286
697,140815811.609182
703,139934688.559530
710,137136588.461579
732,135941273.548749
741,135920958.534900
754,134984267.491795
759,134412295.360714
768,134083221.135426
769,131527063.379550
782,129967104.447816
786,128219515.070164
791,125565046.223737
811,122849027.336427
825,122042869.730891
844,120966015.604388
854,119217099.441368
865,118726832.816344
877,116977943.361753
882,109519296.155511
910,105640814.890223
932,103115821.594257
936,100194182.054744
965,99652979.673137
967,96801255.468457
981,93621667.191354
993,88217298.548321
1030,86471795.148874
1038,86032407.786319
1048,84532912.825286
1053,81842966.914866
1079,79392802.527835
1088,78674780.427045
1091,77786166.015896
1096,75207509.554617
1104,74387640.034455
1111,68511610.046912
1126,65703587.038788
1142,65087906.281002
1146,64833587.569444
1157,64269945.951142
1159,53378935.813387
1185,50998924.361007
1189,50126644.054709
1201,47967664.594637
1232,43306922.338269
1244,42963160.800386
1252,42245251.628410
1261,34089907.559044
1296,30466330.218068
1327,29206752.172234
1334,28055144.233598
1364,25446704.933836
1408,23408737.242287
1471,22951443.018957
1479,22050103.038193
1502,21129001.032428
1534,18027923.655210
1575,15672484.895854
1882,14150331.464553
1976,9971456.067443
2162,9293123.932676
2199,8774958.903805
2229,8386899.805174
2252,7644149.530093
2278,7452677.708427
2339,6594077.572757
2404,6104933.706880
2409,5994665.351714
2413,5249368.406262
2519,4986383.353604
2539,4980785.103789
2562,4499586.537328
2593,4490709.867462
2707,3862426.335118
2839,3800291.149620
2847,3551566.440226
2927,3179309.112785
3058,2930207.737832
3100,2898358.702451
3116,2842521.077199
3127,2439145.470764
3145,2255776.217644
3305,1907703.101656
3431,1866082.232555
3467,1758039.925723
3486,1634299.287070
3652,1612001.573511
3665,1507266.442342
3745,1333354.628689
3783,1273127.411537
3890,1178542.625988
3891,1075158.076977
4065,1065554.003058
4137,1045649.087565
4143,1041045.730571
4147,1036248.304060
4189,1031038.623375
4207,998715.642985
4231,997008.333227
4233,978145.684525
4248,938012.875817
4282,857684.583083
4344,831857.812085
4349,821113.094324
4356,818938.273571
4390,810774.748008
4391,759551.970544
4416,704483.890487
4503,670829.907771
4624,604430.869141
4772,581683.998088
4864,561873.881286
4891,554009.942237
4895,505045.501997
4964,491175.162136
4972,459467.190229
5112,443027.401774
5145,442416.041236
5171,422008.851541
5180,406208.452824
5202,402555.023814
5247,388349.513130
5262,375887.272010
5304,368250.116307
5310,349896.273885
5370,340166.839973
5404,324765.964987
5406,320820.754973
