Evaluations,Fitness
1,325890.110794
3,268108.219061
13,266313.567152
26,254780.084781
962,254711.243225
980,252346.375358
992,251652.193895
999,249529.593679
1005,248878.941067
1015,247128.670805
1021,237336.915866
1051,232582.529084
1074,231648.504273
1081,228779.226091
1082,226152.659274
1083,225180.016178
1111,224844.831566
1116,224776.656408
1135,219851.298561
1139,218223.269344
1153,209220.357286
1155,202367.083758
1182,201024.173552
1202,200346.831216
1207,194310.109481
1208,190870.784779
1233,182991.019387
1243,180351.549619
1256,174312.736061
1272,166518.783408
1273,165517.889645
1283,163163.032058
1294,158299.387885
1296,157340.887927
1317,142912.838716
1330,135432.364897
1353,128423.272514
1381,125911.637343
1384,125539.379153
1388,122233.370157
1393,115658.492122
1419,112394.206617
1441,108714.612721
1446,93817.837988
1447,82885.710249
1491,77101.058616
1511,70312.071782
1546,70026.238244
1557,68523.462476
1560,63109.898199
1610,61881.046843
1629,58478.284692
1630,58121.754909
1660,55843.489094
1916,54982.718795
1943,52323.653168
1958,43276.255615
2076,43075.013289
2087,35924.329496
2103,31564.254616
2162,29401.800155
2197,28361.780229
2203,25369.744507
2226,24341.916137
2264,23597.396030
2275,22649.333495
2284,19791.635456
2322,18543.472603
2352,16252.695826
2388,14485.035827
2412,10747.909831
2507,9858.345216
2573,9720.949982
2585,9151.965218
2590,8536.103050
2615,7426.614423
2706,6900.601430
2714,6883.961773
2745,6494.824087
2775,6464.596009
2776,5672.890876
2777,5524.521862
2879,4800.538294
2900,4071.964872
2909,4047.233807
2981,3999.393762
3003,3935.677700
3043,3855.157787
3044,3733.181544
3050,2806.284101
3160,2322.213795
3216,2303.746019
3261,2003.685999
3272,1584.753161
3357,1439.474161
3358,1432.070685
3422,1415.174395
3426,1367.989119
3428,1102.766971
3491,900.660991
3607,886.024036
3633,774.348059
3634,752.842455
3684,683.178200
3736,680.025257
3750,631.168114
3756,587.128933
3801,555.271502
3825,461.608391
3903,406.968610
3940,382.372542
3943,334.767030
4008,334.276199
4037,314.831823
4039,300.600081
4109,265.118020
4121,229.975374
4172,221.704908
4214,179.961208
4330,174.589306
4350,170.814495
4365,148.927450
4374,126.579366
4381,125.366484
4476,121.573595
4483,100.925293
4541,93.772366
4591,80.167829
4631,79.388481
4643,75.945657
4677,73.945383
4685,71.628728
4700,63.341672
4713,61.807094
4765,59.131076
4783,57.347059
4796,49.137892
4823,46.072557
4874,43.569397
4884,43.386014
4898,42.086064
4908,36.514906
4942,30.818274
4955,24.445486
5031,19.294472
5159,19.143531
5228,19.073783
5248,18.236743
5257,17.786634
5291,16.971772
5298,16.129691
5328,16.004711
5329,15.292108
5361,14.736085
5371,14.680694
5373,14.543496
5377,13.017811
5437,12.312056
5444,10.536632
5515,9.772208
5610,8.887640
5619,6.485894
5645,5.824150
5675,5.273022
5710,4.898243
5763,4.813328
5814,3.533950
5973,3.260681
5979,2.880156
6068,2.429898
6153,2.378082
6173,2.288015
6191,2.128282
6196,1.933081
6233,1.907704
6243,1.714415
6279,1.482069
6337,1.216479
6427,1.177614
6450,1.144631
6454,1.090391
6481,0.985932
6558,0.864450
6602,0.824386
6603,0.812893
6624,0.752989
6644,0.691337
6683,0.651072
6729,0.604387
6752,0.556508
6755,0.516565
6809,0.497960
6854,0.443903
6863,0.387726
6940,0.369680
6964,0.368472
6966,0.355754
6984,0.345603
7011,0.338933
7018,0.326720
7069,0.309083
7078,0.289967
7108,0.286688
7113,0.283909
7117,0.270169
7129,0.231689
7137,0.224854
7153,0.218326
7185,0.214696
7248,0.195840
7254,0.157145
7274,0.128561
7299,0.126646
7324,0.125430
7332,0.122833
7360,0.112288
7383,0.111020
7447,0.100321
7453,0.088665
7487,0.087686
7489,0.084961
7516,0.080148
7568,0.078908
7589,0.075502
7677,0.068108
7724,0.061657
7763,0.048813
7813,0.037099
7875,0.036141
7932,0.030768
7989,0.030704
7991,0.027510
7996,0.026893
8046,0.022210
8074,0.019639
8120,0.018593
8167,0.016141
8193,0.016076
8279,0.015108
8285,0.014464
8313,0.012476
8363,0.012385
8380,0.012204
8421,0.010603
8431,0.010268
8468,0.008841
8494,0.007673
8540,0.007498
8584,0.006340
8657,0.005200
8701,0.004546
8858,0.003874
8913,0.003596
8928,0.003276
8988,0.002919
9066,0.002841
9107,0.002656
9114,0.002536
9124,0.002428
9133,0.001951
9160,0.001820
9188,0.001778
9242,0.001720
9271,0.001058
9420,0.000875
9598,0.000724
9734,0.000719
9755,0.000654
9757,0.000639
9785,0.000631
9790,0.000620
9793,0.000595
9821,0.000507
9837,0.000493
9843,0.000414
9891,0.000394
9907,0.000393
9909,0.000330
9974,0.000302
10030,0.000286
10157,0.000275
10160,0.000262
10172,0.000237
10204,0.000209
10207,0.000204
10211,0.000170
10300,0.000167
10353,0.000160
10383,0.000143
10403,0.000135
10411,0.000135
10426,0.000119
10434,0.000090
10529,0.000085
10563,0.000084
10666,0.000081
10669,0.000075
10683,0.000068
10688,0.000063
10774,0.000053
10881,0.000052
10955,0.000044
10957,0.000043
10977,0.000042
10981,0.000038
11053,0.000037
11057,0.000037
11061,0.000032
11089,0.000025
11132,0.000024
11274,0.000023
11318,0.000023
11367,0.000022
11372,0.000021
11376,0.000018
11400,0.000017
11454,0.000015
11552,0.000014
11563,0.000013
11597,0.000013
11609,0.000013
11612,0.000012
11644,0.000009
11660,0.000009
11707,0.000009
11748,0.000008
11779,0.000008
11811,0.000007
11852,0.000006
11912,0.000006
11918,0.000006
11921,0.000006
11934,0.000006
11949,0.000005
11981,0.000004
12051,0.000004
12087,0.000004
12091,0.000004
12113,0.000004
12133,0.000004
12205,0.000003
12266,0.000003
12310,0.000003
12312,0.000003
12317,0.000003
12347,0.000002
12364,0.000002
12448,0.000002
12463,0.000002
12498,0.000002
12516,0.000002
12533,0.000002
12563,0.000002
12634,0.000001
12683,0.000001
12687,0.000001
12783,0.000001
12791,0.000001
12812,0.000001
12816,0.000001
12931,0.000001
12943,0.000001
12966,0.000001
13065,0.000001
13072,0.000001
13089,0.000001
13124,0.000001
13175,0.000000
13211,0.000000
13247,0.000000
13294,0.000000
13329,0.000000
13333,0.000000
13367,0.000000
13385,0.000000
13444,0.000000
13564,0.000000
13652,0.000000
13721,0.000000
13740,0.000000
13803,0.000000
13825,0.000000
13858,0.000000
13896,0.000000
13942,0.000000
13962,0.000000
14123,0.000000
14133,0.000000
14147,0.000000
14172,0.000000
14195,0.000000
14200,0.000000
14244,0.000000
14307,0.000000
14328,0.000000
14353,0.000000
14368,0.000000
14389,0.000000
14404,0.000000
14431,0.000000
14522,0.000000
14544,0.000000
14641,0.000000
14657,0.000000
14673,0.000000
14684,0.000000
14694,0.000000
14705,0.000000
14734,0.000000
14768,0.000000
14774,0.000000
14797,0.000000
14857,0.000000
14927,0.000000
14944,0.000000
