Evaluations,Fitness
1,7288125.525606
6,5817255.565786
1359,5690089.031992
1365,5114923.453114
1368,5066308.557335
1395,4851545.699041
1399,4812140.034372
1401,4715617.918988
1409,4524528.067891
1421,4495075.641591
1429,4224934.149650
1445,3931242.513307
1466,3833333.654726
1471,3586584.426234
1498,3480333.390333
1508,3197889.956884
1510,3058381.798920
1532,2584245.857369
1567,2544125.322306
1589,2325485.732422
1593,2269178.625776
1594,1997455.188671
1717,1779974.404364
1992,1658605.826990
2023,1367053.656747
2217,1257729.006706
2225,1060023.910847
2286,971495.246238
2363,957118.814083
2388,851703.547173
2419,761844.641250
2462,627218.509637
2524,624135.305031
2538,606023.944283
2552,479318.688121
2686,465383.848571
2694,461880.430323
2697,442882.081333
2723,419930.746145
2792,396290.175293
2880,384140.559387
2893,316593.829865
2963,301912.694837
3055,295807.473348
3069,286351.541898
3099,221152.179490
3237,220759.468790
3246,205656.970885
3264,177706.734167
3365,161823.235642
3378,135388.667396
3457,118158.055179
3535,112913.664424
3566,110492.796855
3619,102781.076346
3637,80576.897278
3821,77334.242663
3893,75068.530640
3896,66758.447783
4038,66160.564460
4046,62615.506706
4075,60183.818120
4088,58858.381108
4096,57694.053105
4130,53151.039982
4165,47137.742515
4194,46648.403630
4207,45940.006243
4267,40414.589985
4283,40300.770726
4306,39001.143589
4347,29666.793355
4483,29148.866056
4705,29068.124686
4711,28160.258175
4712,26991.062854
4734,24223.523610
4743,21529.720614
4778,20353.984249
4829,19586.864434
4850,19350.127303
4892,17460.058833
4918,17394.579722
5009,14587.716858
5127,14035.790130
5132,11241.649115
5255,10528.277700
5296,10514.680521
5298,9037.396735
5377,7762.514725
5529,7466.810134
5535,7292.546261
5552,7013.260950
5571,6673.000222
5581,6378.880683
5619,5818.447970
5827,5269.782842
5842,4918.218389
5889,4718.019689
5927,4633.755779
5996,4629.941530
6060,4416.028755
6173,4052.501705
6223,3925.366235
6249,3811.359895
6277,3480.486437
6293,3456.016973
6307,3174.821840
6325,2902.341287
6335,2851.844077
6408,2815.887152
6445,2809.828496
6446,2767.288589
6484,2375.768042
6576,2334.472212
6607,2301.003321
6642,2293.527113
6648,2182.726597
6654,2147.835067
6677,2087.142103
6681,1989.100851
6720,1893.446814
6740,1770.923979
6764,1552.412221
6885,1398.677497
6940,1335.717392
6975,1333.509755
6991,1291.262028
7040,1233.467099
7087,1184.320862
7092,1166.965151
7187,1105.993017
7263,1019.403762
7292,983.168778
7399,946.801634
7400,934.372179
7402,753.980511
7431,718.640334
7518,693.057120
7595,644.803823
7614,618.369236
7712,590.142871
7754,586.157867
7755,560.136011
7782,538.505923
7805,518.493384
7829,510.372855
7841,436.824697
7929,409.607453
8020,369.166980
8228,316.483389
8311,288.874463
8325,277.222450
8423,271.969615
8435,261.535619
8436,257.670737
8479,234.865935
8540,233.043916
8568,226.610736
8583,224.841904
8610,215.713573
8644,201.566490
8666,200.743649
8672,188.157118
8692,169.889291
8694,167.927380
8763,151.423580
8846,146.489616
8857,133.058856
9006,125.407486
9049,124.639576
9081,107.593830
9096,93.993911
9154,85.951670
9185,82.840041
9198,82.472714
9233,76.402077
9303,74.399260
9355,73.439646
9364,63.342282
9404,57.837489
9608,54.563082
9618,50.722977
9626,49.104310
9640,49.079729
9644,48.847456
9679,39.018276
9791,38.510531
9976,37.545056
9990,37.332780
10021,36.916586
10045,36.100095
10093,32.760819
10122,29.655669
10204,29.400148
10220,28.668076
10232,27.947052
10292,27.029712
10320,25.335556
10330,24.037551
10377,20.546571
10500,19.917389
10523,19.396230
10564,19.194987
10575,18.977811
10576,16.615155
10588,15.944897
10634,15.677536
10681,14.004406
10722,11.418946
10785,11.167385
10806,10.900531
10829,10.494740
10952,9.916011
10975,9.328537
11011,8.889593
11020,8.766714
11054,8.603652
11099,8.395265
11113,8.140838
11225,6.812247
11313,6.311333
11398,6.293787
11406,6.120664
11417,6.116762
11432,6.048497
11438,5.954974
11439,5.868101
11441,5.761934
11473,5.294528
11478,4.956468
11508,4.941361
11558,4.881982
11612,4.470312
11656,4.327976
11660,4.305872
11688,4.196310
11703,3.555285
11787,3.422082
11795,3.374697
11796,3.365104
11833,3.102614
11918,2.812872
11998,2.643876
12202,2.335048
12235,2.319116
12281,2.174591
12288,2.136254
12307,2.116499
12348,2.064950
12386,2.048714
12445,1.948301
12527,1.659044
12580,1.644203
12775,1.571460
12781,1.486968
12925,1.399064
12946,1.350817
12962,1.349486
12987,1.253262
13046,1.191144
13069,1.154576
13078,1.138058
13113,1.110267
13135,1.025451
13173,0.981314
13183,0.931696
13277,0.863232
13316,0.763639
13356,0.759455
13382,0.729249
13414,0.670873
13531,0.597410
13630,0.591283
13657,0.559593
13668,0.551056
13683,0.525428
13748,0.521574
13787,0.459600
13847,0.419331
13855,0.411949
14090,0.406523
14100,0.405454
14133,0.386108
14169,0.380180
14210,0.363258
14224,0.359732
14235,0.331788
14242,0.317173
14257,0.290096
14364,0.282257
14491,0.261258
14494,0.234490
14556,0.227375
14592,0.215454
14609,0.205874
14731,0.201596
14770,0.199127
14777,0.193100
14858,0.187958
14864,0.180735
14888,0.175006
14939,0.173083
