Evaluations,Fitness
1,5758132.254960
2,5688344.883844
10,5308409.815043
17,4916930.742806
31,1135.872753
35,1072.485161
36,1034.037006
37,1025.177228
42,958.393235
50,907.512126
59,787.199606
61,745.976551
72,651.019712
87,649.428385
92,647.107914
102,586.467962
105,497.501642
156,496.286972
183,331.101119
272,317.394394
317,311.173286
388,291.381313
419,215.918726
709,211.552987
734,160.296953
860,159.302758
876,117.002630
1104,112.333720
1187,102.013860
1213,94.598467
1240,91.732320
1284,87.774240
1306,73.768906
1311,68.741818
1344,56.292430
1508,54.222317
1629,52.583132
1632,44.981197
1686,43.956029
1706,40.567929
1715,36.219191
1761,30.006085
1864,29.995400
1885,29.393873
1902,26.498826
1907,25.686354
1914,24.477506
1926,23.744578
1933,20.282219
2176,18.774378
2254,17.893738
2308,17.561631
2314,15.505553
2321,11.114716
2504,11.031460
2563,10.572788
2576,10.361329
2635,9.605068
2651,9.294263
2657,9.283280
2663,7.757903
2737,6.933313
2862,6.208956
2885,5.962968
2904,5.721079
2924,5.643379
2945,5.613071
2960,4.580471
3135,4.425021
3207,3.906260
3394,3.471019
3461,3.419251
3462,3.398128
3466,3.351350
3515,3.111261
3526,2.976815
3565,2.860318
3576,2.687143
3618,2.499360
3665,2.479763
3723,2.446017
3730,2.382894
3787,2.352163
3819,2.233385
3821,2.215208
3872,2.148341
3900,2.028588
3937,1.982046
3940,1.975829
3964,1.904750
3982,1.857536
4020,1.854907
4028,1.837339
4030,1.768521
4084,1.705304
4094,1.627524
4152,1.595991
4180,1.587178
4197,1.485187
4219,1.483686
4241,1.434146
4245,1.371432
4281,1.318009
4296,1.294065
4337,1.288678
4351,1.288355
4355,1.273777
4364,1.197980
4375,1.136887
4475,1.094433
4517,1.062894
4562,0.973049
4675,0.968432
4678,0.946604
4687,0.925616
4711,0.816291
4856,0.813102
4877,0.782818
4903,0.780233
4921,0.756263
4923,0.715941
4948,0.694860
4958,0.692864
4997,0.677036
5011,0.648734
5098,0.631593
5124,0.614756
5139,0.609597
5150,0.602433
5175,0.584370
5184,0.561197
5220,0.560376
5235,0.537931
5252,0.533844
5268,0.524883
5279,0.507779
5288,0.503973
5327,0.470507
5364,0.466029
5416,0.453599
5468,0.442478
5554,0.438875
5560,0.425292
5600,0.417851
5612,0.397861
5633,0.391086
5649,0.389946
5673,0.383220
5696,0.354235
5734,0.322931
5864,0.319240
5870,0.314485
5879,0.313867
5900,0.309538
5945,0.294229
5973,0.269658
6021,0.264338
6038,0.259329
6089,0.246243
6127,0.235016
6166,0.234857
6170,0.231207
6187,0.228069
6253,0.214303
6298,0.212360
6340,0.198818
6355,0.197976
6364,0.190596
6369,0.176035
6448,0.173832
6472,0.168905
6502,0.167394
6515,0.163103
6538,0.157027
6550,0.143887
6620,0.137368
6646,0.136250
6710,0.131479
6719,0.130968
6729,0.121132
6848,0.120606
6872,0.113093
6894,0.111267
6918,0.103617
6998,0.095257
7026,0.094286
7031,0.090094
7054,0.089355
7059,0.085570
7112,0.085200
7122,0.080512
7173,0.079537
7196,0.077774
7197,0.076536
7206,0.074246
7219,0.072907
7229,0.072691
7234,0.068497
7274,0.065171
7316,0.063644
7336,0.063231
7353,0.062013
7360,0.058363
7435,0.057349
7463,0.054804
7490,0.054333
7556,0.052206
7579,0.051421
7669,0.050959
7695,0.049908
7712,0.046290
7771,0.045190
7775,0.044206
7778,0.043755
7820,0.041001
7847,0.039258
7868,0.037951
7914,0.035545
7980,0.033915
7989,0.032868
8050,0.031938
8070,0.029008
8102,0.028740
8174,0.028083
8177,0.027798
8220,0.027088
8265,0.025585
8281,0.024683
8297,0.023002
8392,0.022563
8401,0.022527
8427,0.020496
8505,0.019646
8518,0.019368
8678,0.018566
8731,0.018422
8738,0.018398
8742,0.017446
8809,0.016706
8815,0.015301
8895,0.015193
8899,0.014716
8917,0.014662
8945,0.013971
8990,0.013485
9013,0.013024
9033,0.011726
9056,0.011125
9110,0.011072
9111,0.011039
9124,0.010387
9185,0.009896
9263,0.009809
9294,0.009323
9317,0.008528
9396,0.007702
9426,0.006398
9500,0.006378
9562,0.006141
9571,0.004868
9616,0.004718
9774,0.004110
9788,0.004066
9811,0.003758
9821,0.003633
9876,0.003431
9918,0.002934
10069,0.002929
10108,0.002895
10114,0.002737
10116,0.002689
10118,0.002550
10119,0.002409
10123,0.002028
10195,0.001811
10294,0.001651
10317,0.001518
10338,0.001466
10407,0.001431
10454,0.001339
10464,0.001149
10572,0.001142
10575,0.001114
10594,0.001112
10629,0.000989
10738,0.000954
10739,0.000896
10827,0.000820
10846,0.000756
10876,0.000734
10894,0.000703
10958,0.000683
10996,0.000615
11019,0.000589
11083,0.000565
11092,0.000564
11131,0.000531
11132,0.000488
11162,0.000481
11231,0.000420
11315,0.000400
11327,0.000394
11351,0.000384
11386,0.000380
11395,0.000379
11407,0.000345
11425,0.000304
11554,0.000302
11564,0.000296
11579,0.000278
11604,0.000263
11620,0.000196
11758,0.000195
11970,0.000189
12011,0.000179
12108,0.000148
12268,0.000103
12326,0.000100
12364,0.000091
12444,0.000086
12471,0.000081
12572,0.000071
12643,0.000069
12656,0.000067
12929,0.000063
12962,0.000058
13019,0.000056
13028,0.000054
13054,0.000050
13066,0.000046
13121,0.000044
13136,0.000041
13142,0.000039
13167,0.000038
13171,0.000033
13204,0.000032
13241,0.000032
13274,0.000031
13323,0.000029
13369,0.000026
13424,0.000025
13455,0.000024
13469,0.000023
13551,0.000021
13593,0.000020
13612,0.000019
13638,0.000018
13640,0.000017
13669,0.000016
13702,0.000015
13796,0.000015
13831,0.000013
13929,0.000012
13933,0.000011
13972,0.000010
14042,0.000010
14074,0.000009
14093,0.000009
14112,0.000009
14140,0.000008
14225,0.000006
14396,0.000006
14456,0.000005
14468,0.000005
14578,0.000005
14625,0.000004
14668,0.000004
14684,0.000004
14689,0.000004
14743,0.000003
14786,0.000003
14823,0.000003
14839,0.000003
14885,0.000002
14974,0.000002
