Evaluations,Fitness
1,9.98629e+08
2,8.01784e+08
6,6.79871e+08
624,5.21707e+08
689,4.03537e+08
719,3.52156e+08
753,2.53799e+08
885,2.21871e+08
894,2.14074e+08
902,2.01375e+08
968,1.88873e+08
978,1.82667e+08
1002,1.73596e+08
1026,1.57461e+08
1039,1.26633e+08
1071,8.74184e+07
1147,8.30198e+07
1151,7.88963e+07
1164,5.52351e+07
1269,5.21932e+07
1289,5.15917e+07
1295,4.58013e+07
1308,2.25716e+07
1384,1.31797e+07
1497,1.05613e+07
1580,1.02266e+07
1616,9.65285e+06
1625,9.32007e+06
1643,8.61387e+06
1649,6.04634e+06
1681,4.85678e+06
1747,4.56014e+06
1783,3.92192e+06
1802,3.58377e+06
1851,2.25514e+06
1950,1.6613e+06
2002,958890
2103,924873
2111,851693
2134,708143
2190,463321
2230,396685
2343,358655
2383,303109
2402,283184
2406,278712
2434,266348
2436,251511
2441,217527
2466,184189
2493,160381
2514,152453
2585,117878
2761,116081
2791,91895.8
2882,76504.9
2924,76287.3
2929,75889.4
2936,64198.9
2946,64037.4
3032,62553.3
3080,59480
3129,57003.2
3131,53473
3168,52661.1
3174,51804.8
3199,51666.1
3223,47765.8
3235,44891.4
3250,41578.6
3315,40295.6
3325,36635.1
3349,36436.6
3354,36062.2
3355,26601
3452,15870.8
3851,14025
3941,10713.3
4020,8599.85
4081,7760.56
4114,7223.5
4159,5228.14
4212,4611.5
4293,4575.03
4297,4473.39
4339,3285.41
4532,2837.27
4623,2444.87
4629,1623.53
4689,1593.9
4736,1552.36
4745,1236.95
5004,1201.76
5047,1096.32
5063,958.754
5100,790.79
5203,778.561
5313,752.117
5317,690.088
5366,643.246
5377,619.087
5393,595.499
5414,593.459
5415,457.093
5436,399.742
5489,317.968
5582,285.567
5599,262.074
5798,248.382
5915,246.453
5920,242.488
5921,235.181
5936,233.078
5937,227.113
5971,216.467
5998,202.615
6007,190.152
6036,177.913
6082,172.063
6090,170.405
6115,159.067
6144,154.006
6197,153.914
6204,148.804
6225,146.434
6231,134.697
6264,130.954
6265,123.178
6271,119.316
6338,114.861
6388,106.536
6394,104.477
6436,103.736
6466,93.3402
6520,90.6872
6532,90.0726
6541,89.778
6584,89.4387
6612,89.3451
6618,87.4115
6657,85.8119
6683,80.7277
6726,80.3365
6734,78.1496
6875,77.9645
6929,77.2298
6934,74.6389
6984,73.8638
7007,72.7539
7064,72.6661
7068,69.9647
7090,69.9091
7115,68.4218
7187,67.3867
7234,66.1013
7238,65.9828
7251,65.2403
7261,64.7569
7270,63.6975
7276,63.3944
7363,62.531
7364,62.2628
7434,61.8263
7508,61.609
7525,61.5589
7540,60.9105
7562,60.3858
7606,60.0588
7723,59.9285
7730,59.8503
7755,59.3559
7782,59.2596
7916,59.244
7920,58.9777
7951,58.9256
7955,58.8902
7962,58.815
7997,58.7965
8026,58.466
8078,58.341
8131,58.1557
8202,58.1484
8223,57.9937
8331,57.8929
8386,57.8468
8405,57.7614
8443,57.6795
8561,57.6335
8586,57.6295
8606,57.6013
8616,57.5795
8637,57.5283
8675,57.5231
8683,57.5156
8711,57.4957
8783,57.4922
8791,57.4879
8800,57.4545
8813,57.4441
8851,57.4354
8860,57.4278
8895,57.4092
8946,57.3935
8963,57.3729
8982,57.3235
9110,57.3219
9113,57.3181
9143,57.2968
9259,57.2911
9264,57.2895
9268,57.2734
9276,57.2454
9353,57.2238
9426,57.2145
9447,57.2121
9452,57.206
9495,57.1997
9498,57.1993
9517,57.1831
9539,57.1782
9597,57.1524
9656,57.1488
9681,57.1439
9744,57.1358
9787,57.1345
9792,57.1336
9801,57.1312
9836,57.1278
9841,57.1219
9868,57.1219
9886,57.1072
9929,57.0943
9960,57.0586
10089,57.0463
10136,57.027
10220,57.0174
10267,57.0131
10274,57.0016
10291,56.9935
10309,56.9896
10381,56.9665
10407,56.96
10428,56.9558
10446,56.9461
10448,56.9422
10478,56.9193
10532,56.9138
10567,56.9079
10608,56.9034
10621,56.8502
10710,56.8499
10727,56.8475
10752,56.8104
10817,56.7933
10890,56.7675
10982,56.689
11021,56.6685
11104,56.6533
11195,56.6182
11228,56.6089
11250,56.5341
11315,56.4823
11419,56.4696
11456,56.4643
11514,56.4632
11541,56.4561
11585,56.4429
11605,56.4255
11616,56.4055
11631,56.339
11646,56.3278
11745,56.2634
11793,56.2312
11850,56.2018
11935,56.1953
11952,56.137
12017,56.1369
12059,56.0926
12093,56.0798
12150,56.05
12348,55.9783
12482,55.9258
12508,55.911
12586,55.902
12612,55.8413
12688,55.8243
12758,55.7153
12876,55.7108
12877,55.6629
12885,55.6396
12921,55.6258
12944,55.5382
12983,55.5069
12999,55.5043
13035,55.4993
13038,55.4723
13100,55.4391
13180,55.3792
13272,55.3789
13304,55.3785
13309,55.3556
13318,55.346
13348,55.3361
13349,55.3259
13364,55.3086
13374,55.3082
13379,55.3019
13397,55.2812
13400,55.2173
13485,55.0448
13783,55.027
13802,55.0127
13851,55.0061
13884,54.9958
13914,54.9845
13938,54.9666
13952,54.9485
13974,54.9335
13996,54.9075
14005,54.8918
14088,54.8439
14262,54.8016
14281,54.7833
14314,54.7512
14337,54.7065
14345,54.6968
14373,54.6952
14381,54.6824
14434,54.6707
14457,54.6695
14482,54.6479
14523,54.6398
14569,54.6338
14601,54.633
14680,54.531
14775,54.5124
14887,54.4731
