Evaluations,Fitness
1,[1035.39099045]
7,[405.83924991]
21,[91.93828722]
29,[38.1286977]
122,[28.98912399]
124,[4.21120548]
168,[3.49469247]
282,[3.21627601]
350,[3.1785421]
352,[3.09454129]
398,[3.02730204]
440,[3.00268613]
488,[3.00093093]
492,[3.00032793]
522,[3.00017918]
585,[3.00015764]
588,[3.00008435]
612,[3.00001756]
617,[3.00001299]
634,[3.00000335]
667,[3.00000054]
700,[3.00000034]
701,[3.00000029]
715,[3.00000028]
731,[3.00000002]
782,[3.00000001]
795,[3.00000001]
820,[3.]
826,[3.]
844,[3.]
865,[3.]
874,[3.]
883,[3.]
947,[3.]
970,[3.]
1037,[3.]
1044,[3.]
1101,[3.]
1112,[3.]
1117,[3.]
1160,[3.]
1245,[3.]
1250,[3.]
1290,[3.]
1296,[3.]
1333,[3.]
1348,[3.]
