Evaluations,Fitness
1,21.08276039014082
4014,20.846894428813766
4068,20.15098192797808
4111,19.52775204712191
4145,17.057841826718636
4171,16.152028014021884
4192,11.765954087821182
4284,11.359108840333441
4289,10.740856163127782
4302,9.833178008055963
4328,7.049906476357685
4417,6.700831401108445
4481,5.9891087633690585
4492,5.759436882707235
4559,5.594852432025388
4565,5.325181085775455
4598,4.045141740416866
4648,3.6184375979231644
4697,3.049018481893126
4776,2.894569277180845
4782,2.4627608949872224
4845,2.167926535519836
4861,2.1499343157880846
4876,2.0264078364243328
4919,1.9360433779035198
4948,1.8412954501538426
4989,1.7605207100529938
5016,1.6948231833343197
5023,1.6289882465459333
5029,1.4761445194284704
5046,1.4758690089470967
5073,1.3928701150490046
5139,1.3432273664239724
5146,1.2199361245691316
5166,0.9364303866570829
5245,0.8466487918758674
5291,0.8292959649836332
5297,0.8163032952718705
5306,0.7095275927519221
5313,0.6790712363892154
5355,0.6017566746136467
5429,0.5800107536856971
5466,0.5399379205896861
5484,0.5022963428501958
5537,0.46613721084849125
5574,0.462926292604812
5582,0.4050873627948528
5603,0.37628898835551505
5609,0.3501690598626283
5613,0.3306492511887202
5627,0.31236166567010576
5713,0.27113930691252613
5752,0.2564296447124082
5796,0.25286791701861555
5797,0.2508701194093171
5812,0.24495060725334175
5816,0.20010406731514493
5944,0.1853400083234578
5963,0.1391615572627142
6041,0.13604002594557638
6065,0.1273155803527364
6068,0.12331417234718828
6152,0.12236588340662354
6183,0.11802580879935654
6195,0.11087281560253062
6226,0.10424016166749511
6255,0.09941998483825472
6260,0.09612344142517228
6262,0.08850332406033984
6282,0.08647899250975508
6293,0.08589930198851425
6302,0.08525336432195285
6306,0.07856286185319661
6324,0.07834658466316886
6337,0.07120139578187497
6368,0.06446194749145594
6381,0.06338599287464858
6404,0.06005146668221074
6413,0.05821675233993593
6470,0.045287124908277826
6485,0.04405157474637935
6530,0.040722723737243796
6579,0.03887026416824415
6587,0.03372725055771387
6626,0.02695882911144468
6703,0.025954982473151932
6767,0.02307155190432004
6771,0.022717026721345016
6808,0.02132091468266682
6855,0.019435508955421652
6862,0.017998990488547067
6914,0.01650615689673694
6945,0.015653416434670928
6999,0.01429415920507476
7009,0.012707640184741978
7064,0.011921928388181846
7078,0.011654739796930028
7103,0.009503841603021528
7144,0.00935830271983791
7148,0.008969563634603115
7160,0.007840504951018892
7209,0.007832802707548268
7263,0.0071222596095412
7301,0.00699983675831321
7302,0.006391660096332735
7316,0.00572063566195107
7348,0.005364783111509496
7353,0.0049705149275687316
7392,0.004867781288335993
7412,0.00483164111496888
7442,0.004583501865150179
7444,0.004521487624994981
7451,0.004402973691560976
7456,0.0034514417713091246
7479,0.0034324998579735315
7568,0.002722778633013013
7623,0.0026872271184132184
7679,0.0026262652253169045
7684,0.002510654494592082
7686,0.002228371026885956
7751,0.0021671196926905
7790,0.002048755403867055
7794,0.0019133551484861997
7804,0.0018496625397802
7806,0.0017934989115441086
7858,0.001648722967702402
7863,0.0014051286122227294
7925,0.0013390835301027278
7931,0.0012278945298553805
7965,0.0011936454049044788
7972,0.0008820153831996026
8030,0.0008500303271420873
8058,0.0006520149113138942
8222,0.0005702444660367956
8229,0.0005636577782572324
8233,0.0005531385847591071
8270,0.0004904691562495233
8290,0.00042098298563899645
8380,0.00041595191434612997
8400,0.00034733349635945903
8494,0.0003071567133709652
8496,0.0002719962616041238
8532,0.00021253720366576869
8613,0.0001775091880554993
8673,0.00017371820486928796
8679,0.00016420211373882796
8739,0.00014910404907807133
8830,0.00014478438853546627
8838,0.00011583910156977467
8900,0.00010848954433589501
8938,9.522455152740526e-05
9056,8.731950795949988e-05
9103,8.183414782282442e-05
9160,8.060632424888942e-05
9168,6.419855394606905e-05
9225,5.647510000346169e-05
9256,5.284201426276758e-05
9330,5.2344695453191995e-05
9345,4.995399471298589e-05
9367,4.6520297388621245e-05
9378,4.553650307800067e-05
9394,4.096004330761159e-05
9428,3.526578287034569e-05
9465,2.8514259066569905e-05
9547,2.8202359944997628e-05
9550,2.751332501899233e-05
9559,2.74628037956346e-05
9565,2.5266099714086944e-05
9567,2.382602377479808e-05
9614,2.0561935510513553e-05
9634,1.9016432856121157e-05
9737,1.8446648365845668e-05
9752,1.7380236442130773e-05
9774,1.5051627673305862e-05
9803,1.3836821005911013e-05
9834,1.2593387762691503e-05
9896,8.309677302006179e-06
10023,8.173099757411605e-06
10031,7.077322785128447e-06
10072,4.72082241507889e-06
10234,3.829564579538093e-06
10271,2.6438543568135356e-06
10396,2.539198271651018e-06
10399,2.474127416318503e-06
10428,2.150841624205124e-06
10459,1.983611886002923e-06
10485,1.911678516172785e-06
10496,1.8825686705875095e-06
10527,1.6881184959887941e-06
10545,1.6398671780915845e-06
10571,1.4353048416899735e-06
10765,1.3111916945656537e-06
10779,1.186382310947789e-06
10780,1.1126154220593306e-06
10809,1.0758022118297459e-06
10820,9.231977368582961e-07
10869,8.234116486458055e-07
10908,8.098514253957455e-07
10951,7.482983318142976e-07
10952,7.210564587531269e-07
10985,7.109451370668671e-07
10989,6.133918154016636e-07
11014,5.772226907932899e-07
11038,5.718636755557999e-07
11041,5.273633750835152e-07
11062,4.482495374856303e-07
11134,4.4310405571326435e-07
11146,3.8863717709681623e-07
11204,3.4601510545489894e-07
11234,2.987282299867635e-07
11270,2.683045261051444e-07
11304,2.527959579746144e-07
11316,2.2738119540868028e-07
11337,1.56841277825086e-07
11495,1.4541089054239117e-07
11621,1.4424348443975646e-07
11628,1.3548878404463444e-07
11654,1.3539887421584874e-07
11659,1.353897917080751e-07
11699,1.1799952414853685e-07
11727,1.154625779092403e-07
11741,9.478205815033102e-08
11792,9.375485490144165e-08
11802,8.453547952060347e-08
11874,8.240545605491294e-08
11888,6.890177664278503e-08
11915,6.653722634571005e-08
11925,5.672681027816615e-08
11973,4.6686037700772917e-08
12067,3.853421861686801e-08
12159,3.52344712240001e-08
12250,3.444697493535404e-08
12257,3.278621397532978e-08
12295,2.819489603637569e-08
12325,2.746538303310479e-08
12338,2.4124022868905672e-08
12364,2.3691049323693322e-08
12407,2.274685983586247e-08
12464,2.1878503334892585e-08
12496,1.9287656113484548e-08
12561,1.816791515196802e-08
12598,1.7813481368556602e-08
12613,1.6414847631365633e-08
12632,1.4819754716895033e-08
12682,1.4448726623325615e-08
12698,1.4434285038687932e-08
12705,1.2686169139726627e-08
12722,1.1057420658229799e-08
12746,1.0968054964569502e-08
12793,1.0830009435663402e-08
12799,1.0548541605507994e-08
12802,1.0530698614082239e-08
12827,9.618966520937443e-09
12883,9.616324928526663e-09
12888,9.096881544146996e-09
12901,6.9383304026172045e-09
13019,5.710154986659081e-09
13085,5.237032143578874e-09
13114,4.977803685164408e-09
13145,4.922677682613582e-09
13162,4.807581551614604e-09
13207,4.611150902011752e-09
13271,4.0985307487619804e-09
13281,3.4766189202423917e-09
13349,3.3947864151931875e-09
13353,2.9720946011325484e-09
13386,2.9161240354164577e-09
13408,2.5200586980771038e-09
13425,2.422602279573157e-09
13460,2.4021899872727327e-09
13487,2.3812681649476353e-09
13488,2.318800093873668e-09
13510,2.198406571538661e-09
13517,2.0381058122925036e-09
13534,1.8990791008504585e-09
13595,1.8903990860821296e-09
13611,1.8436865956436783e-09
13642,1.7717649684145838e-09
13663,1.6828689103775959e-09
13669,1.6192002984066206e-09
13687,1.4075767727183443e-09
13696,1.378478435777874e-09
13751,1.3565335053657835e-09
13753,1.3040977282755332e-09
13754,1.1717501949755392e-09
13759,1.1012730303671114e-09
13784,7.837701561251462e-10
13920,7.468841328178744e-10
13936,5.360078516498363e-10
14001,5.232775429453906e-10
14050,4.074037860594894e-10
14139,3.686767763516244e-10
14200,2.896994443458448e-10
14295,2.786723863396597e-10
14313,2.769068126909231e-10
14323,2.6208192082526875e-10
14330,2.6190734274854304e-10
14333,2.566110122802376e-10
14363,2.49441947832836e-10
14384,2.450600391287472e-10
14428,1.8781120494699578e-10
14447,1.809237900130969e-10
14471,1.757443704888733e-10
14528,1.5433917028572217e-10
14612,1.513039908734046e-10
14617,1.367668288399379e-10
14645,1.2062117229259792e-10
14677,1.0437383922208344e-10
14703,9.706052159674369e-11
14759,9.591913568414873e-11
14784,9.501227761672623e-11
14802,6.09655292447756e-11
14913,5.941141888275828e-11
14945,5.815251140247452e-11
14957,5.5896304625749856e-11
14973,4.267632164254131e-11
