Evaluations,Fitness
1,44.955993
2,21.165377
3,11.661593
5,4.341555
8,3.068027
32,1.836304
83,0.673793
269,0.520843
706,0.434629
751,0.420885
1010,0.413726
1210,0.408419
1515,0.404093
1877,0.399615
2342,0.399471
2385,0.398006
2987,0.397897
3420,0.397891
3685,0.397891
3808,0.397888
4083,0.397888
4211,0.397887
4455,0.397887
4978,0.397887
5291,0.397887
5469,0.397887
5570,0.397887
6115,0.397887
6256,0.397887
6316,0.397887
6340,0.397887
6757,0.397887
6874,0.397887
6933,0.397887
6951,0.397887
7057,0.397887
7221,0.397887
7404,0.397887
7544,0.397887
7727,0.397887
7802,0.397887
8329,0.397887
8492,0.397887
