Evaluations,Fitness
1,7032987.563362
202,5188404.659447
1161,5028270.650194
1318,4773971.650730
1555,4772023.022859
1601,4391940.151608
1652,4340696.287275
1812,4023651.712361
1922,3761078.673845
1995,3410695.821456
2339,3115006.038821
2407,2960525.037884
2582,2941478.870827
2733,2594170.997013
2773,2522520.747233
2822,2125323.805567
3259,1988626.773606
3351,1930716.147142
3713,1929556.338561
3719,1863424.281412
3760,1851708.627368
3875,1493326.799090
4077,1435815.022766
4451,1190562.633858
4833,1048419.697882
5142,1003230.060353
5199,956668.007535
5459,929184.184377
5468,851665.701989
5531,803502.561853
5775,739079.270166
6104,735605.687616
6162,653489.200473
6551,650703.258834
6553,610406.999427
6695,588193.095871
6813,579522.093308
6855,563654.172692
6889,503671.148878
6975,487069.849412
6984,468367.632634
7200,452838.138864
7265,413563.721638
7311,412915.680265
7370,407503.552121
7453,364158.777442
7550,335800.828496
7830,325140.656382
7855,311896.999940
7861,306704.338071
8135,245042.728176
8579,231002.478967
8738,205213.265908
8913,195001.772417
9104,194418.785800
9159,186501.452480
9470,185680.549448
9485,180446.349470
9663,175623.336052
9724,167120.346542
9842,161299.172916
9954,159994.405316
9974,139499.208697
10111,131296.092696
10265,130355.087684
10559,127908.984315
10561,126529.790779
10600,119053.346267
10946,118393.772110
11035,103155.515371
11290,97556.069116
11392,96052.849837
11502,92165.891596
11632,90011.529775
11637,84273.527691
11927,83864.495241
11964,81396.634802
12176,79048.030128
12276,76138.583249
12486,73638.299711
12510,70622.243347
12638,67203.339566
12781,58362.273286
13348,51385.559146
13451,47090.108783
13534,46939.359593
13858,46406.226697
13987,40351.948143
14041,39313.926076
14221,38506.550680
14349,36940.941726
14551,33797.788999
14750,33022.982792
14857,31902.858089
14946,31891.912518
15000,30555.828225
