Evaluations,Fitness
1,8952001757512
3,1721875852582
5,727035887835
6,58003583970597
7,88133021178027
189,93805128957978
204,83901283297
232,335881092002157
236,30710923010
353,309527380723
404,303397380209
406,3019213302133
429,3012251885512
445,30017100355099
509,300175137919138
515,30000872827983
567,300005519759303
607,300000715585995
671,300000523757785
702,3000007801797
709,30000007832002
795,30000002702355
820,30000000223188
886,3000000012575837
940,300000000092309
980,300000000919303
1032,30000000003130
1127,30000000000152
1222,3000000000015357
1234,3000000000018
1259,30000000000155
1262,300000000000595
1264,300000000000127
1267,3000000000000125
1325,30000000000000187
1494,300000000000001
1520,2999999999999991
1530,2999999999999987
1551,299999999999997
1616,2999999999999931
2248,299999999999992
2345,2999999999999925
2575,2999999999999925
2601,2999999999999922
