Evaluations,Fitness
1,22721708778397
2,22011918230113
3,1827727837135
6,113022508813
13,159778792105
111,8028831181552
261,852303833077
350,758810902005
367,5701321792732
396,221007020917
505,222055820209
528,073883718272
539,01078071752
572,82035995518015
737,2087203099399
768,19933232395
785,38878072955
798,35903912951018
852,30009381533
952,2883333125255
1117,257997270127703
1159,20191717932951
1164,252081507238
1169,259370553059238
1173,238313293272
1176,2350299117
1221,23528171813
1282,2338177758958
1296,2129310555027518
1324,19733223093215
1471,1753308852890
1528,1578020791317527
1653,135838913037018
1666,13572128075132
1730,13528399520933
1803,12857899299905
1830,12707995011021
1840,1233150892023
1868,11270970373033
1877,1107530051212
1884,109253018091772
1984,1085581020925202
1997,981792198309
2065,9778785725383
2113,91227537875
2176,903273530829979
2184,8919812152952
2256,88338588110085
2315,87520881352
2320,8392501079915
2327,79752820553522
2437,7771557310158
2442,7722795095
2603,737359251338
2607,73195257278
2610,7231997391971
2631,7120133170291307
2645,701317783099
2657,701950951715
2686,50225507398
2807,7391912582
2857,075912389115
2865,202888995009735
2921,139115859010
2973,13389830117995
2984,022255313778
3019,01201182230991
3022,5875739233517
3032,578779170793291
3036,57802915372
3039,5585280313371
3064,5915717815
3148,52991319337015
3154,52559939700118
3180,51230939012289
3186,50513521290900
3230,501109097929
3283,977999838051517
3313,82231231395
3408,72705085338502
3428,72355599005885
3496,57591211179
3584,12135509100
3663,3937889577338
3667,322050702791
3670,383928800322
3711,3517770239035
3731,323755880103
3759,302738159389
3779,292520807721
3812,25573131
3815,259813583235
3849,22290338983123
3856,208855578337
3915,18159009132135
3926,0990251090
3932,39911795220231
4001,39227520925
4023,39580155531998
4048,395229022202973
4067,389970239772333
4100,38770121717978
4177,3821872855970215
4243,3793888095075
4256,3790023035389035
4280,378310580390518
4318,3750970507970128
4331,38280780373212
4371,359087588
4390,35090578500117
4399,359918977913
4466,3550003382702
4511,3532517118031005
4545,387095018375035
4560,37858192370921
4581,372358302531
4584,35123800313
4606,32788012085
4616,33783293019885
4625,31091830909105
4647,3010135327381
4681,337232953315
4682,3359850883
4700,33515278790579
4735,330778889999085
4787,325101311908881
4830,3225019125905
4881,3222825578123
4886,317187809287
4890,3190739180188
4928,31227238105
4952,3091598705075355
5015,30779121738
5016,30715008271717
5023,300257321782
5027,300903983322333
5065,290723730335
5122,2919793555
5155,28871320709095
5159,28938887210
5197,2832123109887083
5200,2825800807195277
5240,28195539388135
5245,2813078208219878
5247,27827731127
5249,2715091789275
5269,271287193509
5272,27352280988293
5299,282850838
5356,2599133812
5439,25298189837003
5440,25171917153291
5475,29713821782
5505,2815015531
5530,272188587987
5542,252501887332
5560,2371885000099997
5571,2327959233
5583,23973015015713
5640,233959950027032
5711,2328053399383397
5743,232379902028201
5749,228959530791158
5824,2285903758393
5839,22701778280857
5867,2235952272055587
5868,225309358808
5892,222551519591223
5895,2221027028779585
5945,21915132320335
5961,2170798213352
5979,210793309319
5983,2135013038217
6040,21275018877382
6077,2127359513553387
6116,2120278050813
6124,21158381987239
6126,20882218005219
6132,209827873831
6184,2057922381857
6209,20397915710929
6228,20250337312072
6264,200318809573875
6291,19929309919197
6351,1988811917109
6372,197538323789593
6373,191158191351
6471,19202220103
