Evaluations,Fitness
1,9909809551370
2,859888205215
3,87955315358
9,81538359098
11,7578593211
24,71020878071913
32,08298030355
109,331597813313955
314,32709100977755
318,23970791339
337,2210758001053
341,1012709138198
465,170308008137
466,1225859517105
566,80881115803775
571,3938129829372
892,13325255790
900,393087897893985
922,381255158833
953,303770073238
964,2830188315255
992,23713219752928
1034,2111208085018
1078,1807032788822
1087,19851083937
1125,1578989157273
1139,1550299370155
1146,1372209500892528
1316,12723239013837
1348,129050310109919
1392,1211312298
1410,117807391752051
1412,105932953
1418,10100295922857
1437,10030227827307
1453,8982818032035
1482,7709187931282
1617,73320120188
1660,739883052908153
1701,72810515107
1711,7102951182183
1760,70989812570152
1762,77571791511191
1771,59191920351
1792,2509733799522
1831,05537009111
1897,03757205377793
1902,595535275710809
1915,5522287717
1995,53109083210027
2002,507358981555
2015,5157957717598275
2024,8780275371833
2085,777389021572
2097,51587221352
2179,1088395371303
2279,2817983579012
2304,152805837
2333,00925055301285
2338,098395307228
2364,01319920325288
2437,375108125007
2440,372905319339529
2547,33020019723
2574,315337133518
2606,303190055
2671,33353021802
2676,325935723709353
2720,3208211909905
2723,308983882323273
2771,30389593355
2824,2975917553288
2873,29151078888
2883,29030221889082
2884,28917282870503
2920,283980538712731
2992,2813332251
3025,27383082182939
3031,2751357752823
3051,2733591838725
3165,25122512232
3196,23559523007
3198,215917207730277
3222,2523070132001
3228,2515208073823
3267,272529993252
3277,277853279735
3345,251212297577
3355,255892395357
3359,252973595039
3372,251391285525
3374,23982583573582
3412,230839507178295
3465,231700907318273
3514,229537510928928
3526,227311013511
3539,223158333887305
3659,2229185023099895
3680,2217112201370023
3697,2219288997189
3698,22127378733029
3723,220022353202058
3740,2190237008701
3744,2187711073
3747,219797590185
3763,215938053085
3780,211877502120270
3842,2103058500091
3861,208270997910591
3883,202785239801913
3939,2018331270925073
3954,20100712988791
3961,19281082575271
3988,19721233875
4055,1955301980027
4063,19250778329898
4079,192010798821
4080,1912052002523
4116,188158179503593
4160,1828319082082
4161,185521388111
4184,18737237899995
4213,18339028079573
4220,1821202318399318
4260,1815719285083
4264,1782211118888
4272,177055570297338
4317,175229117312
4356,173527972013
4357,1721291809230803
4385,10982951090229
4392,159038998907013
4430,157882725238372
4464,15881351399081
4514,15829338271315
4552,15553595597759
4583,155733152135223
4588,153279825821158
4595,178911218588222
4637,11112032383
4653,13771555288
4672,1287958121702
4718,120383578722
4720,118709912512
4735,1380712098
4736,133720320203559
4817,1325338812005187
4862,13218032811807
4886,13103153237579
4889,12857978713111
4967,12738805230127
4973,125983900117951
4984,1191225827201977
5035,117908823518838
5072,11883387
5081,11217953023091
5094,109008803215
5199,1083225973013
5251,10732979310937
5272,1023902750158
5275,10295917988877
5374,102351920011298
5395,10031700553221
5413,99731990502373
5426,989328930152
5432,973723271522
5436,910000805981
5443,9510980109782
5463,93822331973298
5564,93318329897712
5565,93055055718321
5571,902750715081
5667,893783180720331
5680,8789012728155312
5722,8795087705887
5740,87208157055733
5750,81579858031
5836,8389980355020
5846,82810091321
5849,82702309989389
5886,827055282105
5897,8223085821771
5905,79739395003598
5975,777930937523523
6012,75931058007077
6022,70515031372
6082,752828212005399
6109,7398533829
6146,72787919080302
6169,7272703329139
6192,725130010719212
6194,722773799872
6213,712010073389855
6223,91107587095
6224,87937812
6264,7028272802
6311,73097812925
6346,28380731197
6359,119735755
6381,808975388
6482,27982783789
6492,238319037538
6521,23021558857
6561,18390072775
6584,003782171131
6627,599851281159217
6646,57055080978529
6710,512319299751
6778,5293300907152
