Evaluations,Fitness
1,27185380017953278
2,55189599555
24,51258301133025
167,2370522087
343,32731333838837
470,3118270725208
664,200781092772025
677,19178250597997
822,172502508053
916,1790708823385
977,17119233215907
1113,137927051271952
1157,131572080798790
1655,120373757833
1716,11739192817837
1797,921182589971
1885,88309552383995
1891,8715809538078
2094,8280890835558
2250,797500959833
2327,7757519731702
2435,727192311090777
2639,7259253893193
2747,355738821827
3302,538331023201853
3354,5772320129211
3424,519115105985
3964,722518072529
3982,70872173831827
4053,58071085905
4165,25025098151085
4409,0399119522
5122,378752957
5155,375370982835
5175,37159728079551
5538,3511775917819
5789,32825098807793
5998,32590903813
6044,3179557800531037
6200,31757312110838
6213,312237350975207
6321,28870715591559052
6699,28317229751282
7278,282955879915
7285,27710952373922
7350,27372858377957
7435,278398977389
7628,228002709972
7640,210092379213
7750,255802570187118
7816,25275998723308
7846,299502503088025
7869,2120103022
8140,20559828111738
8205,23952053818922
8309,2328277913575555
8802,231932009179
8812,2297122110238
8893,229378987205202
9023,22780711781
9039,227312258971218
9062,2295313905289
9089,223328301052897
9151,2217033735292
9347,218057133817
9502,217003755938298
9577,2150335575397
9582,21959920529835
9612,211239578708887
9891,21123273319822
9892,211058597755995
9911,20932095225897
9943,208879357070857
10042,205072303798109
10154,203759025587853
10305,201703592213
10348,1993559521713792
10584,19783223831257
10779,19770855302
10836,195822889930733
10957,1959395597773
10966,195935233255
10994,1927587213102
11082,190313128723
11105,190202897518387
11108,189899250303
11176,1879171001152
11290,187580397775
11342,187099111827138
11347,187358553852
11371,1810900130
11380,1838213323587
11478,1859381031785728
11504,1839588810025
11669,1839059003291938
11744,1829709223837
11786,182830973573579
11871,1818352959257
11882,18129980120551278
11936,180983997058133
11957,180783703593008
11996,1802087951
12047,1798822813117
12081,179919130508023
12120,177579773725759
12165,17595150905272
12201,17399888003217
12230,175780330998
12294,177128278103
12408,1723593730105012
12462,1713928253895
12575,1705502801877
12653,19151019977
12677,1789289808313
12693,177850557923
12749,1550385777785817
12811,103701338
12841,1025898858
12866,11891900288
12999,10812155122
13078,15993031178
13180,158981729925857
13198,15827353590259
13312,1591382125097
13461,158238818882851
13516,15389507509975
13570,15522380785575
13651,15955289008302
13818,15380890822051
13854,1533009559351
13872,1518855738209255
13933,15192017112038
13942,1515093715385
13945,15113750927377
14032,150171152215215
14043,19720305999
14256,19588157789287
14273,195538219278
14340,1908097818539
14395,1803228703927
14435,17198715202812
14457,1700908178238
14646,138112199111
14671,153821370832
14873,15371985205
14920,159993593123
14944,1271277702393
14975,12135105951
