Evaluations,Fitness
1,(386.4585646356683,)
5,(144.65492507798302,)
49,(7.836324143900997,)
86,(5.666156358185186,)
387,(2.0022101492334627,)
492,(1.8668950905893418,)
787,(0.9980657656248881,)
985,(0.9980049468474844,)
1181,(0.9980040383277583,)
1185,(0.998003994913471,)
1193,(0.9980038395116996,)
1280,(0.9980038391445017,)
1301,(0.9980038382381138,)
1356,(0.9980038379623049,)
1369,(0.9980038378742292,)
1451,(0.9980038377959736,)
1547,(0.9980038377944763,)
1740,(0.9980038377944656,)
1743,(0.998003837794452,)
1865,(0.9980038377944513,)
1903,(0.9980038377944509,)
1987,(0.9980038377944507,)
2016,(0.9980038377944505,)
2053,(0.99800383779445,)
2461,(0.9980038377944498,)
5449,(0.9980038377944496,)
